Entry	Entry name	Gene names	Status
P01023	A2MG_HUMAN	A2M CPAMD5 FWP007	reviewed
A8K2U0	A2ML1_HUMAN	A2ML1 CPAMD9	reviewed
Q6YHK3	CD109_HUMAN	CD109 CPAMD7	reviewed
P0C0L4	CO4A_HUMAN	C4A CO4 CPAMD2	reviewed
P0C0L5	CO4B_HUMAN	C4B CO4 CPAMD3; C4B_2	reviewed
P01024	CO3_HUMAN	C3 CPAMD1	reviewed
P50542	PEX5_HUMAN	PEX5 PXR1	reviewed
P20742	PZP_HUMAN	PZP CPAMD6	reviewed
