Entry	Entry name	Gene names	Status
Q08397	LOXL1_HUMAN	LOXL1 LOXL	reviewed
P58215	LOXL3_HUMAN	LOXL3 LOXL	reviewed
Q9Y4K0	LOXL2_HUMAN	LOXL2	reviewed
Q96JB6	LOXL4_HUMAN	LOXL4 LOXC	reviewed
P28300	LYOX_HUMAN	LOX	reviewed
