Entry	Entry name	Gene names	Status
P31946	1433B_HUMAN	YWHAB	reviewed
P00505	AATM_HUMAN	GOT2	reviewed
Q15027	ACAP1_HUMAN	ACAP1 CENTB1 KIAA0050	reviewed
P33121	ACSL1_HUMAN	ACSL1 FACL1 FACL2 LACS LACS1 LACS2	reviewed
P42025	ACTY_HUMAN	ACTR1B CTRN2	reviewed
Q9UKV8	AGO2_HUMAN	AGO2 EIF2C2	reviewed
Q10567	AP1B1_HUMAN	AP1B1 ADTB1 BAM22 CLAPB2	reviewed
P16615	AT2A2_HUMAN	ATP2A2 ATP2B	reviewed
P50416	CPT1A_HUMAN	CPT1A CPT1	reviewed
P51808	DYLT3_HUMAN	DYNLT3 TCTE1L TCTE1XL	reviewed
Q05193	DYN1_HUMAN	DNM1 DNM	reviewed
P12724	ECP_HUMAN	RNASE3 ECP RNS3	reviewed
Q14194	DPYL1_HUMAN	CRMP1 DPYSL1 ULIP3	reviewed
Q9UQ16	DYN3_HUMAN	DNM3 KIAA0820	reviewed
P11021	GRP78_HUMAN	HSPA5 GRP78	reviewed
P17066	HSP76_HUMAN	HSPA6 HSP70B'	reviewed
Q9UHA7	IL36A_HUMAN	IL36A FIL1E IL1E IL1F6	reviewed
P12277	KCRB_HUMAN	CKB CKBB	reviewed
P31321	KAP1_HUMAN	PRKAR1B	reviewed
P06858	LIPL_HUMAN	LPL LIPD	reviewed
O75019	LIRA1_HUMAN	LILRA1 LIR6	reviewed
Q8N149	LIRA2_HUMAN	LILRA2 ILT1 LIR7	reviewed
P59901	LIRA4_HUMAN	LILRA4 ILT7	reviewed
Q99685	MGLL_HUMAN	MGLL	reviewed
P10620	MGST1_HUMAN	MGST1 GST12 MGST	reviewed
Q9UBU9	NXF1_HUMAN	NXF1 TAP	reviewed
Q9NVE7	PANK4_HUMAN	PANK4	reviewed
P05164	PERM_HUMAN	MPO	reviewed
P11678	PERE_HUMAN	EPX EPER EPO EPP	reviewed
P41219	PERI_HUMAN	PRPH NEF4 PRPH1	reviewed
P13727	PRG2_HUMAN	PRG2 MBP	reviewed
Q08209	PP2BA_HUMAN	PPP3CA CALNA CNA	reviewed
Q9HCU5	PREB_HUMAN	PREB SEC12	reviewed
P55786	PSA_HUMAN	NPEPPS PSA	reviewed
Q13017	RHG05_HUMAN	ARHGAP5 RHOGAP5	reviewed
P10153	RNAS2_HUMAN	RNASE2 EDN RNS2	reviewed
O95470	SGPL1_HUMAN	SGPL1 KIAA1252	reviewed
P04179	SODM_HUMAN	SOD2	reviewed
Q9UQ90	SPG7_HUMAN	SPG7 CAR CMAR PGN	reviewed
Q6PEY2	TBA3E_HUMAN	TUBA3E	reviewed
Q13748	TBA3C_HUMAN	TUBA3C TUBA2; TUBA3D	reviewed
Q9BQE3	TBA1C_HUMAN	TUBA1C TUBA6	reviewed
Q71U36	TBA1A_HUMAN	TUBA1A TUBA3	reviewed
P68366	TBA4A_HUMAN	TUBA4A TUBA1	reviewed
P68363	TBA1B_HUMAN	TUBA1B	reviewed
P60174	TPIS_HUMAN	TPI1 TPI	reviewed
P08670	VIME_HUMAN	VIM	reviewed
Q9H269	VPS16_HUMAN	VPS16	reviewed
Q9H598	VIAAT_HUMAN	SLC32A1 VGAT VIAAT	reviewed
O94892	ZN432_HUMAN	ZNF432 KIAA0798	reviewed
