Entry	Entry name	Gene names	Status
Q4L235	ACSF4_HUMAN	AASDH ACSF4 U26 HSPC318	reviewed
O14561	ACPM_HUMAN	NDUFAB1	reviewed
O75891	AL1L1_HUMAN	ALDH1L1 FTHFD	reviewed
Q3SY69	AL1L2_HUMAN	ALDH1L2	reviewed
P49327	FAS_HUMAN	FASN FAS	reviewed
