Entry	Entry name	Gene names	Status
Q15582	BGH3_HUMAN	TGFBI BIGH3	reviewed
P00742	FA10_HUMAN	F10	reviewed
P00740	FA9_HUMAN	F9	reviewed
P08709	FA7_HUMAN	F7	reviewed
Q14393	GAS6_HUMAN	GAS6 AXLLG	reviewed
P19823	ITIH2_HUMAN	ITIH2 IGHEP2	reviewed
P08493	MGP_HUMAN	MGP MGLAP GIG36	reviewed
P02818	OSTCN_HUMAN	BGLAP	reviewed
P04070	PROC_HUMAN	PROC	reviewed
Q15063	POSTN_HUMAN	POSTN OSF2	reviewed
P07225	PROS_HUMAN	PROS1 PROS	reviewed
P22891	PROZ_HUMAN	PROZ	reviewed
Q9BZD7	TMG3_HUMAN	PRRG3 PRGP3 TMG3	reviewed
P00734	THRB_HUMAN	F2	reviewed
Q9BZD6	TMG4_HUMAN	PRRG4 PRGP4 TMG4	reviewed
P02766	TTHY_HUMAN	TTR PALB	reviewed
