sample,COSMIC,GDSC1,GDSC2,TCGA,MSI,medium,growth
A253,906794,aero_dig_tract,head and neck,,MSS/MSI-L,D/F12,Adherent
BB30-HNC,753531,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
BB49-HNC,753532,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
BHY,753535,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
BICR10,1290724,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
BICR22,1240121,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
BICR31,1290725,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
BICR78,1240122,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
Ca9-22,753538,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
CAL-27,910916,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
CAL-33,753541,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
Detroit562,906837,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
DOK,910936,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
FADU,906863,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
H3118,1240140,aero_dig_tract,head and neck,,MSS/MSI-L,R,Adherent
HN,907059,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
HO-1-N-1,924111,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12+10,Adherent
HO-1-u-1,753561,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12+10,Adherent
HSC-2,753562,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
HSC-3,907061,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
HSC-4,907062,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
JHU-011,1240161,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,R,Adherent
JHU-022,1240162,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,R,Adherent
KON,1298215,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
KOSC-2,753570,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,R,Adherent
LB771-HNC,753583,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
OSC-19,1298362,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
OSC-20,1240196,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
PCI-15A,1240204,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,R,Adherent
PCI-30,1298529,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,R,Adherent
PCI-38,1240205,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,R,Adherent
PCI-4B,1298531,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,R,Adherent
PCI-6A,1240206,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,R,Adherent
PE/CA-PJ15,1240207,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
RPMI-2650,909700,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
SAS,909708,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
SAT,1299050,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,R,Adherent
SCC-15,910911,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
SCC-25,910701,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
SCC-4,910904,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12+10,Adherent
SCC-9,909709,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent
SKN-3,1299059,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,R,Adherent
COLO-680N,906817,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Adherent
EC-GI-10,753555,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,D/F12,Adherent
ESO26,1503366,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Adherent
ESO51,1503367,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Semi-Adherent
FLO-1,1503361,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Adherent
HCE-4,753559,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,D/F12,Adherent
