,BT549,Hs-578-T,MCF7,MCF7ADR,MDA-MB-231,MDAMB435,T47D,SF268,SF295,SF539,SNB19,SNB75,U251,COLO-205,HCC2998,HCT-116,HCT-15,HT-29,KM12,SW620,CCRF-CEM,HL-60,K-562,MOLT-4,RPMI-8226,SR,LOXIMVI,M14,MALME3M,SK-MEL-2,SK-MEL-28,SK-MEL-5,UACC-257,UACC-62,A549,EKVX,HOP-62,HOP-92,NCI-H226,NCI-H23,NCI-H322M,NCI-H460,NCI-H522,IGROV-1,OVCAR-3,OVCAR-4,OVCAR-5,OVCAR-8,SK-OV-3,DU-145,PC-3,786-0,A498,ACHN,CAKI-1,RXF393,SN12C,TK10,UO31
AASDHPPT,-0.306937880605,-1.19792467154,-0.372338048587,1.23555792261,0.812702140284,-0.137754361681,0.520661481979,1.77811647616,0.668272406158,-1.36675017147,-0.156991435205,-0.403303727831,0.510244762949,-1.2949339618,-1.04742642294,-0.0496420182357,-1.40730370139,0.282950388525,0.786299080076,2.46653585107,1.66458766329,1.4383627181,3.31613603578,,2.33192950278,0.485198770687,0.892513100907,3.15390356461,-1.0740369032,-0.364074257204,-3.67434820607,0.908136526699,1.58516763364,2.59375810732,-2.36390933666,-1.89105469743,-1.23635388947,-1.17538174511,-0.90082835527,0.588806618154,-2.41152030838,1.11785170308,0.327840146947,-0.588511422388,-2.71781495167,-0.215428748069,-0.189013207939,2.51208941001,-0.950359339233,0.860650412151,0.541441059737,-4.58949937956,-0.506852823594,-0.789792721768,0.0117180226945,-0.125513990312,0.378738548486,-2.57594677383,0.568904118026
ABCB10,-1.2847429271,-1.4450887504,,0.475430363614,0.559753589469,-1.22494890919,-0.0521518426551,,,,1.62469642078,-0.345310085121,0.268565784308,-1.2197087324,1.53249484267,0.744125565193,-1.25925636098,0.71292786429,-1.23388089956,1.76479428562,0.747087604449,3.41347939141,2.07159297436,,1.19571871643,-1.63464273011,-3.41827313657,1.4445652718,,-0.777386095402,-0.656105314162,0.246675459646,0.703430407461,0.598373978119,,-0.215399797644,-1.15795496346,3.27476607397,-0.357952731164,-1.5137836862,-4.11949109941,3.22755902057,-0.168672679374,-2.68894737959,,0.240527641509,,1.57516261429,0.20498360681,-1.10403743748,0.0414742360839,,0.859621099665,,-0.427876671021,1.35012306454,-2.14956006623,-0.683167098434,
ABCE1,-0.696718896518,-1.4813975029,-0.109101530609,3.45946727896,0.98729903463,-1.51795051739,-1.07037146778,1.28040662254,-0.140522158498,-2.02346880243,0.891899365022,-0.868905106216,0.755265962096,-0.24901328547,0.480349284051,1.01070925858,-0.228103137601,1.20019573882,0.351601339889,1.86960535389,0.448883377244,1.40093483539,1.9409377673,1.73100339676,1.801377276,-1.75448541344,-1.14442792387,-3.31220318418,-2.10409661802,-1.14475719052,-3.15127627021,0.844431242203,0.593564705255,0.625807638466,0.663287020538,-1.69175942394,-2.18620963557,-1.13256308406,-0.730687146782,0.43592910803,,0.574625875764,-0.537693109179,-0.257039406306,-1.88423406972,0.489095552021,,2.11942822528,-0.560213683631,2.21311490182,0.909359947552,-4.72738773526,-0.132498291931,-0.00294371097939,-0.328223806198,0.563893905787,2.21878410372,0.380523694226,-0.486016814094
ACACA,-0.376628803048,-1.98446455471,0.799700879854,0.130604968934,-1.01777799606,,1.10053523987,2.18361374164,-0.770438120469,-1.16693487819,-1.60193927786,-1.13887970993,-0.238580360355,-0.178545275409,0.349993704134,-0.141007458784,0.0187979750518,2.73288688861,-0.617620435048,-0.0605363340841,0.234043862558,1.4559048656,1.32413048876,3.30140444345,1.68732549454,-2.52490967693,-3.54747383588,1.4325537415,-1.22933713552,-1.21399848732,-4.32516300958,0.498820099748,1.07637938623,2.60479741264,0.425724108276,-2.6892935792,-2.72678942051,-2.16493590745,0.945608073231,-1.43619740783,,1.63116874465,-0.260208579125,0.639687765393,-0.531413389107,-0.494149729116,1.19888437585,0.799501778725,0.445888553094,1.81293529444,-0.369575076533,-1.79073667445,1.23698406999,0.721154639441,0.0365346469118,-1.15653928612,0.259633364931,0.638045693788,0.778769322537
ACADSB,,,0.23669879624,,-0.383379226725,0.219570026169,-1.28028666062,,,,2.33201056905,-1.23974597548,1.06196228423,,0.788979475983,0.195000268988,-1.6130602737,,0.174700293952,2.15515707134,-1.35911465351,,,-0.978934352946,,-0.399170953232,-2.58991344517,1.08567355257,1.21013652244,-3.42409181997,-0.298927373028,4.3894127256,0.956937868094,1.49257625291,0.21122080247,-1.89210679072,-3.12506492216,1.39665191651,0.126445338567,,2.49549420902,0.765661916284,1.34633980698,-1.16314066465,,0.549608503185,-0.989406259379,,1.50713150117,0.0723465704612,-0.0427928475732,,-1.41429916681,-0.727481002464,0.821493349079,,,-2.02660375254,-0.701958355993
ACAT1,1.01620252839,-0.255088698276,-0.301230273801,1.10398311199,0.871267623592,0.133225566946,0.234890302572,4.55975839435,-2.53368304407,-0.290256073214,1.72816972558,-0.676462438369,0.170721329344,-1.54015660215,0.319235105374,-0.405180557739,-1.50274622404,-0.270204130966,-0.279551387272,1.65913240208,-1.18056859605,0.776894306503,-0.890475773072,-0.834557840291,1.34198695707,1.93720844859,-0.73615232377,2.14905797753,-0.237270189938,-3.17548068559,-2.41117585302,1.5550213923,2.73592776796,2.46831041926,-1.24280442598,-0.278024075488,-2.58734324464,0.821176722209,2.36726330129,-0.948266517384,-1.04418336389,0.966270881189,0.845307815163,-2.22383815179,-4.70932233842,1.35568940297,-0.856286546021,-0.0265571729646,-0.390130510363,0.872215431655,0.993782957416,,0.231314611339,-0.522903837283,0.621989688561,0.857944740265,-2.6308239491,-1.538754245,0.361976203356
ACAT2,0.327875245442,-1.00941190826,0.431833243293,1.03697766557,1.12933285497,-1.2029142132,0.38086940893,3.29371901799,-3.52877046316,0.750375170083,0.736055622994,1.60102097036,0.403752659478,-1.0194679239,0.817877828605,-1.04026821531,0.062204340741,0.259527148991,-1.01111671114,0.0621218408698,2.02151826166,2.53791959295,1.05086194534,3.10328511891,2.10646738158,-1.49659825121,-0.463615304776,2.80944678186,0.607358393896,,-2.32965417846,-0.206074057955,-0.518913685531,-0.0115769002597,,-2.45141250187,-4.48661263158,-2.10194729869,1.47985052757,-0.69403141506,-0.595781648677,-1.40882394851,0.215619263521,-1.60061130835,,1.77662892658,0.1096598636,0.0789044126678,-0.89174254256,1.98264719777,-1.00197109353,,-2.53767525932,-0.651965652305,-0.244751108284,0.745762764016,,-1.17626454602,0.697862512731
ACBD3,0.00635578273573,-0.949574672304,-0.883199818437,2.62977437675,0.658960743942,-0.602895916616,0.309565643723,-0.697951587052,0.556707254959,0.56909386157,1.69767956624,1.0090338417,1.20817555699,1.21444590742,0.768249663013,-0.52278450263,-2.62002857824,1.25758737604,-1.12458911519,0.607248059158,-1.24285235951,,0.164433797037,-1.82712918161,-0.505383881838,0.239403215225,-1.8080783305,,-0.479739141797,-1.19191857265,-3.33869285015,0.837691438945,1.44586277277,0.847567702157,0.954059429805,-2.32412005704,-4.5968996513,-0.661954285984,-1.41636444052,-0.557302088725,,1.49491732292,-0.811872562953,-0.269595449355,-1.29374972257,1.35281545826,-3.16363419072,1.2018933652,-0.638717620191,0.710998855154,3.43250958628,,1.40197860669,-0.199562335071,1.03379725671,2.04783790751,2.30717466608,-0.115870665343,-1.33238391025
ACOX1,-1.11710621898,-0.925566810807,1.41860551212,-0.174260459725,-1.31413293989,-1.03581446532,1.48543900801,-0.722871793463,0.016448409424,-0.155341337296,1.90868002259,-2.77281701878,2.29567614274,1.54796961491,2.17432066136,-0.987695647182,-0.439933603125,2.52476437276,-0.640270050388,0.515457558963,-0.490000669181,0.0535098771611,0.0997695896544,,-1.55537622211,0.888843451125,-2.52676855658,1.03698366457,0.868204081544,,-2.40374073952,0.939278444605,0.903176349607,1.26846679484,-0.0740030242282,-0.523709655211,-1.1241322496,0.105557285528,1.6161277172,-2.18000555168,0.199535210559,0.837210806792,3.25614510256,-2.4873284668,-3.95460908977,2.04327714285,-1.15441206523,-0.038917867787,0.368299377856,0.335748138694,3.00362542466,-0.665737963958,,-0.676900200712,1.21271877695,-1.35914973004,1.12782877805,-1.06659428687,-1.97551348196
ACTBL2,1.81190682829,0.530925844339,0.275755800582,0.986884496884,1.66107395336,1.21935532572,0.237724377162,0.932746904507,-1.2217606062,0.267471321832,1.52702984861,-0.356296692543,0.772885645355,-0.736604097172,-0.117972693481,-0.940034008286,-1.69131011809,-0.193515758714,-1.20068809036,0.605404196122,0.523260679866,3.11250862476,0.214016035629,0.212104651241,-0.350343852803,1.44772430641,0.15965216921,2.31298937823,-0.387422292265,-1.31575091799,-3.34929351903,0.669381326613,0.442123577942,1.28438083427,-0.557445199783,-4.76177070608,-3.35061662547,0.361019945488,0.0036291025862,-0.813839542746,-0.879205015373,-0.210816167556,-0.0293430806962,-1.39787886625,-2.36825229012,2.39166822343,0.887839659091,0.483116713738,-2.13036743866,0.679765692326,0.306372296938,-2.03161552964,0.856370076689,-0.0793271601726,0.0607011239656,1.10426110565,-1.8611073686,-0.5368281135,0.0284700991913
