rppa	ccle
CAOV3	CAOV3_OVARY
OC316	OC316_OVARY
BT483	BT483_BREAST
AU565	AU565_BREAST
HCC1428	HCC1428_BREAST
ACHN	ACHN_KIDNEY
CAKI1	CAKI1_KIDNEY
IGROV1	IGROV1_OVARY
OVCAR4	OVCAR4_OVARY
OVCAR8	OVCAR8_OVARY
SKOV3	SKOV3_OVARY
HL60	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
K562	K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
SF295	SF295_CENTRAL_NERVOUS_SYSTEM
BT549	BT549_BREAST
MDAMB231	MDAMB231_BREAST
T47D	T47D_BREAST
UACC62	UACC62_SKIN
UACC257	UACC257_SKIN
SKMEL28	SKMEL28_SKIN
HCT15	HCT15_LARGE_INTESTINE
KM12	KM12_LARGE_INTESTINE
DU145	DU145_PROSTATE
AN3CA	AN3CA_ENDOMETRIUM
EN	EN_ENDOMETRIUM
ESS1	ESS1_ENDOMETRIUM
KLE	KLE_ENDOMETRIUM
RL952	RL952_ENDOMETRIUM
HEC1A	HEC1A_ENDOMETRIUM
HEC6	HEC6_ENDOMETRIUM
HEC50B	HEC50B_ENDOMETRIUM
HEC108	HEC108_ENDOMETRIUM
HEC251	HEC251_ENDOMETRIUM
SNGM	SNGM_ENDOMETRIUM
MFE280	MFE280_ENDOMETRIUM
MFE296	MFE296_ENDOMETRIUM
MFE319	MFE319_ENDOMETRIUM
HEC59	HEC59_ENDOMETRIUM
HEC265	HEC265_ENDOMETRIUM
COLO684	COLO684_ENDOMETRIUM
HCC1195	HCC1195_LUNG
SKMES1	SKMES1_LUNG
SW1573	SW1573_LUNG
CALU6	CALU6_LUNG
HCC15	HCC15_LUNG
SKLU1	SKLU1_LUNG
HCC95	HCC95_LUNG
CAL27	CAL27_UPPER_AERODIGESTIVE_TRACT
FADU	FADU_UPPER_AERODIGESTIVE_TRACT
HCC2279	HCC2279_LUNG
SCC15	SCC15_UPPER_AERODIGESTIVE_TRACT
SCC25	SCC25_UPPER_AERODIGESTIVE_TRACT
HCC366	HCC366_LUNG
A549	A549_LUNG
JHOS4	JHOS4_OVARY
TYKNU	TYKNU_OVARY
DMS79	DMS79_LUNG
HCC78	HCC78_LUNG
T24	T24_URINARY_TRACT
TCCSUP	TCCSUP_URINARY_TRACT
HT1197	HT1197_URINARY_TRACT
A498	A498_KIDNEY
CAKI2	CAKI2_KIDNEY
A704	A704_KIDNEY
SKMM2	SKMM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
DEL	DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
KARPAS299	KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
JEKO1	JEKO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
JVM2	JVM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
MINO	MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
MOLT4	MOLT4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
REC1	REC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
REH	REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
SR786	SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
NALM6	NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
SUPM2	SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
P3HR1	P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
CAL51	CAL51_BREAST
CAMA1	CAMA1_BREAST
HS578T	HS578T_BREAST
JIMT1	JIMT1_BREAST
HCC2218	HCC2218_BREAST
ZR7530	ZR7530_BREAST
SKBR3	SKBR3_BREAST
HCC1500	HCC1500_BREAST
DU4475	DU4475_BREAST
BT474	BT474_BREAST
ZR751	ZR751_BREAST
UACC893	UACC893_BREAST
HCC38	HCC38_BREAST
HCC1419	HCC1419_BREAST
HCC1954	HCC1954_BREAST
HCC1187	HCC1187_BREAST
HCC1395	HCC1395_BREAST
HCC1569	HCC1569_BREAST
HCC70	HCC70_BREAST
HCC1937	HCC1937_BREAST
EFM19	EFM19_BREAST
MCF7	MCF7_BREAST
