rppa	ccle
MDAMB157	MDAMB157_BREAST
HCC1143	HCC1143_BREAST
MDAMB361	MDAMB361_BREAST
MDAMB436	MDAMB436_BREAST
UACC812	UACC812_BREAST
MDAMB468	MDAMB468_BREAST
SW1417	SW1417_LARGE_INTESTINE
LOVO	LOVO_LARGE_INTESTINE
LS123	LS123_LARGE_INTESTINE
SW837	SW837_LARGE_INTESTINE
LS411N	LS411N_LARGE_INTESTINE
DLD1	DLD1_LARGE_INTESTINE
SW48	SW48_LARGE_INTESTINE
SW480	SW480_LARGE_INTESTINE
SNUC1	SNUC1_LARGE_INTESTINE
SW620	SW620_LARGE_INTESTINE
COLO205	COLO205_LARGE_INTESTINE
NUGC3	NUGC3_STOMACH
MKN1	MKN1_STOMACH
FU97	FU97_STOMACH
SNU1	SNU1_STOMACH
OE19	OE19_OESOPHAGUS
SNU5	SNU5_STOMACH
IM95	IM95_STOMACH
OE33	OE33_OESOPHAGUS
MKN74	MKN74_STOMACH
AGS	AGS_STOMACH
MKN45	MKN45_STOMACH
SNU16	SNU16_STOMACH
JHOM1	JHOM1_OVARY
COV318	COV318_OVARY
ES2	ES2_OVARY
KURAMOCHI	KURAMOCHI_OVARY
EFO27	EFO27_OVARY
A2780	A2780_OVARY
TOV21G	TOV21G_OVARY
TOV112D	TOV112D_OVARY
OAW42	OAW42_OVARY
OVSAHO	OVSAHO_OVARY
RMUGS	RMUGS_OVARY
OVTOKO	OVTOKO_OVARY
OV90	OV90_OVARY
OVISE	OVISE_OVARY
OVMANA	OVMANA_OVARY
OAW28	OAW28_OVARY
SNU475	SNU475_LIVER
SNU449	SNU449_LIVER
SNU423	SNU423_LIVER
SNU398	SNU398_LIVER
SNU387	SNU387_LIVER
SKHEP1	SKHEP1_LIVER
PLCPRF5	PLCPRF5_LIVER
JHH7	JHH7_LIVER
JHH6	JHH6_LIVER
JHH4	JHH4_LIVER
JHH2	JHH2_LIVER
HUH7	HUH7_LIVER
HUH1	HUH1_LIVER
HLF	HLF_LIVER
HLE	HLE_LIVER
HEPG2	HEPG2_LIVER
HCC827	HCC827_LUNG
SHP77	SHP77_LUNG
CALU1	CALU1_LUNG
MM1S	MM1S_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
RI1	RI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
WSUDLCL2	WSUDLCL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
PFEIFFER	PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
OPM2	OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
KMS11	KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
L363	L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
MOLP8	MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
AMO1	AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
LP1	LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
KMS20	KMS20_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
RPMI8226	RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
U266B1	U266B1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
KMS26	KMS26_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
KMS12BM	KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
KMS34	KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
KMS27	KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
RL	RL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
SUDHL4	SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
OCILY19	OCILY19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
SUDHL8	SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
SUDHL5	SUDHL5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
SUDHL10	SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
DOHH2	DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
HT	HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
KARPAS422	KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
DB	DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
SKMEL3	SKMEL3_SKIN
SKMEL2	SKMEL2_SKIN
A2058	A2058_SKIN
SKMEL24	SKMEL24_SKIN
SKMEL5	SKMEL5_SKIN
MALME3M	MALME3M_SKIN
G361	G361_SKIN
WM115	WM115_SKIN
COLO829	COLO829_SKIN
A375	A375_SKIN
SKMEL31	SKMEL31_SKIN
SKMEL1	SKMEL1_SKIN
PATU8988T	PATU8988T_PANCREAS
PATU8902	PATU8902_PANCREAS
PL45	PL45_PANCREAS
PANC1005	PANC1005_PANCREAS
PANC0403	PANC0403_PANCREAS
PANC0504	PANC0504_PANCREAS
ASPC1	ASPC1_PANCREAS
PANC0327	PANC0327_PANCREAS
CFPAC1	CFPAC1_PANCREAS
PANC1	PANC1_PANCREAS
DANG	DANG_PANCREAS
PANC0203	PANC0203_PANCREAS
PSN1	PSN1_PANCREAS
MIAPACA2	MIAPACA2_PANCREAS
BXPC3	BXPC3_PANCREAS
PATU8988S	PATU8988S_PANCREAS
SW1990	SW1990_PANCREAS
CAPAN1	CAPAN1_PANCREAS
A673	A673_BONE
RDES	RDES_BONE
SKES1	SKES1_BONE
TC71	TC71_BONE
HT1080	HT1080_SOFT_TISSUE
U2OS	U2OS_BONE
MESSA	MESSA_SOFT_TISSUE
A204	A204_SOFT_TISSUE
MG63	MG63_BONE
SJSA1	SJSA1_BONE
SW1353	SW1353_BONE
RD	RD_SOFT_TISSUE
SKLMS1	SKLMS1_SOFT_TISSUE
HOS	HOS_BONE
FUOV1	FUOV1_OVARY
HEYA8	HEYA8_OVARY
EFE184	EFE184_ENDOMETRIUM
MCAS	MCAS_OVARY
CAL120	CAL120_BREAST
CAL148	CAL148_BREAST
CAL851	CAL851_BREAST
EFM192A	EFM192A_BREAST
EVSAT	EVSAT_BREAST
HCC1806	HCC1806_BREAST
HDQP1	HDQP1_BREAST
C2BBE1	C2BBE1_LARGE_INTESTINE
CL11	CL11_LARGE_INTESTINE
CL14	CL14_LARGE_INTESTINE
CL34	CL34_LARGE_INTESTINE
CL40	CL40_LARGE_INTESTINE
COLO320	COLO320_LARGE_INTESTINE
COLO678	COLO678_LARGE_INTESTINE
COLO741	COLO741_SKIN
HT115	HT115_LARGE_INTESTINE
HT55	HT55_LARGE_INTESTINE
MDST8	MDST8_LARGE_INTESTINE
PC3	PC3_PROSTATE
HT29	HT29_LARGE_INTESTINE
CALU3	CALU3_LUNG
NAMALWA	NAMALWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
HCT116	HCT116_LARGE_INTESTINE
EHEB	EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
DAUDI	DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
EB1	EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
NUDHL1	NUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
RAJI	RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
BL41	BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
CA46	CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
GRANTA519	GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
MC116	MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
BL70	BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
SUDHL6	SUDHL6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
OCILY10	OCILY10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
TOLEDO	TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
KOPN8	KOPN8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
MEC1	MEC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
MOLM13	MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
KASUMI2	KASUMI2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
KG1	KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
KMH2	KMH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
THP1	THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
KASUMI1	KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
HCC1599	HCC1599_BREAST
HCC202	HCC202_BREAST
MDAMB415	MDAMB415_BREAST
MDAMB453	MDAMB453_BREAST
MDAMB134VI	MDAMB134VI_BREAST
MDAMB175VII	MDAMB175VII_BREAST
