GDSC1000 cosmic id,GDSC1000 name,CCLE name
906794,A253,A253_SALIVARY_GLAND
910916,CAL-27,CAL27_UPPER_AERODIGESTIVE_TRACT
906837,Detroit562,DETROIT562_UPPER_AERODIGESTIVE_TRACT
906863,FADU,FADU_UPPER_AERODIGESTIVE_TRACT
753562,HSC-2,HSC2_UPPER_AERODIGESTIVE_TRACT
910701,SCC-25,SCC25_UPPER_AERODIGESTIVE_TRACT
909709,SCC-9,SCC9_UPPER_AERODIGESTIVE_TRACT
753573,KYSE-140,KYSE140_OESOPHAGUS
907317,KYSE-150,KYSE150_OESOPHAGUS
907318,KYSE-180,KYSE180_OESOPHAGUS
753574,KYSE-410,KYSE410_OESOPHAGUS
907320,KYSE-450,KYSE450_OESOPHAGUS
907321,KYSE-510,KYSE510_OESOPHAGUS
753575,KYSE-520,KYSE520_OESOPHAGUS
753576,KYSE-70,KYSE70_OESOPHAGUS
1298359,OE21,OE21_OESOPHAGUS
910549,OE33,OE33_OESOPHAGUS
753621,TE-1,TE1_OESOPHAGUS
946354,TE-11,TE11_OESOPHAGUS
753614,TE-15,TE15_OESOPHAGUS
735784,TE-5,TE5_OESOPHAGUS
946355,TE-6,TE617T_SOFT_TISSUE
946353,TE-9,TE9_OESOPHAGUS
907053,HEL,HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
907278,KG-1,KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
910947,OCI-AML2,OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
1330983,OCI-AML5,OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
909253,P31-FUJ,P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
909715,SIG-M5,SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
907273,KARPAS-299,KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
1331040,SUP-M2,SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
909696,REH,REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
906842,DOHH-2,DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
1303897,GRANTA-519,GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
907274,KARPAS-422,KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
907799,MC116,MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
1331033,SU-DHL-10,SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
1331035,SU-DHL-4,SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
1331037,SU-DHL-6,SUDHL6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
1331038,SU-DHL-8,SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
910706,BL-41,BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
906846,EB2,EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
909262,Raji,RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
906855,EM-2,EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
1330931,KCL-22,KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
907311,KU812,KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
908126,MEG-01,MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
1295741,AMO-1,AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
1327775,KARPAS-620,KARPAS620_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
907050,HD-MY-Z,HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
907322,L-428,L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
906800,697,697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
908147,MOLT-16,MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
909251,P12-ICHIKAWA,P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
909702,RPMI-8402,RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
909743,SUP-T1,SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
906836,DEL,DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
907270,JVM-3,JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
