cosmic,sample,TL-2-105,TAK-715,CP466722,BMS-345541,Genentech Cpd 10,GSK429286A,Ruxolitinib,SB-715992,ZSTK474,KIN001-102,CAL-101,GW-2580,BMS-708163,BX-912,LY317615,WZ3105,XMD14-99,CP724714,JW-7-24-1,ABT-869,GSK2126458,PHA-793887,TG101348,QL-XI-92,XMD15-27,QL-XII-47,AC220,EKB-569,Masitinib,OSI-930,XMD13-2,Bleomycin (50 uM),AT-7519,XL-184,NPK76-II-72-1,NG-25,TL-1-85,VX-11e,FR-180204,"Zibotentan, ZD4054",BIX02189,KIN001-236,KIN001-055,KIN001-266,NVP-BHG712,PIK-93,TPCA-1,Y-39983,YM201636,AV-951,GSK690693,KIN001-270,CH5424802,KIN001-244,KIN001-260,SB52334,AS605240,STF-62247,I-BET,MPS-1-IN-1,CX-5461,Tubastatin A,VNLG/124,XL-880,EX-527,THZ-2-49,PFI-1,UNC0638,UNC0638,OSI-027,SN-38,MP470,T0901317,IOX2,5-Fluorouracil,NSC-207895,CAY10603,GSK269962A,SB-505124,Tamoxifen,piperlongumine,PI-103,Phenformin,SNX-2112,BMS-708163,BMS-536924,AR-42,EHT 1864,QL-X-138,CCT007093,AG-014699,AZD6244,TW 37,rTRAIL,XAV 939,JNJ-26854165,PLX4720 (rescreen),CUDC-101,THZ-2-102-1,(5Z)-7-Oxozeaenol,JQ1,CHIR-99021,BMN-673,Afatinib (rescreen),UNC1215,SGC0946,Temozolomide,GSK1070916,"PXD101, Belinostat",PF-4708671,Olaparib (rescreen),YM155,FK866,AZD6482,Etoposide,Vinorelbine,Midostaurin,CCT018159,AP-24534,JNK-9L,JQ1,FTI-277,Trametinib,CHIR-99021,Shikonin,AKT inhibitor VIII,NSC-87877,AZD6482,HG-6-64-1,DMOG,JQ12,Mitomycin C,Embelin,LAQ824,Doxorubicin,QS11,Epothilone B,GSK-1904529A,Bicalutamide,OSU-03012,IPA-3,LFM-A13,GDC0941 (rescreen),Tipifarnib,FH535,BAY 61-3606,Pazopanib,AS601245,BMS-754807,OSI-906,Gemcitabine,Bryostatin 1,Obatoclax Mesylate,Bleomycin,PF-562271,GSK-650394,AUY922,RDEA119 (rescreen),Bicalutamide,PAC-1,Bexarotene,Cetuximab,Dabrafenib,Thapsigargin,Vorinostat,Bosutinib,Lenalidomide,Vinblastine,Cisplatin,Docetaxel,Olaparib,ABT-888,17-AAG,Vismodegib,Camptothecin,Methotrexate,ABT-263,AZD7762,CEP-701,AMG-706,Elesclomol,Afatinib,BX-795,Nutlin-3a,PD-173074,RO-3306,KU-55933,PLX4720,Axitinib,GW 441756,VX-702,JNK Inhibitor VIII,Cytarabine,Gefitinib,NU-7441,NVP-BEZ235,GDC0941,AZD8055,PD-0325901,AICAR,ATRA,RDEA119,CI-1040,BIRB 0796,Temsirolimus,SL 0101-1,SB590885,MK-2206,PD-0332991,AZD6244,FMK,Nilotinib,ZM-447439,YK 4-279,681640,SB 216763,MLN4924,QL-VIII-58,XMD8-92,HG-5-113-01,XMD11-85h,ZG-10,HG-5-88-01,QL-XII-61,PHA-665752,NVP-TAE684,Crizotinib,Imatinib,AZD-0530,AZ628,Parthenolide,KIN001-135,Sorafenib,Bortezomib,GSK269962A,MG-132,Paclitaxel,A-770041,BMS-509744,Pyrimethamine,GW843682X,MS-275,TGX221,Sunitinib,Z-LLNle-CHO,CGP-60474,CGP-082996,WZ-1-84,BMS-536924,CMK,A-443654,S-Trityl-L-cysteine,BI-2536,GNF-2,WH-4-023,Salubrinal,Dasatinib,XMD8-85,Roscovitine,Lapatinib,Cyclopamine,VX-680,JW-7-52-1,Erlotinib,Rapamycin
910944,ALL-PO,0.77,0.77,0.38,0.71,0.35,0.92,0.96,0.74,0.41,0.46,0.80,0.93,0.96,0.10,0.42,0.45,0.91,0.94,0.55,0.54,0.33,0.42,0.27,0.86,0.91,0.54,0.36,0.46,0.87,0.91,0.78,0.94,0.36,0.31,0.46,0.29,0.54,0.82,0.77,0.98,0.46,0.83,0.80,0.72,0.76,0.35,0.32,0.84,0.65,0.98,0.82,0.85,0.71,0.59,0.71,0.94,0.41,0.91,0.44,0.74,0.64,0.65,0.86,0.12,0.96,0.33,0.97,0.81,0.51,0.24,0.91,0.76,0.87,0.98,0.38,0.74,0.12,0.94,0.97,0.97,0.80,0.31,0.19,0.20,0.98,0.89,0.16,0.71,0.54,0.97,0.88,0.96,0.39,0.95,0.97,0.46,0.98,0.12,0.09,0.76,0.97,0.95,0.98,0.98,0.98,0.98,0.97,0.24,0.11,0.78,0.96,0.06,0.13,0.74,0.46,0.44,0.73,0.91,0.73,0.63,0.61,0.97,0.98,0.89,0.30,0.95,0.98,0.93,0.56,0.32,0.30,0.13,0.55,0.18,0.50,0.92,0.46,0.95,0.98,0.69,0.77,0.91,0.95,0.39,0.53,0.52,0.91,0.68,0.72,0.89,0.14,0.98,0.27,0.30,0.76,0.46,0.44,0.98,0.97,0.85,0.75,0.98,0.98,0.42,0.32,0.86,0.87,0.29,0.87,0.83,0.87,0.89,0.83,0.85,0.33,0.81,0.06,0.18,0.24,0.97,0.37,0.93,0.35,0.81,0.90,0.80,0.69,0.78,0.82,0.86,0.88,0.91,0.66,0.91,0.86,0.74,0.51,0.75,0.88,0.62,0.51,0.77,0.51,0.97,0.90,0.87,0.95,0.60,0.77,0.84,0.88,0.86,0.66,0.95,0.82,0.85,0.92,0.40,0.85,0.56,0.88,0.58,0.88,0.98,0.71,0.60,0.87,0.93,0.97,0.74,0.91,0.98,0.26,0.62,0.94,0.74,0.52,0.91,0.80,0.48,0.33,0.26,0.93,0.24,0.76,0.73,0.77,0.94,0.53,0.85,0.81,0.68,0.48,0.96,0.91,0.71,0.94,0.81,0.94,0.97,0.81,0.59,0.45,0.92,0.91
1295741,AMO-1,0.97,0.91,0.78,0.84,0.82,0.94,0.98,0.66,0.73,0.83,0.97,0.94,0.96,0.85,0.83,0.73,0.86,0.97,0.78,0.99,0.48,0.61,0.83,0.97,0.99,0.84,0.95,0.97,0.84,0.97,0.90,0.97,0.38,0.96,0.55,0.76,0.77,0.93,0.97,0.99,0.87,0.86,0.97,0.67,0.76,0.38,0.82,0.88,0.78,0.98,0.92,0.93,0.98,0.75,0.81,0.97,0.86,0.90,0.68,0.81,0.94,0.90,0.99,0.66,0.98,0.37,0.76,0.72,0.53,0.36,0.78,0.85,0.97,0.98,0.66,0.96,0.30,0.88,0.97,0.98,0.77,0.47,0.51,0.18,0.99,0.72,0.40,0.98,0.77,0.99,0.99,0.93,0.67,0.96,0.98,0.81,0.99,0.37,0.10,0.69,0.98,0.87,0.97,0.97,0.98,0.98,0.98,0.94,0.20,0.97,0.99,0.02,0.02,0.98,0.89,0.60,0.99,0.94,0.98,0.61,0.74,0.99,0.89,0.98,0.51,0.97,0.99,0.96,0.93,0.65,0.75,0.40,0.89,0.29,0.70,0.93,0.54,0.99,0.99,0.71,0.76,0.95,0.67,0.79,0.70,0.88,0.95,0.84,0.64,0.80,0.76,0.99,0.32,0.89,0.98,0.94,0.54,0.90,0.98,0.84,0.98,0.99,0.87,0.23,0.51,0.96,0.98,0.37,0.97,0.76,0.99,0.99,0.70,0.99,0.86,0.63,0.99,0.74,0.52,0.99,0.87,0.99,0.81,0.86,0.99,0.99,0.99,0.99,0.98,0.94,0.95,0.99,0.93,0.99,0.99,0.67,0.75,0.69,0.93,0.75,0.92,0.86,0.91,0.99,0.85,0.99,0.99,0.91,0.98,0.99,0.98,0.99,0.93,0.56,0.99,0.99,0.91,0.28,0.84,0.72,0.95,0.65,0.80,0.95,0.99,0.88,0.98,0.99,0.99,0.95,0.99,0.99,0.95,0.34,0.98,0.64,0.53,0.99,0.93,0.86,0.49,0.75,0.99,0.90,0.69,0.70,0.96,0.99,0.82,0.97,0.69,0.65,0.65,0.99,0.99,0.94,0.97,0.92,0.95,0.99,0.98,0.92,0.63,0.99,0.90
910692,COLO-668,0.95,0.89,0.90,0.69,0.62,0.92,0.98,0.86,0.76,0.71,0.96,0.98,0.98,0.92,0.43,0.95,0.97,0.97,0.86,0.98,0.70,0.98,0.82,0.94,0.99,0.45,0.97,0.98,0.89,0.99,0.92,0.93,0.77,0.93,0.90,0.90,0.93,0.89,0.96,0.97,0.93,0.99,0.99,0.86,0.91,0.85,0.86,0.95,0.93,0.97,0.98,0.99,0.98,0.88,0.98,0.86,0.68,0.99,0.91,0.82,0.98,0.96,0.99,0.61,0.99,0.99,0.97,0.82,0.67,0.78,0.64,0.83,0.97,0.98,0.70,0.99,0.53,0.96,0.98,0.99,0.89,0.60,0.68,0.41,0.84,0.91,0.61,0.95,0.82,0.98,0.99,0.95,0.81,0.99,0.99,0.93,0.99,0.62,0.58,0.90,0.98,0.99,0.80,0.98,0.99,0.99,0.99,0.84,0.50,0.88,0.99,0.52,0.98,0.90,0.61,0.80,0.93,0.86,0.92,0.57,0.87,0.99,0.96,0.99,0.66,0.95,0.96,0.93,0.80,0.36,0.69,0.07,0.81,0.32,0.56,0.95,0.87,0.99,0.99,0.81,0.96,0.98,0.93,0.69,0.63,0.88,0.98,0.84,0.50,0.73,0.29,0.99,0.32,0.06,0.97,0.94,0.62,0.93,0.99,0.82,0.97,0.99,0.99,0.45,0.80,0.98,0.97,0.94,0.96,0.93,0.99,0.92,0.88,0.99,0.68,0.91,0.92,0.89,0.98,0.99,0.96,0.99,0.92,0.98,0.98,0.98,0.96,0.98,0.98,0.98,0.99,0.99,0.77,0.96,0.99,0.92,0.98,0.97,0.96,0.96,0.99,0.87,0.97,0.90,0.98,0.98,0.99,0.96,0.99,0.95,0.94,0.94,0.94,0.93,0.93,0.99,0.87,0.72,0.98,0.88,0.99,0.84,0.92,0.97,0.99,0.93,0.99,0.99,0.99,0.94,0.99,0.97,0.98,0.94,0.97,0.98,0.91,0.97,0.94,0.96,0.82,0.97,0.98,0.95,0.98,0.89,0.99,0.99,0.68,0.99,0.79,0.93,0.91,0.99,0.98,0.95,0.99,0.92,0.94,0.90,0.99,0.99,0.69,0.95,0.88
1297439,COR-L95,0.92,0.99,0.87,0.86,0.94,0.97,0.97,0.93,0.91,0.88,0.97,0.97,0.98,0.96,0.90,0.72,0.98,0.98,0.77,0.98,0.84,0.80,0.85,0.96,0.99,0.52,0.98,0.96,0.85,0.98,0.94,0.96,0.63,0.97,0.90,0.96,0.97,0.98,0.98,0.98,0.97,0.97,0.98,0.94,0.97,0.89,0.95,0.93,0.92,0.98,0.90,0.98,0.98,0.90,0.97,0.89,0.98,0.98,0.93,0.90,0.50,0.98,0.98,0.76,0.99,0.86,0.97,0.91,0.60,0.65,0.94,0.86,0.99,0.99,0.77,0.86,0.72,0.95,0.94,0.98,0.93,0.71,0.38,0.62,0.99,0.94,0.61,0.94,0.50,0.99,0.99,0.98,0.83,0.99,0.99,0.88,0.99,0.91,0.54,0.93,0.98,0.98,0.93,0.99,0.99,0.99,0.99,0.95,0.42,0.96,0.98,0.29,0.97,0.99,0.86,0.96,0.99,0.99,0.99,0.77,0.98,0.99,0.98,0.99,0.65,0.97,0.98,0.98,0.98,0.64,0.98,0.59,0.97,0.57,0.77,0.97,0.96,0.99,0.99,0.96,0.97,0.98,0.92,0.95,0.96,0.93,0.98,0.95,0.89,0.91,0.90,0.98,0.91,0.54,0.99,0.98,0.80,0.98,0.99,0.97,0.98,0.97,0.98,0.89,0.89,0.99,0.99,0.92,0.91,0.92,0.99,0.99,0.92,0.99,0.93,0.98,0.56,0.80,0.86,0.98,0.66,0.99,0.99,0.99,0.99,0.98,0.99,0.99,0.98,0.89,0.99,0.98,0.86,0.99,0.98,0.97,0.94,0.94,0.95,0.95,0.99,0.98,0.98,0.95,0.96,0.99,0.99,0.85,0.99,0.99,0.97,0.99,0.99,0.96,0.99,0.99,0.95,0.65,0.99,0.92,0.98,0.80,0.95,0.96,0.98,0.83,0.97,0.98,0.98,0.96,0.92,0.99,0.96,0.74,0.98,0.95,0.90,0.90,0.89,0.89,0.92,0.73,0.98,0.98,0.97,0.82,0.96,0.99,0.83,0.96,0.79,0.94,0.93,0.99,0.94,0.95,0.99,0.95,0.98,0.98,0.97,0.98,0.80,0.99,0.97
906838,DG-75,0.96,0.88,0.81,0.74,0.88,0.98,0.99,0.83,0.93,0.85,0.99,0.98,0.99,0.92,0.85,0.73,0.98,0.98,0.84,0.99,0.90,0.78,0.86,0.98,0.99,0.74,0.99,0.97,0.87,0.97,0.93,0.89,0.43,0.99,0.86,0.86,0.89,0.98,0.99,0.98,0.94,0.98,0.98,0.87,0.95,0.84,0.89,0.96,0.90,0.99,0.99,0.98,0.99,0.92,0.96,0.97,0.93,0.98,0.83,0.94,0.96,0.98,0.99,0.77,0.97,0.59,0.62,0.74,0.79,0.74,0.89,0.94,0.95,0.99,0.95,0.99,0.58,0.90,0.95,0.94,0.74,0.85,0.67,0.92,0.97,0.95,0.67,0.91,0.86,0.95,0.93,0.96,0.51,0.98,0.97,0.89,0.94,0.66,0.28,0.68,0.97,0.94,0.93,0.92,0.98,0.98,0.98,0.98,0.48,0.90,0.96,0.07,0.51,0.68,0.93,0.89,0.98,0.83,0.99,0.71,0.84,0.99,0.95,0.98,0.49,0.99,0.98,0.99,0.90,0.63,0.89,0.76,0.96,0.74,0.85,0.98,0.91,0.99,0.99,0.77,0.97,0.98,0.84,0.95,0.90,0.96,0.98,0.98,0.99,0.99,0.91,0.98,0.74,0.73,0.99,0.98,0.94,0.97,0.97,0.96,0.98,0.99,0.90,0.90,0.56,0.83,0.92,0.46,0.95,0.79,0.97,0.98,0.81,0.93,0.79,0.50,0.93,0.46,0.47,0.97,0.59,0.97,0.88,0.95,0.90,0.95,0.83,0.82,0.93,0.97,0.96,0.96,0.76,0.97,0.86,0.62,0.75,0.61,0.98,0.81,0.96,0.97,0.93,0.97,0.43,0.90,0.98,0.83,0.63,0.93,0.99,0.97,0.87,0.74,0.85,0.99,0.95,0.23,0.71,0.78,0.88,0.53,0.96,0.92,0.99,0.98,0.98,0.99,0.99,0.98,0.96,0.98,0.98,0.76,0.96,0.99,0.74,0.93,0.92,0.86,0.67,0.78,0.99,0.86,0.88,0.81,0.95,0.98,0.95,0.94,0.83,0.86,0.80,0.99,0.94,0.90,0.92,0.85,0.94,0.99,0.98,0.97,0.67,0.99,0.93
753555,EC-GI-10,0.99,0.95,0.99,0.92,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.99,0.99,0.95,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.52,0.96,0.94,0.85,0.97,0.99,0.97,0.98,0.99,0.97,0.99,0.98,0.97,0.96,0.85,0.92,0.94,0.97,0.99,0.99,0.96,0.99,0.91,0.99,0.98,0.98,0.99,0.98,0.97,0.99,0.99,0.99,0.81,0.99,0.99,0.90,0.92,0.98,0.98,0.67,0.70,0.99,0.99,0.95,0.99,0.98,0.93,0.99,0.94,0.78,0.99,0.99,0.88,0.98,0.97,0.85,0.92,0.99,0.97,0.98,0.87,0.59,0.99,0.88,0.92,0.94,0.68,0.57,0.71,0.99,0.99,0.70,0.29,0.97,0.99,0.94,0.99,0.82,0.96,0.94,0.92,0.08,0.89,0.97,0.91,0.99,0.80,0.99,0.80,0.99,0.99,0.28,0.99,0.95,0.99,0.99,0.99,0.99,0.93,0.99,0.75,0.97,0.81,0.96,0.98,0.89,0.99,0.98,0.97,0.98,0.99,0.70,0.99,0.84,0.99,0.98,0.97,0.98,0.99,0.97,0.99,0.90,0.91,0.98,0.98,0.94,0.79,0.98,0.99,0.99,0.91,0.94,0.79,0.76,0.88,0.99,0.39,0.91,0.51,0.99,0.99,0.87,0.99,0.54,0.99,0.99,0.88,0.71,0.97,0.71,0.56,0.86,0.99,0.99,0.96,0.97,0.98,0.97,0.99,0.99,0.97,0.72,0.90,0.98,0.49,0.66,0.72,0.70,0.91,0.96,0.62,0.89,0.96,0.86,0.97,0.99,0.71,0.84,0.99,0.99,0.99,0.90,0.65,0.99,0.99,0.56,0.19,0.93,0.71,0.97,0.67,0.97,0.98,0.99,0.99,0.99,0.99,0.98,0.99,0.99,0.99,0.97,0.89,0.97,0.97,0.90,0.99,0.99,0.98,0.89,0.99,0.99,0.99,0.96,0.95,0.99,0.98,0.99,0.99,0.89,0.92,0.84,0.99,0.99,0.98,0.98,0.99,0.99,0.98,0.99,0.99,0.97,0.98,0.99
684057,ES5,0.76,0.74,0.70,0.72,0.45,0.92,0.96,0.61,0.38,0.50,0.80,0.97,0.98,0.44,0.64,0.59,0.89,0.97,0.41,0.98,0.20,0.74,0.50,0.87,0.98,0.56,0.93,0.85,0.77,0.80,0.70,0.59,0.36,0.80,0.47,0.77,0.81,0.91,0.92,0.98,0.88,0.92,0.93,0.84,0.87,0.41,0.57,0.90,0.63,0.98,0.31,0.94,0.82,0.81,0.88,0.86,0.73,0.91,0.78,0.55,0.66,0.70,0.92,0.37,0.97,0.26,0.73,0.59,0.49,0.16,0.63,0.91,0.97,0.97,0.68,0.88,0.20,0.92,0.96,0.97,0.83,0.28,0.46,0.35,0.90,0.71,0.22,0.95,0.44,0.98,0.86,0.97,0.55,0.86,0.98,0.91,0.93,0.28,0.10,0.75,0.97,0.93,0.60,0.96,0.98,0.98,0.98,0.44,0.14,0.93,0.86,0.04,0.25,0.92,0.81,0.77,0.92,0.90,0.92,0.72,0.76,0.98,0.97,0.98,0.63,0.88,0.98,0.91,0.74,0.64,0.72,0.55,0.77,0.35,0.84,0.93,0.85,0.98,0.98,0.71,0.85,0.95,0.60,0.70,0.74,0.78,0.96,0.91,0.24,0.49,0.55,0.98,0.37,0.54,0.91,0.98,0.67,0.98,0.97,0.84,0.98,0.97,0.85,0.55,0.59,0.81,0.98,0.46,0.73,0.56,0.82,0.96,0.90,0.95,0.28,0.87,0.81,0.55,0.27,0.93,0.49,0.93,0.71,0.95,0.88,0.96,0.93,0.77,0.82,0.92,0.96,0.97,0.58,0.98,0.86,0.51,0.30,0.47,0.98,0.90,0.97,0.95,0.94,0.95,0.63,0.97,0.95,0.65,0.63,0.94,0.97,0.94,0.72,0.66,0.87,0.96,0.80,0.20,0.87,0.64,0.95,0.64,0.66,0.95,0.96,0.92,0.98,0.97,0.98,0.94,0.98,0.98,0.96,0.81,0.92,0.92,0.97,0.98,0.92,0.98,0.96,0.94,0.98,0.93,0.97,0.96,0.98,0.98,0.95,0.97,0.96,0.98,0.97,0.98,0.97,0.98,0.98,0.87,0.98,0.98,0.98,0.98,0.91,0.98,0.98
907041,GT3TKB,0.99,0.95,0.96,0.97,0.92,0.98,0.99,0.50,0.98,0.99,0.99,0.99,0.99,0.97,0.99,0.98,0.99,0.99,0.92,0.99,0.98,0.96,0.98,0.99,0.99,0.75,0.99,0.99,0.99,0.98,0.96,0.09,0.86,0.99,0.93,0.97,0.99,0.99,0.99,0.99,0.99,0.95,0.99,0.97,0.99,0.96,0.97,0.98,0.98,0.99,0.99,0.98,0.99,0.93,0.99,0.99,0.99,0.98,0.98,0.97,0.98,0.98,0.98,0.82,0.99,0.99,0.73,0.88,0.90,0.92,0.28,0.89,0.98,0.99,0.97,0.86,0.68,0.76,0.94,0.93,0.57,0.96,0.84,0.52,0.99,0.94,0.67,0.86,0.89,0.99,0.95,0.76,0.51,0.93,0.72,0.91,0.82,0.65,0.57,0.56,0.98,0.76,0.32,0.90,0.99,0.99,0.98,0.99,0.56,0.95,0.78,0.02,0.04,0.87,0.34,0.26,0.87,0.80,0.98,0.40,0.57,0.97,0.28,0.99,0.35,0.97,0.98,0.98,0.74,0.47,0.75,0.27,0.61,0.47,0.40,0.90,0.30,0.99,0.99,0.76,0.78,0.98,0.78,0.63,0.59,0.96,0.89,0.83,0.85,0.96,0.26,0.97,0.22,0.05,0.92,0.89,0.45,0.65,0.97,0.99,0.89,0.98,0.96,0.37,0.76,0.95,0.99,0.25,0.85,0.52,0.96,0.99,0.52,0.99,0.32,0.98,0.98,0.93,0.63,0.99,0.62,0.98,0.79,0.98,0.96,0.95,0.90,0.99,0.95,0.99,0.98,0.98,0.71,0.99,0.93,0.42,0.94,0.90,0.88,0.93,0.94,0.91,0.89,0.99,0.87,0.98,0.99,0.99,0.86,0.93,0.99,0.98,0.93,0.57,0.94,0.99,0.39,0.20,0.84,0.75,0.97,0.48,0.99,0.93,0.99,0.89,0.99,0.99,0.99,0.97,0.99,0.99,0.97,0.54,0.87,0.84,0.34,0.99,0.93,0.99,0.40,0.88,0.99,0.87,0.77,0.68,0.86,0.99,0.86,0.97,0.80,0.50,0.52,0.97,0.99,0.92,0.96,0.95,0.96,0.95,0.99,0.78,0.58,0.99,0.98
1327766,JJN-3,0.90,0.91,0.73,0.83,0.80,0.97,0.99,0.69,0.74,0.83,0.98,0.99,0.99,0.81,0.89,0.66,0.97,0.99,0.55,0.99,0.63,0.51,0.63,0.81,0.95,0.46,0.99,0.95,0.72,0.93,0.74,0.96,0.70,0.97,0.74,0.87,0.90,0.94,0.98,0.99,0.96,0.93,0.98,0.86,0.83,0.59,0.76,0.97,0.91,0.99,0.92,0.98,0.99,0.87,0.88,0.97,0.85,0.97,0.70,0.89,0.98,0.92,0.97,0.82,0.97,0.51,0.81,0.85,0.75,0.21,0.88,0.87,0.93,0.99,0.87,0.95,0.38,0.90,0.99,0.97,0.68,0.33,0.81,0.34,0.99,0.97,0.38,0.99,0.45,0.99,0.99,0.96,0.61,0.99,0.99,0.92,0.99,0.37,0.08,0.61,0.99,0.98,0.98,0.98,0.99,0.99,0.98,0.88,0.23,0.97,0.99,0.02,0.05,0.99,0.93,0.55,0.96,0.92,0.98,0.53,0.63,0.99,0.96,0.99,0.37,0.99,0.99,0.97,0.89,0.29,0.76,0.71,0.91,0.40,0.81,0.98,0.64,0.99,0.99,0.75,0.60,0.99,0.93,0.78,0.69,0.81,0.99,0.87,0.93,0.94,0.82,0.98,0.13,0.86,0.93,0.93,0.59,0.98,0.99,0.99,0.92,0.99,0.91,0.13,0.52,0.97,0.98,0.24,0.98,0.78,0.99,0.99,0.90,0.94,0.59,0.96,0.82,0.73,0.50,0.98,0.49,0.98,0.80,0.99,0.99,0.99,0.97,0.99,0.95,0.82,0.96,0.99,0.32,0.98,0.99,0.65,0.84,0.76,0.94,0.79,0.80,0.73,0.70,0.99,0.81,0.99,0.99,0.95,0.99,0.99,0.98,0.94,0.89,0.72,0.99,0.99,0.90,0.34,0.87,0.78,0.91,0.73,0.96,0.93,0.99,0.82,0.99,0.99,0.99,0.89,0.85,0.99,0.89,0.35,0.97,0.65,0.57,0.97,0.95,0.98,0.45,0.76,0.99,0.87,0.69,0.68,0.96,0.99,0.87,0.81,0.80,0.69,0.63,0.98,0.99,0.89,0.92,0.92,0.94,0.99,0.99,0.90,0.58,0.99,0.79
907279,KINGS-1,0.97,0.98,0.98,0.93,0.84,0.98,0.98,0.88,0.93,0.95,0.95,0.98,0.97,0.91,0.95,0.92,0.98,0.98,0.74,0.97,0.76,0.93,0.87,0.97,0.98,0.87,0.98,0.96,0.84,0.97,0.91,0.80,0.84,0.81,0.95,0.82,0.87,0.95,0.98,0.98,0.96,0.98,0.98,0.86,0.95,0.70,0.90,0.95,0.89,0.97,0.97,0.96,0.98,0.85,0.97,0.98,0.86,0.97,0.92,0.94,0.81,0.97,0.97,0.47,0.97,0.86,0.94,0.80,0.59,0.77,0.86,0.97,0.96,0.94,0.85,0.93,0.47,0.92,0.95,0.98,0.80,0.69,0.49,0.42,0.85,0.96,0.50,0.94,0.72,0.93,0.91,0.92,0.77,0.98,0.97,0.86,0.97,0.50,0.37,0.78,0.96,0.79,0.90,0.97,0.98,0.98,0.97,0.97,0.40,0.94,0.97,0.09,0.93,0.84,0.91,0.79,0.87,0.91,0.95,0.84,0.96,0.96,0.79,0.98,0.76,0.93,0.98,0.82,0.65,0.63,0.91,0.81,0.92,0.56,0.83,0.98,0.84,0.96,0.98,0.87,0.98,0.95,0.83,0.83,0.80,0.97,0.94,0.93,0.71,0.93,0.96,0.98,0.50,0.95,0.89,0.98,0.59,0.89,0.97,0.98,0.90,0.97,0.86,0.34,0.82,0.95,0.97,0.54,0.90,0.57,0.98,0.97,0.69,0.97,0.90,0.88,0.88,0.82,0.64,0.91,0.80,0.93,0.84,0.98,0.98,0.97,0.94,0.98,0.94,0.87,0.98,0.97,0.84,0.98,0.94,0.71,0.83,0.83,0.85,0.91,0.98,0.74,0.92,0.98,0.78,0.97,0.98,0.89,0.83,0.88,0.97,0.98,0.93,0.81,0.95,0.94,0.91,0.39,0.97,0.86,0.97,0.80,0.97,0.95,0.57,0.92,0.64,0.96,0.86,0.83,0.97,0.98,0.96,0.42,0.95,0.61,0.66,0.80,0.88,0.92,0.75,0.78,0.86,0.93,0.70,0.76,0.87,0.95,0.86,0.98,0.73,0.75,0.79,0.96,0.64,0.95,0.58,0.95,0.97,0.97,0.95,0.95,0.46,0.98,0.62
