,59M,A2780,A2780CP70,COV318,Caov-3,DOV13,HEYA8,IGROV-1,IGROV1CP,IOSE397,IOSE7576,JHOS-2,JHOS-5,KURAMOCHI,ME-180,ME180C13,OVCA433,OVCAR-3,OVCAR-5,OVISE,OVKATE,OVSAHO,PEO1,PEO4,SKOV3IP1,SNU119,TOV-112D,TOV112DR,TYK-nu,TYKNUCP
A2M,-0.588242275449,,-0.273079401261,1.04108659869,1.29071072148,-1.03534714487,0.56095386217,-2.08942986028,,-0.938744638985,-1.09802323736,0.980363721289,0.75059723724,2.19095407643,,,-1.67743658743,2.70649159867,3.25033958578,-1.24730130183,0.783835732257,-0.268765546078,-0.794549625425,,,0.0152548875938,,-0.721187987203,-1.46510692441,0.452387607387
AACS,-0.678551809747,-0.443716996901,-2.23697003998,0.332434401029,3.07828075463,-3.11510160508,-1.14757656674,2.43021247214,1.79480754897,-0.964248266628,0.433706229497,0.304932899796,-0.648909255282,1.63782872009,1.60563705153,1.38210709825,1.57772346837,0.225964938613,-0.128798103901,0.57317696973,-1.47618357378,-1.06470858113,1.02107148605,0.953489016764,-0.339096394486,-0.381260298719,-2.53882517922,-1.22844723915,0.645821656788,-1.83859934903
AAGAB,-1.32189465413,-0.479473145416,0.219331852313,-1.41332610684,-0.897223317513,0.885381319138,-1.22657375222,0.474842760847,0.978827153244,-0.317470309689,0.670044876454,-3.94252285402,-0.359964505601,-2.0810998864,0.461132099633,-0.736814275712,1.55274820008,2.09033702466,1.59595660442,0.609312080608,-0.528715899799,-2.51210635036,-2.35642394649,-0.199766090701,1.02954595447,0.227945954731,-0.00194318008788,1.61020378015,1.06917676357,3.90393638609
AARS,-0.244944115204,-1.16590394156,1.56681499969,-1.92087163995,-1.25507113808,-1.56069911941,-0.988025149808,-0.178668611748,-0.313909968325,-0.199940361374,0.486331516599,0.922659263132,0.219914448728,-0.819940938434,0.0388879993017,1.05837448842,-1.28390354343,-3.80715682548,1.04422868556,1.47162857926,0.0799169459976,-1.13354849308,0.190365161466,-2.57967074752,0.102462326343,1.22056181444,2.80754633273,3.26283013547,2.71316628703,0.453965126918
AARS2,-1.15645744897,0.422570303782,-3.5807038009,1.06848830112,2.63549179809,-2.18245340028,0.0872604172674,-0.664258917968,0.491007924468,0.947612243374,0.220416965849,-0.273954585539,1.07507297386,1.95312334616,-0.231618722222,-0.649054117337,0.994369567053,-1.00102645419,0.534483204706,2.96935736414,-3.09285313487,0.471877139773,-1.68129012984,-0.0397098791546,2.87559342797,-1.00142131453,-1.48841923558,-0.233737697682,0.355033069519,-0.24638685589
AATF,-2.80478827938,-0.315165197255,1.16965440563,0.400532120535,-0.366402316514,1.52478092224,0.0531985315956,0.61967923524,1.13071637342,0.862419522419,0.88125618189,-0.283293104203,1.19821909049,-3.77567607347,-0.277901380483,-1.83524789168,-0.613610762629,-0.861518830785,2.49390270942,0.819700168361,-0.780529918981,-0.0819709005908,0.560424697364,-1.23861299389,-0.941258951304,-1.66607108277,2.29490367485,3.11826722807,-0.0161512695581,-2.3473716072
ABCB1,,0.211169952708,-0.976575216859,2.35908274118,0.260957086666,1.49045718407,-0.421787074379,3.35796783346,3.01431102773,-0.0125484150865,,-0.17361593716,0.041535473796,-1.27389739563,0.855672842245,0.956563511824,-0.589998186902,-0.397535438594,-2.0729742355,-2.28193184466,0.233067499132,-1.06198589601,,-0.461974447192,-0.575997961478,0.337992166687,-0.539783898176,0.226083496143,0.628797789659,-0.984034481482
ABCB10,-0.87279301471,3.64197440526,2.05584449099,-2.00580203991,-0.432202616752,0.516319546705,-0.491050216242,-0.519668666891,-0.229935555232,-0.0629258871871,-0.0844747898902,-1.51871088941,1.10529694869,-1.38106087491,-0.479707674152,-0.852316625129,0.947822809412,-3.78806155898,0.563678092904,0.631448844426,-1.21266803316,1.37525139405,-1.02284206968,-2.4255127392,1.12038573031,2.45128108187,-0.680265715944,0.437089210988,1.70484028416,1.84513098462
ABCB8,0.160822943861,-1.87030155676,0.390487451618,-0.161287598106,0.447287000789,-3.29445813215,-0.870318293204,,,-1.6212478761,-1.92340866535,-0.427186993112,-0.503695591136,3.63534620279,0.65370953209,-1.09872742719,0.261564677953,,0.319695282383,-0.183353874774,1.84007720852,0.652228443312,2.61545715646,,-1.65057372792,0.990772247265,,1.52606533668,1.59037108326,-0.895863693575
ABCC5,,0.263356439065,0.0547166298118,-0.226038623532,-0.10311057944,0.0525427848919,-1.1476715712,-0.435766993471,-0.923564571279,,,-1.50591629076,-1.42646529676,-2.18372825571,1.82363909752,3.19127525279,,,1.93595452811,1.77289260016,-0.293167169462,-0.594581883048,0.912520912558,0.273287125462,-1.57209033997,2.76981408128,-1.53287327632,0.273973492374,-0.420034702814,0.973877898837
