Majority protein IDs,Gene names,ME-180,ME180C13,59M,A2780,A2780CP70,Caov-3,COV318,DOV13,HEYA8,IGROV-1,IGROV1CP,IOSE397,IOSE7576,JHOS-2,JHOS-5,KURAMOCHI,OVCA433,OVCAR-3,OVCAR-5,OVISE,OVKATE,OVSAHO,PEO1,PEO4,SKOV3IP1,SNU119,TOV-112D,TOV112DR,TYK-nu,TYKNUCP
P63313,TMSB10,32.76036,30.97138,32.36241,32.9463,32.70656,33.12974,33.0281,33.26877,33.57407,31.61864,32.11932,30.90132,33.63114,33.4723,33.27545,30.68135,32.90135,33.40363,33.17718,32.13513,33.17963,32.00464,33.61456,32.9964,32.82538,31.92635,30.74182,30.30737,31.51644,33.30973
P04406;E7EUT5,GAPDH,36.01012,36.28092,36.2398,35.19168,35.80511,36.00215,36.13352,35.68862,36.12147,35.62408,35.61308,35.29844,35.72553,36.47469,35.66424,36.32286,36.87154,36.05409,35.95777,35.58528,35.43428,35.97427,36.0849,36.22651,35.43784,36.51259,35.01775,35.61979,35.16076,35.65797
C9J0K6;P30626;B4DHQ6,SRI,29.35714,28.82244,29.65768,29.65789,30.10225,30.16303,31.27453,30.59886,29.90627,29.92846,29.63012,29.92691,30.09848,30.55179,30.66636,30.95546,30.82593,30.30389,30.12879,29.75262,31.35369,31.36469,30.84946,29.62928,30.36087,30.08613,30.81299,30.41659,31.6471,30.5993
Q15370;B8ZZU8;I3L0M9,TCEB2,30.33117,30.38926,29.93747,30.80239,30.87166,30.35888,30.4003,30.28901,30.60867,30.37316,30.41216,30.41609,31.20105,30.40892,30.38577,30.8592,30.24898,30.33575,30.91954,30.90038,31.01757,30.24841,29.23845,30.63097,30.67337,30.19894,30.3715,30.80232,29.73802,30.65514
P10599,TXN,33.16743,33.8854,32.84167,31.97763,32.87615,33.20456,32.00761,32.76705,33.00192,32.1808,32.63958,32.64539,32.72106,33.7751,31.70302,32.93535,32.95454,32.9321,33.4184,33.18887,33.74364,32.58468,32.42079,31.68316,32.90552,32.59393,32.74687,32.62697,32.73362,33.19172
O95777;C9JIZ0;F2Z2Y6;C9JNV3,NAA38,28.72136,29.11366,28.39366,28.78332,28.7387,28.45548,28.52951,28.29448,28.30178,28.90245,28.71607,28.82481,28.25597,28.94461,28.39954,28.9904,28.25377,28.51751,28.57751,28.6797,28.409,28.82031,28.6727,28.38895,28.222,29.41873,28.27835,28.2882,28.59843,28.76929
P84090,ERH,31.15442,30.05621,31.66738,32.13522,31.34488,32.25867,31.50999,30.34,31.26282,30.57542,30.66746,30.32378,31.18116,32.10637,31.46363,30.88125,30.60823,31.7533,30.21292,30.90247,30.82434,31.25552,30.29373,31.15104,30.75167,31.19923,30.91833,30.7997,30.2255,31.14977
P06703;R4GN98,S100A6,34.04669,31.6039,34.37581,23.31645,27.98441,34.67451,32.33439,32.70979,31.74415,31.89432,31.711,31.28383,31.62052,35.13721,33.11345,33.05087,33.64592,32.66057,32.20134,32.47441,34.9063,33.36098,33.48843,34.0594,33.81945,32.66185,26.45651,28.88204,31.79989,32.8962
Q9NYJ1,COA4,25.56601,25.70636,26.21254,23.95518,26.78955,27.42382,28.41683,27.07541,27.67734,26.17163,26.51842,26.42762,27.08264,28.5216,28.29246,22.68215,25.76142,28.5642,25.65957,27.70055,28.54134,27.80329,28.69362,27.55435,26.56423,24.09225,26.84542,27.5755,27.35161,27.30138
P62306,SNRPF,30.36953,30.10612,30.03735,31.22009,31.09283,30.09295,29.34092,29.67401,30.70718,30.22124,30.40335,29.66777,30.15666,29.37925,29.29391,30.23066,30.45992,29.27302,29.59164,30.34932,29.29336,29.59886,30.53982,30.59877,30.20618,30.45425,30.46314,29.82281,29.79645,30.32956
O75506,HSBP1,28.92801,29.52234,27.81293,28.22858,29.28337,27.4215,27.81109,31.2674,29.36451,28.99289,29.5644,29.83574,30.93452,30.00089,29.67801,28.79541,27.7625,28.02565,30.02406,30.93178,28.27644,28.38731,23.60229,27.1517,30.47798,29.20641,28.99615,28.67724,28.58742,29.22122
P08670;B0YJC4,VIM,33.02475,31.37254,37.35202,37.57437,37.70735,33.23507,35.03572,37.23248,37.78323,35.36454,35.22659,36.27314,37.40038,36.63774,30.81978,36.62595,34.59729,32.50555,34.61686,31.47523,35.61949,36.58916,32.1161,32.14157,36.7975,31.72602,36.6007,36.41573,36.19736,36.74284
Q15369;E5RHG8;R4GMY8,TCEB1,30.43956,30.34043,29.95019,30.89077,30.73925,30.35353,30.53631,30.1343,30.46684,30.29395,30.30356,30.32539,30.65326,30.66966,30.48693,30.82972,30.31073,30.16639,30.42011,30.98733,30.5691,30.33926,30.68269,30.73586,30.57452,30.4567,30.4175,30.4515,30.69445,30.32131
P60709,ACTB,36.42026,35.57382,36.35844,36.35942,36.56907,36.9155,37.11284,36.86164,36.55256,35.45037,35.06864,36.08332,37.10603,36.73782,36.86267,36.95253,37.46386,36.95307,36.7629,36.37017,36.8028,36.66779,36.76241,36.4212,36.31709,36.66262,35.61952,36.00705,35.70599,36.75546
Q9BVJ7,DUSP23,23.53279,25.75573,26.60809,NaN,NaN,22.93566,27.64024,27.2469,23.00196,26.64127,26.18956,24.9498,24.96257,28.03144,25.46298,26.3974,26.81397,26.95027,22.5479,25.25972,28.99731,28.12647,28.00903,27.35111,26.33736,26.99841,23.25624,21.95426,22.84732,21.4054
P23528;E9PP50;E9PK25;G3V1A4;E9PQB7;E9PS23;E9PLJ3,CFL1,34.10727,34.20237,34.65688,34.193,34.10868,34.74655,34.81798,34.7987,34.77618,33.95731,33.896,34.11241,34.48825,35.06856,34.64539,34.67735,34.51295,35.20536,34.53467,34.11505,35.3042,34.70646,34.41602,34.81435,34.29063,34.31628,34.07997,34.16818,34.36156,34.71323
P00441;H7BYH4,SOD1,31.77144,31.76612,32.4348,31.36932,32.19331,32.64562,32.19952,32.56912,32.7108,32.56215,32.50211,32.21202,32.19853,32.17602,31.21581,32.80014,32.5955,32.94707,31.64143,33.18542,33.2678,32.4262,30.13186,32.41695,32.65798,32.55746,32.47658,32.9318,31.41473,32.15533
P05387,RPLP2,33.3481,32.85426,32.43171,33.30539,33.07115,33.12298,32.86703,33.12144,33.39816,33.0014,33.11784,32.92714,33.78342,33.00145,33.0309,32.75633,32.72501,33.10554,33.00276,33.50273,32.30824,32.88709,33.1852,33.05669,33.06744,32.56052,32.69818,32.8715,32.81526,33.72141
P13489,RNH1,30.89735,30.5413,31.78238,30.55627,31.16393,31.11328,32.15237,31.78328,31.65126,31.01372,30.87569,31.55014,31.91135,32.73012,31.51065,32.01797,31.78897,31.52673,31.85812,31.90566,31.55618,32.13382,31.21373,30.53065,31.60726,31.3583,31.33708,30.35647,31.63992,32.03967
P05783;F8VZY9,KRT18,35.56297,34.31061,34.43676,27.34181,30.18483,36.71549,35.50873,35.7959,35.97438,29.79869,33.47024,34.85939,32.79792,35.75531,36.3954,36.52286,37.40134,36.5624,36.85851,36.17859,35.07957,33.76307,35.94996,35.54567,34.31575,36.06445,28.08121,27.71253,30.999,31.51911
P68871;F8W6P5,HBB,23.93885,27.83159,30.58978,27.2957,23.82338,27.00967,28.32285,27.1279,26.20663,26.52016,27.12179,28.39084,26.34939,28.61898,28.56001,29.31976,24.37948,28.54359,26.86467,25.10221,28.12209,28.36077,25.76415,29.38175,26.26417,28.1057,26.03951,28.29075,26.01629,29.13396
P69905,HBA1,22.49338,29.18475,32.83773,28.28749,26.14631,25.98192,30.56747,29.95005,27.87543,28.75356,29.10981,30.63339,28.39321,30.38195,29.59634,30.00008,27.64856,29.31911,28.91291,26.1816,29.40718,29.60698,31.16423,31.18122,27.7467,29.72312,27.24599,29.76387,29.0871,30.91976
P07737;K7EJ44,PFN1,33.87984,33.90572,34.00721,34.05399,34.46915,34.03617,33.84539,34.61681,34.68739,33.98575,33.78088,34.03682,34.72466,34.0108,33.90652,34.72872,34.25047,34.17534,34.28354,34.32133,33.9041,34.38226,33.73892,33.42217,34.15172,34.15028,34.45917,34.35212,34.11861,34.50953
P02511;E9PR44;A0A024R3B9;E9PNH7;E9PJL7,CRYAB,22.44572,22.25917,21.67357,21.72408,23.26342,31.12201,30.31279,NaN,19.87138,26.8423,25.57488,22.36351,25.31472,28.17422,30.94643,31.75338,21.399,32.22998,21.23146,32.28596,35.23774,28.18035,30.82548,26.65403,29.62385,34.03009,21.57399,21.00415,21.66956,20.71816
P37802;X6RJP6,TAGLN2,32.74535,33.85332,33.78751,28.87218,31.38242,32.26411,34.34837,33.91919,32.68393,33.2064,32.8375,33.98022,34.12309,33.94218,33.84689,34.38844,34.04099,34.30749,33.56207,33.13145,34.77495,33.53832,34.32449,33.40083,33.80068,33.91785,31.46465,32.68451,34.27898,33.18332
Q9BVG4,PBDC1,30.04986,28.80821,28.35485,29.77814,29.45173,28.84595,28.99272,28.77772,28.97205,28.47394,25.80393,29.5263,29.52684,29.76452,28.90908,28.50628,28.47042,29.80273,28.89154,29.76694,28.52533,29.24397,29.91114,29.94517,29.28641,28.55219,30.62444,30.40416,29.59081,29.73229
Q15102;M0R389;M0R1K3,PAFAH1B3,30.38453,30.21257,30.58898,30.53881,30.7963,30.44668,29.43625,28.93196,29.16674,31.54559,31.23244,29.53579,29.46387,29.18248,30.55828,30.77957,30.36202,29.85781,30.94412,30.05711,30.90304,30.29592,30.83108,29.24991,30.07648,31.34625,30.67749,30.47846,29.93635,30.05905
Q9C005,DPY30,28.95144,28.89455,29.08393,28.3522,28.50684,28.97043,29.39186,28.48754,28.27719,28.34655,28.28996,29.22212,28.17436,28.5733,29.75205,29.30669,30.4648,29.16461,30.23043,29.49288,29.38665,29.34858,29.88282,28.32363,29.00884,29.94391,29.42898,28.03149,28.6619,28.19413
P02795,MT2A,30.06676,28.69432,30.79977,26.92037,28.25912,33.22015,NaN,31.68967,32.57896,26.91479,27.81702,31.06721,30.63703,32.24258,28.53575,29.28394,29.92846,NaN,23.59594,27.79092,NaN,NaN,31.6447,31.55018,29.58517,28.55318,27.16164,28.88568,30.29975,30.31689
O43504;R4GMU8;E9PLX3,LAMTOR5,28.32083,27.13946,28.32775,29.13641,29.16185,28.83298,28.50964,29.83503,27.94687,28.58653,28.69773,28.757,28.74227,28.31108,28.62293,29.07153,29.6931,28.74701,28.96383,29.38449,28.82841,28.4247,28.26521,28.11595,29.29307,28.83005,28.4285,28.6139,28.57199,29.39991
F8VZX2,PCBP2,33.0574,32.61553,32.35143,33.44381,33.26207,33.57125,32.81883,32.70549,33.58922,32.91626,33.02348,32.69453,33.39254,32.92329,32.7925,32.7389,33.19907,33.19233,32.48803,32.42229,32.76096,33.09839,33.4248,33.20058,33.02575,32.65653,32.82794,33.09301,32.79919,33.17073
