Majority protein IDs,Gene names,ME-180,ME180C13,59M,A2780,A2780CP70,Caov-3,COV318,DOV13,HEYA8,IGROV-1,IGROV1CP,IOSE397,IOSE7576,JHOS-2,JHOS-5,KURAMOCHI,OVCA433,OVCAR-3,OVCAR-5,OVISE,OVKATE,OVSAHO,PEO1,PEO4,SKOV3IP1,SNU119,TOV-112D,TOV112DR,TYK-nu,TYKNUCP
Q15691,MAPRE1,32.32324,31.64551,31.87902,31.65164,31.68888,30.74439,32.58237,31.79699,31.71649,31.11303,31.10218,31.99145,32.01608,31.13724,31.86655,32.18086,32.07214,31.81959,31.84124,31.57281,31.40933,32.23509,32.34451,31.26192,31.85348,31.14315,31.55796,31.94629,31.68838,32.15771
P30046;A6NHG4;B5MC82;J3KQ18,DDT;DDTL,31.5223,31.35048,30.37534,30.45288,31.42802,30.93818,31.3803,29.94405,29.91142,31.91602,31.67051,30.77596,30.62723,30.51766,30.69627,31.48111,30.53538,31.21124,30.95338,31.22055,30.49781,31.11694,30.69578,30.07086,30.79436,31.95414,30.95761,30.9152,31.10237,30.54352
Q9BWJ5,SF3B5,28.90191,28.73963,28.00244,29.58973,28.93946,29.47628,28.8079,28.16485,28.89848,28.83669,29.04101,29.3737,28.59342,28.60417,28.66858,28.7617,28.18565,28.89475,29.88124,28.73631,28.47846,28.66986,29.20807,28.00469,28.77184,28.78506,29.12529,29.0496,28.24586,29.14355
P04075;J3KPS3;H3BQN4;H3BUH7,ALDOA,35.70161,35.55233,34.52566,34.71687,35.01222,35.15873,34.98201,33.74555,34.98201,34.81931,34.72685,34.88399,34.54875,35.03297,35.0423,35.60073,35.0378,35.11683,35.35534,34.73302,34.91626,35.02172,35.05956,35.34909,35.03293,35.37072,34.12378,34.63925,34.91852,35.0216
O76070,SNCG,28.02083,29.4539,20.6623,22.98926,30.40598,22.97685,20.86366,21.00385,21.98078,20.96625,20.67176,20.1561,21.69145,22.798,NaN,30.24774,21.11356,30.53751,32.39389,19.69463,31.36354,15.00935,NaN,32.08464,29.09954,22.16257,21.77588,20.78184,25.6992,22.31055
Q9UNM6;J3KNQ3;A0A087WUL9;E9PL38;H0YD73,PSMD13,31.02986,31.08563,31.59076,30.92585,31.42367,31.24689,30.98019,31.12269,31.03387,31.46066,31.53918,31.43807,31.23335,31.26969,31.215,30.74214,31.12423,31.38803,31.75859,31.11322,30.69046,30.82312,30.97951,30.63763,31.5313,31.02069,31.31802,31.11042,31.85723,31.99264
P12004,PCNA,32.36388,32.80054,31.66712,32.26871,32.24898,31.96606,32.37104,32.24663,32.25285,31.41261,31.62967,32.16872,32.4076,32.32606,33.20452,31.33341,33.16684,31.348,33.0895,32.17245,32.45052,32.48066,33.26849,31.84715,32.24456,32.15337,32.20303,32.24292,32.1618,32.71151
Q99497;K7ELW0;K7EN27,PARK7,32.60689,32.62834,32.77755,32.562,32.92043,32.72373,33.18204,31.79293,32.32026,33.02409,33.06177,32.61524,32.58542,32.97603,32.77673,33.97818,32.57925,33.45378,32.81635,33.32911,32.14901,33.27198,31.98342,32.99693,33.38484,33.60995,32.9761,33.00488,32.63383,32.66098
P05787;CON__P05787;F8VUG2,KRT8,36.3418,33.75812,34.48861,29.85025,30.4074,36.05334,33.25842,35.64825,35.64447,29.25676,33.62973,34.91104,30.26941,35.65336,36.36753,36.62935,37.7486,36.61763,37.14424,36.28909,35.34149,33.30783,35.98766,36.02977,35.51981,36.38709,28.258,29.50631,30.95927,28.9718
P09382,LGALS1,30.96017,32.37057,34.12947,33.57023,34.29536,34.85034,31.3116,34.45372,34.068,33.3173,33.2767,34.07519,34.64469,33.9222,32.27866,34.60488,34.48232,32.29047,33.40945,30.55773,34.30076,33.91839,33.50793,31.8077,33.99243,33.6293,30.66221,30.16183,33.32294,33.38574
Q06830,PRDX1,34.1254,34.74043,34.99732,34.20113,34.58503,34.66474,34.18246,34.47653,35.11167,34.73312,34.7043,33.97903,34.51841,34.25039,33.97006,35.12971,34.05043,34.56001,34.68656,35.31429,34.78215,35.05181,34.71794,34.33285,34.67419,34.59318,34.42617,34.35396,34.04417,34.84291
P50395;Q5SX87,GDI2,33.05009,33.42267,34.50006,32.70948,33.63407,32.77549,33.38766,33.63353,33.67724,33.55716,33.50746,33.33431,33.47049,33.27877,33.55316,33.9574,33.4179,32.83637,33.22691,32.95074,34.04287,33.9414,32.49477,32.97963,33.79295,34.62543,33.96465,33.74705,33.29748,32.90356
P11142;E9PKE3;E9PNE6,HSPA8,35.45053,35.40432,35.66834,35.67693,35.92736,36.16562,35.90804,35.76144,36.34291,35.76278,35.77325,35.60159,36.15442,35.41554,35.88551,35.69926,36.13038,36.03693,35.68118,35.84803,35.50306,35.83326,35.79406,35.66805,35.57238,35.50217,35.50412,35.69221,35.68732,36.17102
P41227;F8W808;A8MWP7,NAA10,30.03289,29.31493,28.6121,29.47228,30.28802,29.67379,29.43432,29.0524,29.5069,29.28657,29.23603,29.99389,30.20175,28.88329,29.69221,29.52518,30.07202,29.68515,29.06782,29.28242,29.37733,29.37995,30.04427,29.23503,29.34729,29.6776,29.38402,29.72803,29.95449,29.76185
P31949,S100A11,33.00974,32.69723,32.62025,29.74921,29.49774,31.64775,31.85274,32.70091,31.28449,32.51921,31.74807,31.21593,31.70747,31.46845,32.88588,33.20839,34.89157,32.25749,30.54342,32.68018,33.48891,31.69037,32.53074,31.2867,32.39338,33.01712,24.86811,29.22997,32.05304,30.37503
P00558,PGK1,35.40974,35.02766,34.0319,34.04385,34.76791,34.66432,34.92958,34.61248,34.65912,34.61401,34.52846,34.41759,34.37852,35.73845,34.72654,34.91238,33.84184,35.03842,34.36104,35.35044,34.76248,35.18708,34.73146,34.73751,35.05302,34.52677,34.77068,34.87326,34.79769,34.20361
P09936;D6RE83;D6R956;D6R974,UCHL1,23.73283,22.78738,33.14248,32.14844,32.04173,33.39714,32.63005,33.30973,33.02631,21.8584,23.27625,32.53141,33.46939,30.93319,31.67733,34.13851,32.96032,33.67072,22.26954,29.86333,33.68395,30.79661,22.47316,27.82287,22.85664,29.72394,32.99532,33.14332,26.50373,25.43609
Q14019;H3BT58,COTL1,31.04355,30.50493,31.74807,28.33905,29.86985,30.80047,31.39279,31.89052,32.15001,31.21286,30.98529,31.32646,31.37078,31.82027,31.44742,31.29521,32.69917,30.99638,32.22805,31.09245,30.87635,30.94524,31.8527,30.61544,31.10493,29.58951,30.49962,30.47325,31.31295,32.00236
P07741;H3BQB1;H3BQZ9;H3BQF1,APRT,30.4852,31.10225,29.04893,30.07444,30.88903,29.36119,30.93993,31.13791,30.62558,30.89952,30.66391,30.38679,29.87301,31.9316,31.88202,31.23455,31.66496,31.24042,32.86694,32.0365,30.9612,30.55124,30.42222,30.62793,31.33426,30.27598,31.43758,32.13348,31.81928,31.67434
CON__P08727,,36.7387,36.40413,32.9674,27.70761,29.04627,35.37347,34.07806,35.25508,28.94551,31.98692,33.00855,33.17121,29.49079,34.94572,34.2854,32.42472,36.69008,35.61033,35.60915,35.3884,36.30674,28.48324,35.94168,35.41075,35.30392,35.90246,27.25638,27.92536,28.40605,28.90403
P52435,POLR2J,25.36082,27.18367,26.48179,26.74445,26.94737,27.22306,26.29425,26.27948,25.78731,27.11744,27.10149,27.0427,27.22839,26.2231,26.33901,26.66465,27.32886,26.62701,27.25997,26.00627,26.42814,26.23303,27.32148,26.62971,26.90162,26.89006,27.09637,27.07368,26.43763,26.98446
P60903,S100A10,31.60178,32.56266,31.84577,24.52373,29.43984,32.53651,32.78646,31.64057,31.20046,30.71055,30.42122,30.72907,31.04042,33.01888,32.38062,32.64296,33.97673,33.22202,31.7747,31.37901,33.60797,30.83628,32.28046,32.15415,31.8067,31.00256,29.61237,27.70682,28.60774,29.32167
P80723,BASP1,30.99752,31.88176,32.43862,NaN,23.84613,32.15101,29.83474,32.00935,32.81623,22.06467,22.54047,31.25603,32.13145,31.08974,30.8136,31.19947,31.57664,29.33541,28.67805,28.15407,30.93593,28.81485,27.60541,23.27757,31.8579,30.10124,28.71231,28.98902,31.04518,29.89118
Q14192;J3KNW4,FHL2,29.52539,30.19824,31.73417,27.95925,28.86018,30.69544,28.20653,30.99084,30.2366,29.63398,29.39174,30.53751,31.40912,31.21974,29.96265,30.37348,31.47894,29.51396,29.06101,28.07572,29.9574,23.81088,30.94942,30.30356,30.59094,30.79885,28.05879,26.7166,27.97345,27.43579
P61970;H3BRV9,NUTF2,28.97921,31.20536,31.24002,29.62836,30.72403,28.01132,29.73686,30.9988,30.02287,30.88526,30.96678,31.07553,29.79447,30.6832,30.16627,31.37078,30.78457,30.82979,31.2228,30.04518,30.54839,30.72834,30.02036,30.0029,31.68933,30.69544,31.49381,31.15924,31.00236,30.32549
P06733,ENO1,35.62088,35.82582,35.81958,34.72502,35.40882,34.46684,36.24665,34.78254,35.75769,35.01026,34.82131,35.15964,35.66768,36.27971,35.76387,36.0428,35.93227,36.4956,36.17244,36.42635,35.74753,36.07312,35.64807,35.994,35.96718,36.07122,35.02267,34.77686,35.00022,35.82212
P62942;Q5W0X3;A0A087WZM5;Q1JUQ5,FKBP1A;FKBP12-Exip2,29.9859,30.21396,30.19319,30.01558,30.16519,29.08157,30.98902,30.04127,30.38813,29.61709,29.65985,30.78737,29.92875,30.71153,30.82449,31.24048,31.45248,30.08309,31.32935,30.32335,31.16985,31.12657,31.10187,29.74782,30.59753,31.73239,30.44648,30.89656,31.92089,31.75051
P07355;H0YN42;H0YM50;H0YMD0;H0YMU9;H0YNP5;H0YN28;H0YL33,ANXA2,35.01866,35.35393,35.3894,32.48798,34.21198,34.47587,35.54277,35.32469,35.64205,35.11319,34.86203,34.34625,35.60648,35.90934,35.28651,36.23788,36.89859,36.1771,35.44653,34.72741,36.34899,34.6208,34.79377,34.87211,35.38072,34.81841,33.7913,34.13193,34.29399,34.40926
P07108,DBI,31.06766,32.65753,30.53167,30.40771,30.99719,30.03184,31.39463,30.07227,29.95241,31.70479,31.36291,29.72366,30.48183,30.08828,30.4567,31.80147,30.01145,30.83364,31.61386,32.76289,31.04902,30.99422,30.73328,30.16387,30.98318,32.25606,31.76046,31.86876,30.76137,30.18648
O15231,ZNF185,29.9621,28.63003,26.48447,24.44582,23.69254,31.99493,28.6814,31.66098,30.13919,30.104,30.07444,29.46801,27.97744,30.76509,29.18969,29.29898,32.24847,29.78047,28.62436,29.65751,31.14953,28.64051,31.78047,30.13235,29.23096,30.12903,24.39408,23.95757,23.9542,24.23345
P34932;A0A087WYC1;A0A087WTS8,HSPA4,33.43626,32.76268,33.53705,33.42817,34.07304,33.79933,33.7212,33.1432,33.61281,33.37775,33.41425,33.24176,33.53659,33.46624,33.1586,33.7043,33.80135,33.52997,33.68677,33.96757,32.79904,34.5649,32.97194,33.70223,33.49643,33.60984,33.63914,33.69405,33.79972,33.88549
Q13347,EIF3I,31.22309,30.91021,31.24909,30.98264,31.34287,30.7925,31.28383,31.01125,31.17552,31.02485,31.1313,31.25485,31.144,30.67808,31.09572,30.87899,30.97651,30.99779,31.59943,31.40918,30.57037,30.94217,31.44228,31.1045,30.66195,30.70899,30.90153,31.27991,31.18807,31.52262
O14579;A0A087X0I4;M0QXB4,COPE,30.16051,30.43887,30.96582,30.02419,30.19941,29.58434,30.54848,30.49848,30.34921,30.92323,30.63045,31.21257,30.88008,30.7673,30.6157,30.69121,31.16932,30.37005,30.98502,30.62427,30.67615,31.28565,30.45395,29.0004,30.2783,30.92903,30.47334,30.74423,30.69304,29.78916
P38606,ATP6V1A,30.77917,31.34435,31.51691,30.59477,31.39392,31.16543,31.59076,30.69619,31.05814,31.53315,31.21071,31.07667,31.23524,30.81581,30.87584,31.44899,32.35909,31.77419,31.12288,31.53288,31.95015,30.97978,30.81902,31.21362,30.81108,31.77144,31.09911,32.03325,31.39289,30.94886
P04792;F8WE04,HSPB1,34.6319,34.97109,31.53663,24.97075,25.94449,33.28692,32.18471,33.93719,31.35637,34.07925,33.76959,33.13476,33.46344,32.2219,34.06029,34.23962,34.07136,33.99808,33.15882,35.11233,35.57672,33.66871,34.26115,33.66066,32.73295,35.24371,33.30253,34.11792,34.35376,33.24926
Q71DI3,HIST2H3A,34.5103,32.34845,34.16362,34.77215,34.20099,33.7942,34.33398,33.76495,33.77823,30.3453,30.35605,32.70667,33.48424,34.7438,34.52309,34.3885,33.68938,34.36951,34.17496,33.27697,34.51324,34.70099,35.09408,34.72482,33.74745,34.68364,31.68896,33.67451,31.68516,34.55202
P62937;F8WE65;C9J5S7,PPIA,34.37626,34.51694,34.68692,33.63201,34.12101,34.44912,34.89767,34.60001,34.43998,33.65117,33.78302,33.94402,34.90612,34.83855,34.13667,34.54202,35.7149,34.16781,35.32556,35.07527,34.9763,34.36554,34.84469,34.73469,34.24707,34.9532,33.75822,34.03658,34.3062,34.77303
P49789;E9PBZ0,FHIT,NaN,NaN,NaN,NaN,NaN,NaN,25.75195,NaN,28.06851,NaN,NaN,NaN,NaN,27.31086,24.76653,27.28242,NaN,28.5526,NaN,24.36473,NaN,26.43255,NaN,24.59018,NaN,26.60894,NaN,23.21085,NaN,25.41455
CON__Q0IIK2;CON__Q29443,,28.07403,30.30748,34.58855,30.04009,28.32565,28.37348,31.81207,31.80916,30.52934,30.19882,30.02565,31.30889,31.63435,31.86282,31.52318,33.29173,30.11607,31.09823,31.66055,30.01545,32.34581,32.34398,36.62799,36.92603,31.36119,33.09941,30.00745,31.66501,31.13167,34.19418
O60220,TIMM8A,27.55574,27.68164,27.90919,27.45834,28.20844,27.51706,28.33586,28.11843,28.27972,27.66309,27.81598,28.46073,27.39689,29.0207,27.85073,27.8438,27.58771,28.88789,27.67357,28.99623,27.46661,28.73321,28.1487,27.0168,27.8695,27.66058,29.09204,27.59925,28.53657,27.47197
Q6BCY4;E9PMI2;E9PIV9;E9PQW2,CYB5R2,23.85206,22.90198,23.31534,NaN,NaN,26.08584,26.55201,24.79566,23.7688,28.8151,29.2235,23.2617,24.88558,24.27348,25.38946,27.34079,28.23489,25.46482,29.31168,NaN,29.18778,26.79439,27.74137,27.63934,23.01247,27.11833,NaN,23.87374,29.53947,28.13271
P08758;D6RBL5;D6RBE9;E9PHT9,ANXA5,32.74453,33.17124,34.16166,32.4251,33.15275,31.85694,33.74314,34.31945,33.47387,33.77038,33.97903,34.096,34.56274,33.81602,32.62497,34.31318,33.75742,33.6501,33.18157,34.06503,34.24792,33.88139,31.72232,31.80532,33.75772,33.30837,31.65842,32.33133,33.61314,33.34837
P00338;F5GXY2,LDHA,34.61456,35.384,34.65917,33.91189,34.38535,33.47834,33.20896,34.37717,34.49988,34.75846,34.00454,34.75459,34.52974,35.78346,33.78322,34.58284,34.22726,34.67425,34.84235,35.24324,33.33058,35.02214,34.89758,35.05043,35.28043,34.63747,33.75494,33.10188,33.99032,34.32187
P30043;M0R192,BLVRB,30.92832,31.55193,30.84326,28.35876,30.5945,29.70999,29.16171,29.35178,29.11319,31.34921,31.69491,29.32882,29.08126,29.89652,29.97145,30.75183,30.94468,28.29426,31.9622,31.48774,32.58262,29.23197,29.721,29.65202,29.98346,31.56765,30.65642,32.36226,30.55105,29.45607
P52565;J3KTF8;J3QQX2;J3KRE2;J3KRY1,ARHGDIA,32.64676,31.57997,32.14789,31.45905,31.51357,31.96392,32.16162,32.14185,32.25124,32.1162,31.84528,32.3525,32.40588,32.45481,32.05982,31.85382,33.12553,32.92617,32.43795,31.04824,32.90158,32.36903,33.08743,32.68529,32.70769,31.59611,31.72951,31.5122,31.72911,32.02502
P49721;A0A087WVV1,PSMB2,31.13577,30.92854,31.3674,30.00035,30.98976,30.25293,30.15774,30.2194,30.7285,30.62418,30.87745,30.68662,30.3399,30.1055,30.34699,31.27287,30.59201,30.35626,30.91121,30.93072,30.37938,30.4345,30.43986,29.88544,30.67262,31.30013,30.79079,30.87745,30.39458,30.67632
P63241;I3L397;I3L504;Q6IS14,EIF5A;EIF5AL1,32.35337,32.49788,32.89168,33.13453,33.03942,32.21922,32.03843,32.31484,32.66884,32.66985,32.26089,32.56447,33.03487,32.46735,32.24581,33.32576,33.26458,32.24016,32.62349,32.48805,31.8569,32.60386,33.04593,32.26796,32.00895,32.84913,32.76719,33.01279,32.28323,32.85289
Q99439;B4DUT8;B4DDF4;A0A087X271;A0A087X1X5;H3BVI6,CNN2,29.6568,30.1035,29.65497,29.60451,30.90002,30.78019,31.87789,31.5208,29.15183,31.2183,30.81023,31.35988,31.708,30.06728,30.78924,31.83492,31.50038,31.17272,30.67632,31.26607,29.68055,30.09597,24.41577,28.28824,29.94935,30.64315,31.18689,30.1321,30.03276,29.77219
P35232;C9JW96;E9PCW0;C9JZ20;E7ESE2,PHB,33.15438,32.66738,32.77794,33.67966,32.89796,33.61796,33.03848,32.60744,32.91803,32.66079,32.64093,32.5738,32.4039,33.49083,32.79597,32.39938,32.90765,32.97844,32.8119,33.02908,31.8941,33.19197,33.24033,33.21503,32.02287,33.43216,32.76766,33.10096,32.69497,33.39701
