KO,COG3,COG4,COG6,COG8,COG5,COG7
COG1,74.70827,69.99439,75.07757,55.65554,57.0729,73.90232
COG2,21.16139,9.029213,76.05456,99.92156,57.87586,80.01221
COG3,-0.02738,7.705625,95.1234,93.84991,56.99276,70.85363
COG4,45.4661,-1.59356,106.1174,82.37275,64.98014,87.43954
COG5,93.95318,98.51113,19.4233,37.48193,-0.588675,8.061813
COG6,86.11215,79.73135,0.361501,40.99132,56.22543,42.04117
COG7,147.8827,114.5463,23.75671,55.51788,2.495527,-3.98581
COG8,139.5415,114.3636,59.85956,1.809268,77.41243,47.93409
