protein,type,meas,coef,wald,fdr
ERBB2,2.0,20.0,3.96622691115,3.91046871403e-33,1.6904956250769044e-29
GRB7,2.0,20.0,3.98999054257,3.48699681426e-32,7.5371436140192651e-29
MIEN1,2.0,20.0,3.96670069044,2.8736688524e-30,4.140956816312184e-27
FAM49B,2.0,101.0,1.81509944072,1.13793247109e-19,1.2298205181330036e-16
YWHAZ,2.0,62.0,1.98990598002,7.43073591469e-19,6.4246142718449718e-16
PPFIA1,2.0,32.0,2.49416947674,5.47890297478e-18,3.9475495933292314e-15
CTTN,2.0,33.0,2.54495198336,1.19422910309e-17,7.3752177323766111e-15
PTK2,2.0,82.0,1.77418446703,1.57020990099e-17,8.4850217524689521e-15
CDC37,2.0,23.0,2.88585940263,4.21100824602e-17,2.0226876275062192e-14
HEATR6,2.0,16.0,3.29322725131,1.27819285912e-16,5.5256277299955339e-14
MROH1,2.0,81.0,1.71809228092,2.68241695655e-16,1.0541898639222501e-13
PYCRL,2.0,82.0,1.71331078254,5.5176999934e-16,1.9877514226231538e-13
C8orf82,2.0,83.0,1.7096386748,2.62525261736e-15,8.548613973486171e-13
OPA1,2.0,42.0,2.21893683684,2.76846161529e-15,8.548613973486171e-13
TPD52L2,2.0,24.0,2.61770447005,8.37710703754e-15,2.4142822482203082e-12
RPS6KB1,2.0,15.0,3.1431935509,2.28449695779e-14,6.1724252178224333e-12
UBE2Q1,2.0,26.0,2.42402704886,2.80038902483e-14,7.121224561378264e-12
SSBP1,2.0,26.0,2.52899225685,3.40777221866e-14,8.1843329451506034e-12
TATDN1,2.0,90.0,1.60822548091,3.64262942164e-14,8.2879405209189435e-12
EIF6,2.0,18.0,2.92570440992,4.02673524997e-14,8.2893221360109566e-12
STK3,2.0,58.0,1.75818563551,3.97210273614e-14,8.2893221360109566e-12
PAK2,2.0,39.0,2.10414025199,7.47032642056e-14,1.4679191416406901e-11
TSTA3,2.0,83.0,1.61581010434,8.40647721581e-14,1.580052217562123e-11
YWHAE,2.0,7.0,4.59276597226,9.07874783245e-14,1.6353094533194474e-11
NME2,2.0,11.0,3.82839782221,9.58656641989e-14,1.6577090653268551e-11
FADD,2.0,31.0,2.33582063213,9.98249749397e-14,1.6597821794787223e-11
DHX36,2.0,27.0,2.34339077354,6.48614147819e-13,1.0385033188975135e-10
PRKCSH,2.0,17.0,2.89925139365,8.59334026473e-13,1.3224086505307354e-10
MTDH,2.0,55.0,1.72495952794,8.87111979306e-13,1.3224086505307354e-10
DDX5,2.0,16.0,2.89881771909,1.18731500835e-12,1.7109209270277241e-10
SUPT5H,2.0,21.0,2.62046117617,1.24243071253e-12,1.7325896678314861e-10
RAB22A,2.0,21.0,2.53385956644,1.56775892049e-12,2.1179443166504523e-10
ASNA1,2.0,21.0,2.62921660848,1.71788466535e-12,2.2504289116032942e-10
YARS,2.0,13.0,3.25388266151,1.90360352242e-12,2.4203758904121019e-10
CAP1,2.0,24.0,2.46668978764,1.96889651988e-12,2.4318684729775918e-10
NARS2,2.0,27.0,2.22453136785,2.83083965719e-12,3.3993666216755992e-10
BROX,2.0,22.0,2.51806764806,3.14216000502e-12,3.5746204478205764e-10
DNM2,2.0,21.0,2.51417168621,3.13770421093e-12,3.5746204478205764e-10
PTRH2,2.0,16.0,2.9168328307,3.31945491672e-12,3.6794881038439127e-10
RAB2A,2.0,32.0,2.09160756283,3.85624836829e-12,4.1676404240276764e-10
ANXA11,2.0,11.0,3.33478560923,4.80332926828e-12,5.0645835187272845e-10
CDK12,2.0,17.0,2.84302833181,7.15465486961e-12,7.3641840479292821e-10
CHMP4B,2.0,17.0,2.7774462509,8.66265351428e-12,8.7089886377297896e-10
SCRIB,2.0,83.0,1.49555865433,9.07061105728e-12,8.8351485935687102e-10
TIMM50,2.0,21.0,2.5200397876,9.19689305368e-12,8.8351485935687102e-10
GCDH,2.0,24.0,2.40403444025,9.50646989295e-12,8.9340150754876279e-10
RAB8A,2.0,21.0,2.54299695577,1.05911315796e-11,9.5386378788593499e-10
HSPD1,2.0,10.0,3.47896882709,1.04633523673e-11,9.5386378788593499e-10
PAK1,2.0,26.0,2.22504540431,1.59604940544e-11,1.4081064448440775e-09
PDIA4,2.0,26.0,2.29523846246,1.83723555598e-11,1.5285339646954462e-09
TBCB,2.0,16.0,2.84207425512,1.81882811905e-11,1.5285339646954462e-09
GAB2,2.0,28.0,2.13373281476,1.83862517151e-11,1.5285339646954462e-09
TCEA1,2.0,27.0,2.22525120444,1.91337102194e-11,1.5606609297853167e-09
ABCF2,2.0,24.0,2.34431520572,2.03072115494e-11,1.625705102370124e-09
INPPL1,2.0,17.0,2.69623555089,2.14272647341e-11,1.6841830081004116e-09
AK2,2.0,12.0,3.18134035141,3.23914331151e-11,2.5005029527993793e-09
CYC1,2.0,83.0,1.47131006419,3.32940874486e-11,2.5250936849192736e-09
PLEC,2.0,83.0,1.4454285359,3.72277814947e-11,2.7747534379555265e-09
AHCY,2.0,18.0,2.63475265055,4.42447532272e-11,3.1878344700219219e-09
RALY,2.0,17.0,2.69385950966,4.36295804571e-11,3.1878344700219219e-09
FDPS,2.0,30.0,2.08740820461,4.85711776855e-11,3.4421836251508535e-09
FAM203A,2.0,81.0,1.47113917096,5.08100770423e-11,3.5427735976407465e-09
WIZ,2.0,22.0,2.29040873814,5.95985404116e-11,4.089595082529501e-09
GLOD4,2.0,7.0,4.01725988918,6.21548827708e-11,4.1983680971589171e-09
DNAJB1,2.0,24.0,2.313002778,6.61485330777e-11,4.3993862845351232e-09
GDI2,2.0,21.0,2.4218672325,7.4153526155e-11,4.7986121917113385e-09
PARP10,2.0,79.0,1.46743953914,7.43712738479e-11,4.7986121917113385e-09
LRRC14,2.0,59.0,1.64717699799,8.19646188478e-11,5.2107801070437925e-09
FAM83H,2.0,78.0,1.45686053199,8.85378042579e-11,5.547085910243976e-09
FAM91A1,2.0,90.0,1.38394543004,9.82100795261e-11,6.0651739113023801e-09
DPP3,2.0,12.0,3.08306691814,1.13279937564e-10,6.8973122547597998e-09
RHEB,2.0,23.0,2.32945137067,1.34372990835e-10,7.970551455260671e-09
AIP,2.0,14.0,2.8673571441,1.34594091195e-10,7.970551455260671e-09
PFKP,2.0,22.0,2.35842320387,1.55292797988e-10,9.072037374342987e-09
GSTK1,2.0,27.0,2.13352183657,1.62001688235e-10,9.3377773098925829e-09
DLD,2.0,12.0,3.09780392211,1.7933242992e-10,1.020071177032768e-08
HSPE1,2.0,10.0,3.29240067373,2.06851880537e-10,1.1613255578698228e-08
THEM6,2.0,82.0,1.37820455262,2.12514462031e-10,1.1778205376422508e-08
RAD23A,2.0,25.0,2.19660968743,2.19893336618e-10,1.203289739492239e-08
LRRC59,2.0,13.0,2.97333975347,2.28952989581e-10,1.2219305851316278e-08
PPP2R5D,2.0,14.0,2.85742264348,2.26542062241e-10,1.2219305851316278e-08
NADSYN1,2.0,21.0,2.25500279792,2.56418291935e-10,1.3518247268707038e-08
YWHAB,2.0,16.0,2.66768579601,2.89488435168e-10,1.5077813316041318e-08
NCOA2,2.0,24.0,2.13779142817,3.07107970056e-10,1.5805092316120343e-08
PPME1,2.0,19.0,2.47805306587,3.12207752674e-10,1.5878518997761128e-08
UBE2Z,2.0,10.0,3.34773778838,3.76758061838e-10,1.8938663968923669e-08
MAPRE1,2.0,16.0,2.66144172709,3.86295793367e-10,1.9194904766949724e-08
KCTD21,2.0,27.0,2.00903846564,4.18328454005e-10,2.0550385302998418e-08
VDAC3,2.0,19.0,2.42777303607,4.36486299079e-10,2.1201463718189218e-08
HRSP12,2.0,57.0,1.51465852275,4.67046472232e-10,2.2433798882881601e-08
RAB6A,2.0,20.0,2.34361085364,5.02350550065e-10,2.3785635352230834e-08
IQGAP1,2.0,15.0,2.67576856737,5.06194414158e-10,2.3785635352230834e-08
USP5,2.0,24.0,2.18541168917,5.15304786638e-10,2.3953361211122597e-08
NRBP2,2.0,71.0,1.45783816501,6.1162418708e-10,2.812820596540716e-08
ECH1,2.0,20.0,2.40688758504,6.54198892146e-10,2.9769492744685541e-08
CASKIN2,2.0,15.0,2.60975091693,7.48586564889e-10,3.3362265154785894e-08
ESRP1,2.0,53.0,1.55921649653,7.47168326509e-10,3.3362265154785894e-08
