px,py,wb,beta,fdr
COG3,COG4,7.705625,0.584750382574,0.0100372083824
COG6,COG4,79.73135,0.470915365661,0.10752616939
COG3,COG7,70.85363,0.397882777214,0.24692661983
COG6,COG7,42.04117,0.390514724824,0.250704013964
COG7,COG5,2.495527,0.455899169415,0.297066482159
COG3,COG5,56.99276,0.355087756837,0.432917730361
COG6,COG8,40.99132,0.352171952803,0.493982530547
COG3,COG8,93.84991,0.345341413754,0.527919183582
COG6,COG5,56.22543,0.286919624302,0.63383498221
COG2,COG4,9.029213,0.295065656514,0.680198047194
COG7,COG6,23.75671,0.28743157793,0.71138418735
COG7,COG4,114.5463,0.280371747128,0.7302993036
COG8,COG7,47.93409,0.26207169175,0.737440308756
COG5,COG7,8.061813,0.249441594104,0.746644127651
COG2,COG7,80.01221,0.242850384901,0.753007847241
COG7,COG3,147.8827,0.242221117204,0.75988516435
COG8,COG5,77.41243,0.260431654007,0.767213702295
COG2,COG6,76.05456,0.241985865414,0.779293454238
COG4,COG7,87.43954,0.237707580245,0.781137511474
COG7,COG8,55.51788,0.253847028627,0.781137511474
COG1,COG3,74.70827,-0.181075565432,0.815207473675
COG4,COG5,64.98014,0.229949384925,0.820210873749
COG1,COG5,57.0729,0.13880556495,0.904018467991
COG4,COG8,82.37275,0.163406081409,0.908189309812
COG1,COG4,69.99439,-0.114011561857,0.926002370135
COG2,COG5,57.87586,0.121920441544,0.929102048593
COG5,COG6,19.4233,0.109803807088,0.940537182023
COG3,COG6,95.1234,0.093202204996,0.945883611758
COG2,COG3,21.16139,0.0949020907818,0.945883611758
COG5,COG8,37.48193,0.103893332244,0.948137376222
COG8,COG4,114.3636,0.0982658573301,0.951246006115
COG2,COG8,99.92156,0.0969610205122,0.951367626438
COG1,COG8,55.65554,0.0668055760118,0.965983246021
COG8,COG6,59.85956,-0.0696900391611,0.969989981836
COG6,COG3,86.11215,0.0434614579791,0.978706681728
COG4,COG6,106.1174,-0.0548369745501,0.978706681728
COG5,COG4,98.51113,-0.0407251898052,0.984582467287
COG8,COG3,139.5415,0.0375656456203,0.98500934191
COG1,COG6,75.07757,-0.0325062631122,0.986175460081
COG1,COG7,73.90232,0.0268922787924,0.989305731794
COG5,COG3,93.95318,0.00554566923079,0.998242773426
COG4,COG3,45.4661,-0.00305766995998,0.998735065111
