px,py,beta,fdr
EIF3A,EIF3E,0.751762679153,0.00177835628442
EIF3A,EIF3D,0.689347759062,0.00488348118402
EIF3A,EIF3L,0.671946382876,0.00617646742086
EIF3A,EIF3H,0.611940531792,0.047576038551
GTF2H1,GTF2H4,0.905086654911,0.000667558930631
GTF2H1,MNAT1,0.838437632082,0.00236271467651
GTF2H1,ERCC3,0.774908680921,0.0108327379357
COG3,COG2,0.787344387962,5.80437190356e-07
COG3,COG4,0.584750382574,0.0100372083824
AP3B1,AP3M1,0.615806872886,0.017533014864
AP3B1,AP3M2,0.572005857904,0.0221946991118
POLD3,POLD2,0.497472942133,0.0372230954801
POLD3,POLD1,0.463304468876,0.047576038551
HNRNPC,SSRP1,0.795340071285,1.2198334765e-05
SUPT16H,SSRP1,0.808125197655,1.2198334765e-05
PRMT5,WDR77,0.861620965063,1.2198334765e-05
MRE11A,RAD50,0.720001581068,1.90547854226e-05
SUPT5H,SUPT4H1,0.767183152978,3.95410229707e-05
COG6,COG2,0.650043605048,0.000158829704385
DPM2,DPM1,0.763437266294,0.000158829704385
TTC37,SKIV2L,0.710378814157,0.00120628378313
GTF2E2,GTF2E1,0.705254770111,0.00153784836202
ILF3,ILF2,0.604362577836,0.00171989396885
EEF1E1,MARS,0.59411179318,0.00182097439928
GPATCH1,DHX35,0.721030988878,0.00189346672608
DDX41,TFIP11,-0.634320183288,0.00488348118402
ERCC4,ERCC1,0.699093370289,0.00807318281271
CD3EAP,POLR1E,0.663183216846,0.0100372083824
POLE3,POLE4,0.759866834435,0.0100372083824
COPS3,COPS2,0.774927537112,0.011585677154
VPS36,SNF8,0.557635457774,0.011585677154
GTF2F2,GTF2F1,0.605393080157,0.0144683714444
GSPT1,ETF1,0.565936487809,0.0152615918556
MRPL12,MRPL53,0.540335337403,0.0180945021929
ASCC3,ASCC1,0.673377531848,0.0195365676909
RPA2,RPA3,0.650301078871,0.0210469097214
ARID2,PBRM1,0.667346242108,0.0218764723215
UBA2,SAE1,0.528537838372,0.026871009363
XRCC6,XRCC5,0.649612684742,0.0279117303651
CAPZB,CAPZA1,0.556496908713,0.030382065991
SMARCA2,SMARCA4,-0.47922029879,0.0372230954801
PPP2R2A,PPP2R1A,0.533571363943,0.0372230954801
HDAC2,HDAC1,-0.556829194071,0.0372230954801
PPP2CB,PPP2R1A,0.503143886037,0.0393840003191
ATP5A1,ATP5O,0.530098622298,0.0439534571525
HDAC3,LMNB1,0.531825431858,0.045217036924
GNB1,GNB2,-0.520514100827,0.049137000497
TAB2,MAP3K7,0.633787842619,0.049137000497
