source	target	is_directed	is_stimulation	is_inhibition	V4	V5
Q9H400	Q9H400	0	0	0	LIME1	LIME1
P27986	Q9H400	0	0	0	PIK3R1	LIME1
P62993	Q9H400	0	0	0	GRB2	LIME1
P16885	Q9H400	0	0	0	PLCG2	LIME1
P06239	Q9H400	0	0	0	LCK	LIME1
O00459	Q9H400	0	0	0	PIK3R2	LIME1
P07948	Q9H400	1	1	0	LYN	LIME1
Q13114	Q13114	0	0	0	TRAF3	TRAF3
Q12933	Q13114	0	0	0	TRAF2	TRAF3
Q13114	Q9NQC7	0	0	0	TRAF3	CYLD
Q13114	Q15628	0	0	0	TRAF3	TRADD
Q13114	Q92844	0	0	0	TRAF3	TANK
O15027	Q13114	0	0	0	SEC16A	TRAF3
Q13114	Q9Y4K3	0	0	0	TRAF3	TRAF6
Q13114	Q13546	0	0	0	TRAF3	RIPK1
Q13114	Q9UHD2	1	1	0	TRAF3	TBK1
Q13114	Q9NPH3	0	0	0	TRAF3	IL1RAP
P61962	Q13114	0	0	0	DCAF7	TRAF3
P12931	Q13114	0	0	0	SRC	TRAF3
Q13114	Q9Y6Q6	0	0	0	TRAF3	TNFRSF11A
P28908	Q13114	0	0	0	TNFRSF8	TRAF3
Q13077	Q13114	1	0	0	TRAF1	TRAF3
Q13114	Q13627	0	0	0	TRAF3	DYRK1A
P51617	Q13114	0	0	0	IRAK1	TRAF3
P05186	Q13114	0	0	0	ALPL	TRAF3
Q13114	Q14164	1	1	0	TRAF3	IKBKE
O43353	Q13114	0	0	0	RIPK2	TRAF3
P25942	Q13114	1	0	0	CD40	TRAF3
Q13114	Q9NP84	0	0	0	TRAF3	TNFRSF12A
Q13114	Q13490	0	0	0	TRAF3	BIRC2
Q13114	Q9NR28	0	0	0	TRAF3	DIABLO
O00463	Q13114	0	0	0	TRAF5	TRAF3
Q13114	Q68D39	0	0	0	TRAF3	NA
Q13114	Q13489	0	0	0	TRAF3	BIRC3
P62979	Q13114	0	0	0	RPS27A	TRAF3
Q13114	Q92734	0	0	0	TRAF3	TFG
O95786	Q13114	1	0	1	DDX58	TRAF3
O00206	Q13114	0	0	0	TLR4	TRAF3
P61964	Q13114	0	0	0	WDR5	TRAF3
Q13114	Q99558	1	0	1	TRAF3	MAP3K14
P57078	Q13114	0	0	0	RIPK4	TRAF3
Q13114	Q96CV9	0	0	0	TRAF3	OPTN
Q13114	Q86WV6	0	0	0	TRAF3	TMEM173
P36406	Q13114	0	0	0	TRIM23	TRAF3
Q13114	Q8TDR0	0	0	0	TRAF3	TRAF3IP1
Q9BYX4	Q13114	1	0	1	IFIH1	TRAF3
Q7Z434	Q13114	1	0	1	MAVS	TRAF3
Q12815	Q13114	0	0	0	TROAP	TRAF3
P26842	Q13114	0	0	0	CD27	TRAF3
O14879	Q13114	0	0	0	IFIT3	TRAF3
Q13114	Q9H6S1	0	0	0	TRAF3	AZI2
Q13114	Q9NWF9	0	0	0	TRAF3	RNF216
O60763	Q13114	0	0	0	USO1	TRAF3
Q01538	Q13114	0	0	0	MYT1	TRAF3
P36941	Q13114	1	1	0	LTBR	TRAF3
P10914	Q13114	0	0	0	IRF1	TRAF3
Q07011	Q13114	0	0	0	TNFRSF9	TRAF3
Q13114	Q8IUC6	0	0	0	TRAF3	TICAM1
O15455	Q13114	0	0	0	TLR3	TRAF3
Q96G74	Q13114	1	0	0	OTUD5	TRAF3
O43557	Q13114	0	0	0	TNFSF14	TRAF3
P43489	Q13114	0	0	0	TNFRSF4	TRAF3
P41212	Q13114	0	0	0	ETV6	TRAF3
O43734	Q13114	0	0	0	TRAF3IP2	TRAF3
Q13114	Q14142	0	0	0	TRAF3	TRIM14
Q13114	Q96F46	0	0	0	TRAF3	IL17RA
Q13114	Q9HBL8	0	0	0	TRAF3	NMRAL1
Q13114	Q9H171	0	0	0	TRAF3	ZBP1
Q96C10	Q13114	1	0	1	DHX58	TRAF3
P54803	Q13114	0	0	0	GALC	TRAF3
Q96RJ3	Q13114	1	1	0	TNFRSF13C	TRAF3
Q13114	Q96PK6	0	0	0	TRAF3	RBM14
Q13114	Q86UT6	0	0	0	TRAF3	NLRX1
Q13114	Q5VU43	0	0	0	TRAF3	PDE4DIP
O95721	Q13114	0	0	0	SNAP29	TRAF3
P31749	P31749	1	0	0	AKT1	AKT1
P31749	P31749	1	0	0	AKT1	AKT1
P18031	P31749	1	0	1	PTPN1	AKT1
P31749	P18031	1	0	1	AKT1	PTPN1
