f,f_pval,ll,px,py,rsquared,fdr,cor
51.5042252455,6.2504190649e-12,-520.457845113,COG3,COG2,0.153512896023,3.31353465888e-07,0.600633865414
44.8374053987,1.29024733936e-10,-499.730814092,PRMT5,WDR77,0.145652882373,3.41999411007e-06,0.579312018613
43.3399096373,2.18453485726e-10,-534.972666508,HNRNPC,SSRP1,0.131197921816,3.86029154627e-06,0.640867198088
42.5653869728,3.08242980103e-10,-535.31186238,SUPT16H,SSRP1,0.129156120926,4.08522127605e-06,0.828269000239
39.3537555656,1.3203546638e-09,-528.723392751,MRE11A,RAD50,0.122082509932,1.39991923584e-05,0.793422649525
39.0255399974,1.87813752503e-09,-460.221839529,SUPT5H,SUPT4H1,0.139364216556,1.65942841024e-05,0.611629575566
35.0418281761,9.28598863909e-09,-527.652508762,COG6,COG2,0.109834589328,7.03254451035e-05,0.406828306005
28.6554279984,1.78967782453e-07,-533.532964714,ATM,RAD50,0.0919458652859,0.0011859523814,0.28596967561
27.8799048869,2.55273381729e-07,-535.725090621,EEF1E1,MARS,0.0885413913503,0.00150364530951,0.657749402282
27.0215176515,4.41056846885e-07,-447.975039727,GTF2E2,GTF2E1,0.104321516979,0.00233817466239,0.541599795601
26.4797287195,5.9728841758e-07,-413.698648661,CD3EAP,POLR1E,0.109203886277,0.00263867090676,0.475770265861
27.0167727175,5.73112099383e-07,-308.005871102,GTF2H1,GTF2H4,0.137129302977,0.00263867090676,0.389228299921
26.1419528012,9.06929822332e-07,-283.154681739,GPATCH1,DHX35,0.141966305904,0.00369839005164,0.606097982438
25.2986412387,1.1060603012e-06,-360.816483319,HNRNPH1,TFIP11,0.114319008455,0.00418825533913,0.151238090936
24.3884297494,1.33859866631e-06,-563.012077777,EIF3A,EIF3E,0.0783215669541,0.00473087540648,0.432920160159
24.1645164525,1.49001026136e-06,-552.407438309,ILF3,ILF2,0.0776583291952,0.00475817905255,0.79795994532
24.1257776704,1.52583411415e-06,-551.233724564,TTC37,SKIV2L,0.0782984723084,0.00475817905255,0.569096566121
23.5952335307,2.0166981078e-06,-529.546097959,TOP1,RPA3,0.0803665415372,0.00593951204381,-0.019768418049
22.6072136183,3.19948288028e-06,-530.636855368,VPS36,SNF8,0.0754561725845,0.00892706241748,0.499286338511
22.4342511399,3.42351385356e-06,-550.480778491,EIF3A,EIF3D,0.0725008658777,0.00907453699595,0.495865313792
22.0331763414,4.42750247093e-06,-484.711302921,GTF2F2,GTF2F1,0.0812932816521,0.00938860753966,0.630865347911
22.3765160196,4.27973944068e-06,-362.132430565,DDX41,TFIP11,0.102467593254,0.00938860753966,0.149775049742
22.0259348013,4.17031535813e-06,-540.061527881,GSPT1,ETF1,0.0712753601585,0.00938860753966,0.490335136403
22.1546934166,3.94798570938e-06,-550.462644866,PFDN4,PFDN6,0.0728402155093,0.00938860753966,0.467616017508
22.7330142918,3.7204273537e-06,-357.692310022,GTF2H1,MNAT1,0.107875903395,0.00938860753966,0.389626969417
21.6746714279,4.94344476337e-06,-547.119875458,EIF3A,EIF3L,0.0702184968001,0.00970617915705,0.556032248817
