cnv,effect_size,f,f_pval,ll,meas,pair,protein,rsquared,f_adjpval
2,1.31725183534,62.1874543233,4.61215747038e-14,-561.733252117,83,RBM39_PUF60,PUF60,0.158565639053,9.97489880265e-10
2,1.33521418876,61.4003018711,6.45833525584e-14,-568.344487964,83,DHX9_PUF60,PUF60,0.156873414705,9.97489880265e-10
2,2.08488091558,57.1687947291,3.99685041288e-13,-557.472599405,24,ARPC1B_CAP1,CAP1,0.147658580721,4.1154236418e-09
2,1.28838163855,54.6869155035,1.17618910904e-12,-575.711669145,83,ILF2_PUF60,PUF60,0.142159541434,7.79466199472e-09
2,1.26967570281,54.5261931102,1.26168047826e-12,-571.344630758,83,HNRNPC_PUF60,PUF60,0.141800985439,7.79466199472e-09
2,2.03153668979,53.8005174248,1.73265398745e-12,-571.153433076,26,HSPA5_PDIA4,PDIA4,0.140178334792,8.92028027874e-09
2,2.36409041689,53.391440303,2.07252544102e-12,-526.376828288,14,CSRP1_VCL,VCL,0.13926090854,9.14575869617e-09
2,2.53413748972,52.3430523708,3.28308810645e-12,-573.848418236,16,SF3B3_DDX5,DDX5,0.136900754561,1.2676823951e-08
2,1.2330249143,51.913836563,3.98617545022e-12,-567.883944211,83,DDX46_PUF60,PUF60,0.136287610425,1.36814399619e-08
2,1.96086398492,50.4874876318,7.43707446463e-12,-569.948758594,26,HSP90B1_PDIA4,PDIA4,0.132691584541,2.29731230213e-08
2,2.81882386875,49.5859492343,1.10827881111e-11,-572.510656558,12,MDH2_AK2,AK2,0.130631677317,3.11224840685e-08
2,2.84409321875,49.1615715879,1.33771381504e-11,-576.900423012,12,ATP5A1_AK2,AK2,0.129658634397,3.44349831221e-08
2,1.87750371217,48.3213560558,1.94292504192e-11,-562.805398919,26,MDH2_SSBP1,SSBP1,0.127725689503,4.61668881116e-08
2,1.91265940171,47.9066660271,2.33673465975e-11,-570.395259963,26,PDIA6_PDIA4,PDIA4,0.126768512794,5.04204371421e-08
2,1.92759866466,47.8018748052,2.44838639408e-11,-573.341853688,26,ATP5B_FH,FH,0.126526303846,5.04204371421e-08
2,1.02558585944,47.0838714919,3.372430594e-11,-524.824075301,83,UQCRC2_CYC1,CYC1,0.124863127414,6.51089881554e-08
2,1.74569731501,46.604327931,4.17822019001e-11,-561.136966923,29,HNRNPU_DEK,DEK,0.123748784798,7.59207186291e-08
2,1.86105070337,46.3324750452,4.71846993661e-11,-566.860244161,26,DLD_SSBP1,SSBP1,0.123115803492,7.99320900494e-08
2,2.7506111375,46.2406096256,4.9165092617e-11,-575.97273283,12,HMGCL_AK2,AK2,0.122901697591,7.99320900494e-08
2,3.12202095288,46.1487491438,6.11359105922e-11,-471.713968349,7,SMC4_TOP2A,TOP2A,0.136072296478,9.44244139096e-08
2,2.69660711042,43.6297722991,1.58946726948e-10,-579.037278159,12,SUCLG2_AK2,AK2,0.116772740113,2.33803066449e-07
2,1.11720701205,43.355350953,1.79910439888e-10,-566.927651899,83,LMNA_PLEC,PLEC,0.116123555863,2.43880349366e-07
2,1.09727327309,43.3348043456,1.81587828923e-10,-561.029154057,83,ANXA2_PLEC,PLEC,0.116074911423,2.43880349366e-07
2,2.78930111925,42.8299373307,2.28140532261e-10,-564.09808456,10,TRAP1_HSPD1,HSPD1,0.114877945793,2.93635876731e-07
2,1.01233971486,42.0772170284,3.20827775992e-10,-539.170532931,83,UQCRC1_CYC1,CYC1,0.113087324627,3.96414800015e-07
2,2.28737425,41.5977754315,3.98813306479e-10,-577.977657287,16,DHX9_DDX5,DDX5,0.111943015222,4.73820886044e-07
2,2.62427499896,41.3172539583,4.53030713502e-10,-579.05059204,12,SUCLG1_AK2,AK2,0.111272109006,5.18300694077e-07
2,1.06889413655,40.8586957706,5.58119279663e-10,-562.0963867,83,UQCRFS1_CYC1,CYC1,0.110173217553,6.15725162457e-07
2,3.23121236283,40.9468576785,6.15756106456e-10,-501.204147947,7,MKI67_TOP2A,TOP2A,0.1222488187,6.55886418221e-07
