cnv,effect_size,f,f_pval,ll,meas,pair,protein,rsquared,f_adjpval
2,2.16003182748,40.5158265519,6.59192221528e-10,-558.159502546,16,MRPL44_SLC25A10,SLC25A10,0.110242399442,6.64389334982e-07
2,2.79302204969,40.4682930718,6.66755240675e-10,-573.955956715,10,LETM1_HSPD1,HSPD1,0.109235510376,6.64389334982e-07
2,-2.10132487466,40.0862642342,7.93677095024e-10,-534.837198542,14,VCL_CSRP1,VCL,0.108316001182,7.29453178505e-07
2,1.66462211995,40.0609667638,8.02894401721e-10,-570.462692018,29,RBM39_DEK,DEK,0.108255045416,7.29453178505e-07
2,1.84378849775,40.088081296,7.93019152904e-10,-491.422129134,14,FLNA_VCL,VCL,0.10832037918,7.29453178505e-07
2,1.97523928437,39.5968608008,9.92496862724e-10,-516.332666223,14,TAGLN_VCL,VCL,0.107135273592,8.75949373987e-07
2,2.71006893789,39.4419197736,1.06536374902e-09,-568.210590263,10,CS_HSPD1,HSPD1,0.106760813169,9.14141283538e-07
2,2.02562239423,39.0382300184,1.28155616704e-09,-583.099541199,20,MYL6_TAGLN2,TAGLN2,0.105783701641,1.06992621621e-06
2,2.21480258307,38.889730356,1.37176942043e-09,-578.448090086,16,EFTUD2_DDX5,DDX5,0.105423727352,1.11510414203e-06
2,2.16753882719,38.7321115946,1.52272694085e-09,-563.682858095,17,PDCD11_FTSJ3,FTSJ3,0.107969457829,1.20607782571e-06
2,2.11436224684,37.6540077491,2.43378283509e-09,-543.934375174,14,CNN1_VCL,VCL,0.102977150397,1.8794887944e-06
2,2.08026562577,37.0702125515,3.16557013982e-09,-575.134090453,17,TOP1_RALY,RALY,0.100989432768,2.38498686876e-06
2,2.17990590925,36.8141108057,3.56243459297e-09,-561.161457512,14,VDAC1_VDAC2,VDAC2,0.100361762869,2.62008582326e-06
2,2.95191116151,36.4913315431,4.59509832094e-09,-494.845963267,7,SMC2_TOP2A,TOP2A,0.109751226818,3.30099039846e-06
2,1.56093816854,36.0840088809,4.99142088267e-09,-566.467144847,29,DDX17_DEK,DEK,0.0985675637437,3.5042043424e-06
2,1.91584701213,35.8735840732,5.50184544523e-09,-522.58907339,14,FERMT2_VCL,VCL,0.098049123071,3.77671124007e-06
2,2.47750125312,35.7935941945,5.70939471986e-09,-583.765472084,12,GLUD1_AK2,AK2,0.0978518890506,3.83398267166e-06
2,2.65612238731,35.9739294683,6.11354490433e-09,-443.423888738,7,NCAPD2_TOP2A,TOP2A,0.113134839477,4.0180298318e-06
2,2.29306650417,35.1967128188,7.52887816253e-09,-560.873288395,12,MDH2_DLD,DLD,0.0963774086222,4.84514680084e-06
2,3.43032276256,34.9498248117,8.46497579527e-09,-582.010204879,6,IFI16_PML,PML,0.096029239277,5.33638984318e-06
2,3.04168170945,34.8250690181,8.94663069747e-09,-569.532508454,7,RBM39_ELAVL1,ELAVL1,0.0954568969502,5.51607506166e-06
2,1.94295454834,34.7100626338,9.43769929136e-09,-580.789491017,19,SF3B3_CSE1L,CSE1L,0.0951716615197,5.51607506166e-06
2,1.57144170559,34.6637893877,9.642863494e-09,-575.35928241,29,RBM14_DEK,DEK,0.0950568452271,5.51607506166e-06
2,2.4798245071,34.6835368148,9.57930600773e-09,-573.627103215,11,PDCD11_TOP1,TOP1,0.0953673545922,5.51607506166e-06
2,1.94746306131,34.6746635571,9.61888146845e-09,-553.085315032,16,MRPL49_SLC25A10,SLC25A10,0.0953452825609,5.51607506166e-06
2,2.60765719379,34.4185458904,1.0807656351e-08,-578.036113227,10,ATP5O_MDH2,MDH2,0.0944478437734,6.06997281238e-06
2,2.03024904281,34.3902981267,1.10914142179e-08,-561.247427957,16,MRPL39_SLC25A10,SLC25A10,0.095690669186,6.11810330697e-06
2,2.58142260062,34.3152291756,1.13398784936e-08,-575.178122994,10,ATP5A1_MDH2,MDH2,0.0941910368481,6.13277188837e-06
2,1.57223399442,34.2822850454,1.15150783271e-08,-577.363726416,29,HNRNPC_DEK,DEK,0.0941091193637,6.13277188837e-06
2,1.93979614276,34.2416543632,1.17349167176e-08,-582.504766587,19,SF3B1_CSE1L,CSE1L,0.0940080684157,6.14392504077e-06
2,2.7641497107,33.9517229748,1.34313858099e-08,-582.677134256,9,ARPC1B_WDR1,WDR1,0.0932863367078,6.9149251278e-06
2,1.99269904169,33.8172766684,1.43350029445e-08,-543.777623413,14,TPM2_VCL,VCL,0.0932074596306,7.25915149108e-06
2,1.75126785564,33.6241172068,1.56478020492e-08,-581.161305764,23,DNM2_CDC37,CDC37,0.092469436475,7.79613879514e-06
2,1.82339501572,33.5423706723,1.6256125002e-08,-517.322295903,14,PDLIM7_VCL,VCL,0.0922653681612,7.84612033299e-06
2,1.54618161147,33.5493272679,1.62034420993e-08,-575.403880569,29,SNRPD2_DEK,DEK,0.0922827378613,7.84612033299e-06
2,1.8199133439,33.4729817641,1.67911534557e-08,-580.643815036,21,MARS_EPRS,EPRS,0.0920920768352,7.94808511073e-06
2,2.03028208968,33.453916092,1.69819882586e-08,-572.802130332,16,KPNA2_DDX5,DDX5,0.0922983987942,7.94808511073e-06
2,2.06430779732,33.282195589,1.92007467343e-08,-539.31939719,15,MRPL43_SLC25A10,SLC25A10,0.0963912880947,8.85240397944e-06
2,2.28968106458,33.0535486084,2.04250571324e-08,-570.811512072,12,TUFM_AK2,AK2,0.0910431773359,9.2783825709e-06
2,2.92229480704,33.1949539812,2.10805565333e-08,-500.808242256,7,NCAPG_TOP2A,TOP2A,0.10176415538,9.43736799006e-06
2,1.50803174861,32.9177992424,2.17634328694e-08,-570.264040019,29,DHX9_DEK,DEK,0.0907031821286,9.56051980838e-06
2,1.94572139944,32.8971474464,2.19746489607e-08,-572.760661576,17,CALR_PRKCSH,PRKCSH,0.0906514357522,9.56051980838e-06
2,1.95812690554,32.8530845907,2.28066365201e-08,-553.432765611,16,MRPL1_SLC25A10,SLC25A10,0.0923220452858,9.78468058481e-06
2,2.51566964907,32.7861241116,2.31460542806e-08,-574.178910833,10,ATP5B_MDH2,MDH2,0.0903731480687,9.79426872228e-06
2,1.58229066965,32.731831186,2.45520520856e-08,-545.968793298,26,COA6_FH,FH,0.093859602878,1.02488228233e-05
2,1.13635279128,32.5188241863,2.6231138552e-08,-585.330052774,62,MTDH_YWHAZ,YWHAZ,0.0897024430643,1.08037315983e-05
2,1.86002544872,32.4492765518,2.70996824082e-08,-585.471614246,20,LGALS1_TAGLN2,TAGLN2,0.0895277729907,1.10145945998e-05
-2,-3.5350626581,32.3974355723,2.77658996114e-08,-576.59778694,5,PRDX3_ECHS1,ECHS1,0.0893975298726,1.11388134934e-05
2,2.41459585052,32.4277108157,2.94051594891e-08,-539.310026419,12,C21orf33_AK2,AK2,0.097255596232,1.16451971361e-05
2,2.47428388199,32.2205919247,3.01652597649e-08,-571.560028156,10,SUCLG2_MDH2,MDH2,0.0889529547548,1.17949984068e-05
2,1.54278048902,32.1913892232,3.05811126264e-08,-581.531535115,29,HNRNPM_DEK,DEK,0.0888794990191,1.18081321129e-05
2,0.921260670683,32.0912293743,3.20518010739e-08,-552.844078869,83,UQCRB_CYC1,CYC1,0.0886274694632,1.22232115453e-05
2,2.4604731882,31.978208427,3.37971290911e-08,-570.955191622,10,MDH2_HSPD1,HSPD1,0.0883429103812,1.27316258247e-05
2,2.33665690144,31.753996482,3.75482373933e-08,-570.286369062,11,DDX21_TOP1,TOP1,0.087777873336,1.3974277748e-05
2,1.67157292532,31.7569279061,3.87987690707e-08,-548.590586441,23,DDX27_RBM28,RBM28,0.0915826775196,1.42677854356e-05
2,1.99031661223,31.6574013451,4.02695557626e-08,-566.892813672,17,DDX27_FTSJ3,FTSJ3,0.0902801458737,1.46344303236e-05
2,2.02373243038,31.581007876,4.09935767268e-08,-545.110965646,13,SORBS1_VCL,VCL,0.088072171092,1.47243207569e-05
2,1.92960973662,31.5423505977,4.17444931633e-08,-562.231075676,16,MRPL15_SLC25A10,SLC25A10,0.0879738489612,1.48216941818e-05
2,2.63009858951,31.3854454646,4.46484413956e-08,-560.180817719,8,HNRNPA1_HNRNPA2B1,HNRNPA2B1,0.0868475636153,1.56726176672e-05
2,0.997790243904,31.21258019,4.93843092468e-08,-563.982999673,81,UQCRQ_CYC1,CYC1,0.0886185841891,1.71402394678e-05
2,2.38565018323,31.0352765349,5.26459763241e-08,-565.670781914,10,LRPPRC_HSPD1,HSPD1,0.0859618950057,1.8069268985e-05
2,1.2123502233,30.9452245226,5.49265890629e-08,-580.963141268,48,EIF5B_EIF4G1,EIF4G1,0.0857338521754,1.86448608368e-05
2,1.90972081573,30.8908843123,5.7067741821e-08,-557.042691977,16,MRPL37_SLC25A10,SLC25A10,0.0870433298734,1.91611146179e-05
2,1.58116606181,30.8048363517,5.86822814564e-08,-586.229315546,27,MDH2_GSTK1,GSTK1,0.085378113728,1.94913513353e-05
2,2.48460738841,30.9833850561,5.99099742681e-08,-452.014696717,7,CDK1_TOP2A,TOP2A,0.097744508125,1.96874372887e-05
2,2.50860338571,30.3394661242,7.30855147015e-08,-586.119340524,10,PDHB_MDH2,MDH2,0.0841969003577,2.35167869701e-05
2,2.09653622381,30.3560417329,7.29574696024e-08,-574.915864802,14,FLNC_VCL,VCL,0.0849462110273,2.35167869701e-05
2,2.22677408125,30.1640267109,7.95561841943e-08,-561.106593266,11,CHD4_TOP1,TOP1,0.083983986334,2.53349539151e-05
2,2.64483385174,30.0821147544,8.2530914749e-08,-588.115154643,9,ACTR3_WDR1,WDR1,0.0835423741469,2.57513126929e-05
2,1.88124239253,30.0823755297,8.25207460179e-08,-576.420243856,17,RBM39_RALY,RALY,0.0835430378548,2.57513126929e-05
2,-0.947099991968,29.9385238338,8.83264156878e-08,-573.554237197,83,PUF60_RBM39,PUF60,0.0831767700631,2.72840298059e-05
2,2.17408167823,29.7486692717,9.71910053936e-08,-565.873169264,12,XPO5_PPP2R5D,XPO5,0.0833883118118,2.97250510555e-05
2,2.35285511553,29.707167258,9.85400866096e-08,-568.335386906,10,TUFM_MDH2,MDH2,0.0825870873924,2.98421889742e-05
2,-0.965286257028,29.6487895178,1.01300285874e-07,-581.483196775,83,PUF60_DHX9,PUF60,0.0824381740796,3.01368744859e-05
2,0.921493179042,29.7417654628,1.01890933495e-07,-519.356489746,82,UQCR10_CYC1,CYC1,0.0885852417609,3.01368744859e-05
2,1.82321184194,29.6251509155,1.02440007155e-07,-585.966329442,19,PRKDC_CSE1L,CSE1L,0.0823778616153,3.01368744859e-05
2,1.71958423162,29.5329043963,1.0742413157e-07,-579.02280267,21,CA1_PRDX2,PRDX2,0.0826019200839,3.13050134359e-05
2,1.90353709105,29.3217970627,1.18942575322e-07,-569.763852696,16,DAP3_SLC25A10,SLC25A10,0.0822902143635,3.43377210438e-05
2,2.32049351572,29.1131375848,1.30563154699e-07,-582.395464719,11,NUP93_TOP1,TOP1,0.0810695419851,3.73434800801e-05
2,1.80691849924,29.0122686844,1.36961767405e-07,-586.456248975,19,DHX9_CSE1L,CSE1L,0.0808113572017,3.88142109646e-05
2,1.83771118137,28.8910109407,1.4783717741e-07,-548.491585951,16,MRPL46_SLC25A10,SLC25A10,0.0828081264198,4.15153673655e-05
2,1.33865281325,28.7571735522,1.54590882213e-07,-553.139997153,29,SMC1A_DEK,DEK,0.0801577659547,4.30208319961e-05
2,1.7187719407,28.6687651835,1.61220424474e-07,-523.766583437,14,MYL9_VCL,VCL,0.0799310337738,4.44651688572e-05
2,1.07842813922,28.6744202515,1.68107549592e-07,-528.89884817,54,RAB1A_SEC62,SEC62,0.08542331057,4.59543558133e-05
2,1.98096697619,28.535750511,1.72672719012e-07,-566.433409874,14,XPO5_PPP2R5D,PPP2R5D,0.0802612690004,4.64928166963e-05
2,2.29044310082,28.5192943188,1.73087533832e-07,-581.489021461,11,HNRNPU_TOP1,TOP1,0.0795474463181,4.64928166963e-05
2,2.22484014415,28.4393095657,1.79795661943e-07,-572.307241779,11,DHX9_TOP1,TOP1,0.0793420498442,4.75885305062e-05
2,2.30021587567,28.4340258528,1.80247914187e-07,-583.399631687,11,CNOT1_TOP1,TOP1,0.0793284783305,4.75885305062e-05
2,1.67843064499,28.4342438158,1.91484638073e-07,-495.808996885,17,NOC3L_FTSJ3,FTSJ3,0.086839554362,4.94125501341e-05
2,2.18973632184,28.3224817227,1.9040487276e-07,-579.862713065,12,HMGCL_CPT2,CPT2,0.0792630835488,4.94125501341e-05
2,2.48382247781,28.3017047026,1.91955520106e-07,-577.389837716,9,SUPT16H_APEX1,APEX1,0.078988473488,4.94125501341e-05
2,1.4552355381,28.2146447577,2.00426199534e-07,-587.276765025,30,SF3B3_GMPS,GMPS,0.0789851288904,5.11666554018e-05
2,1.87558530762,28.2282102553,2.02414312712e-07,-568.030507759,17,NOP2_FTSJ3,FTSJ3,0.0810623878938,5.12506403251e-05
2,1.74624915537,28.1412734998,2.07183751949e-07,-580.177460379,19,EIF3E_EIF3K,EIF3K,0.0785759016961,5.20317568918e-05
2,2.39399812112,28.0627064157,2.15080015035e-07,-583.543874494,10,SUCLG1_MDH2,MDH2,0.0783737203369,5.35792069712e-05
2,1.79107340656,27.9766717362,2.24075350122e-07,-541.503238529,14,PARVA_VCL,VCL,0.0781522203682,5.52110343792e-05
2,1.76044615768,27.9661118943,2.25205255156e-07,-535.839626786,14,CALD1_VCL,VCL,0.0781250262666,5.52110343792e-05
2,1.43135551609,27.8924878451,2.33244320671e-07,-563.946461535,26,MDH2_FH,FH,0.0779353822513,5.67316304372e-05
2,1.05986775534,27.9513256447,2.36641135715e-07,-527.480536793,54,BCAP31_SEC62,SEC62,0.083448917812,5.710816158e-05
-2,-3.34567711743,27.7319672379,2.51789355998e-07,-584.129144211,5,SUCLG2_DLAT,DLAT,0.0775216356872,6.00358071593e-05
2,2.66639635297,27.7247304868,2.52659596332e-07,-563.6639664,7,KHSRP_ELAVL1,ELAVL1,0.077502974002,6.00358071593e-05
2,2.27525496552,27.7138461583,2.54843408403e-07,-580.477231883,11,HEATR1_TOP1,TOP1,0.0779105071609,6.00924647754e-05
2,1.64302997137,27.6612673629,2.60422313224e-07,-578.354980884,21,HBA1_PRDX2,PRDX2,0.0773392868812,6.09427670871e-05
2,1.62400726011,27.5818178383,2.70480375815e-07,-511.353892949,14,ACTN1_VCL,VCL,0.077134284973,6.28205925484e-05
2,1.79568932532,27.5416059315,2.85183734358e-07,-542.102938281,17,NOC2L_FTSJ3,FTSJ3,0.0813536813465,6.574123548e-05
2,1.62797388302,27.4069375396,2.94021704631e-07,-576.831973542,21,HBB_PRDX2,PRDX2,0.0766827239791,6.67818415887e-05
2,1.58621759592,27.4816559833,2.9397164639e-07,-539.534152738,22,NOC2L_RBM28,RBM28,0.0814315548597,6.67818415887e-05
2,1.38979660196,27.4498598467,3.01305283399e-07,-528.863380626,29,DDX6_LSM14B,LSM14B,0.0825684205714,6.79366438263e-05
2,2.1113451467,27.3277799464,3.05346430853e-07,-561.541965218,11,SF3B1_TOP1,TOP1,0.076478184681,6.83489220945e-05
2,1.74457421275,27.3565359643,3.08558556035e-07,-533.699053738,16,MRPL19_SLC25A10,SLC25A10,0.0796738465673,6.8571034503e-05
2,1.76150302404,27.260229763,3.17467783399e-07,-554.524205801,16,MRPL13_SLC25A10,SLC25A10,0.0771675593974,6.90099823863e-05
-2,-2.04284026646,27.2355849602,3.19092120642e-07,-577.845685999,13,PRPF19_PTBP1,PTBP1,0.0762398431368,6.90099823863e-05
2,2.73075565637,27.347235504,3.18812631631e-07,-523.331391086,7,KPNA2_TOP2A,TOP2A,0.08328754607,6.90099823863e-05
2,1.82135794051,27.2577495841,3.19469973494e-07,-539.590363936,14,TNS1_VCL,VCL,0.0778219742931,6.90099823863e-05
2,2.54329498765,27.213485846,3.22478635216e-07,-572.715462247,8,RBM39_HNRNPA2B1,HNRNPA2B1,0.0761826944511,6.91761461237e-05
2,2.22515531634,27.161370147,3.30609165724e-07,-579.9863819,11,PRPF8_TOP1,TOP1,0.0760478943616,6.99487474603e-05
2,0.919772951807,27.1640986847,3.30178405774e-07,-579.977477401,83,HSPA9_CYC1,CYC1,0.0760549528488,6.99487474603e-05
2,2.7180670873,27.1199309959,3.43533179526e-07,-530.306622892,6,PDHX_DLAT,DLAT,0.0783541442351,7.21887069086e-05
2,2.20669393316,27.0398822157,3.50374214382e-07,-577.96455039,11,NCL_TOP1,TOP1,0.0757335064305,7.31287802855e-05
2,1.83005642405,27.0181970144,3.55182019676e-07,-551.04850432,14,TPM1_VCL,VCL,0.0761036962094,7.36347153543e-05
2,-1.38250884249,26.9635763392,3.63393497546e-07,-574.532837304,29,DEK_HNRNPU,DEK,0.075535931749,7.48348342612e-05
2,2.8324485811,26.9056805759,3.73596229601e-07,-588.699212371,7,HNRNPA1_ELAVL1,ELAVL1,0.0753859690115,7.64264074991e-05
-2,-2.96187553797,26.9046214064,3.806795419e-07,-530.406495621,5,PDHX_DLAT,DLAT,0.0777804624205,7.68574578386e-05
2,1.88621399064,26.893743124,3.78812402124e-07,-556.601749539,14,MYLK_VCL,VCL,0.0764257496745,7.68574578386e-05
2,1.61302874213,26.7767282535,3.99944255049e-07,-577.61929318,22,BPNT1_BROX,BROX,0.0759027625944,8.02225846653e-05
2,1.88901557052,26.7499386593,4.05100239741e-07,-559.695432712,14,KANK2_VCL,VCL,0.0758325820297,8.07325574554e-05
2,2.19894333789,26.7164314906,4.09006396107e-07,-563.48891263,10,DLD_MDH2,MDH2,0.0748954327082,8.09885101009e-05
2,1.40615628339,26.6058497627,4.31926867565e-07,-585.637387927,30,RBM39_GMPS,GMPS,0.0748183692154,8.4982298975e-05
2,1.89557544689,26.6131888985,4.67214263794e-07,-478.610537562,13,NEXN_VCL,VCL,0.0856795198969,9.13433456241e-05
2,1.81517103416,26.407356212,4.78022208904e-07,-567.815932252,16,MRPS23_SLC25A10,SLC25A10,0.0751474200672,9.28685914028e-05
2,1.9383240244,26.3536110762,4.86643114339e-07,-588.585177301,15,HSPA5_P4HB,P4HB,0.0739535401273,9.39525362621e-05
2,1.92006954582,26.2999540234,4.99324219943e-07,-574.852043711,14,MYH11_VCL,VCL,0.0738140820015,9.58020195903e-05
2,2.09130512404,26.228345404,5.16768674576e-07,-565.192173922,11,PRKDC_TOP1,TOP1,0.073627901155,9.85369404794e-05
2,0.867200978687,26.2010748516,5.23572474196e-07,-567.749191727,84,EEF1G_EEF1D,EEF1D,0.0735569786321,9.92218020117e-05
2,2.20266546435,26.2204409088,5.31363751868e-07,-555.847397209,11,RFC4_HAT1,HAT1,0.0768431130298,0.000100084306678
2,2.21029471616,26.1864034571,5.35648218982e-07,-566.042923643,11,FEN1_HAT1,HAT1,0.0756424954752,0.000100095631646
2,2.59075278395,26.1447802456,5.37904656951e-07,-585.503952742,8,SRRT_HNRNPA2B1,HNRNPA2B1,0.0734105389038,0.000100095631646
2,2.2703000087,25.8722547146,6.13086135234e-07,-579.421214499,10,MDH2_HSPE1,HSPE1,0.0727009604481,0.000113402579146
2,1.59874620839,25.8192611292,6.28893230654e-07,-580.723405613,21,HBD_PRDX2,PRDX2,0.072562854094,0.000115633999374
2,1.42546994891,25.8085653036,6.47082026977e-07,-554.220707834,27,CDC5L_NUP153,NUP153,0.0757274550322,0.000118274342091
2,2.16203012131,25.7141119605,6.62468109806e-07,-577.755484163,11,CDC5L_TOP1,TOP1,0.0724924977424,0.000120374352423
2,2.19505474106,25.6677506635,6.8782791357e-07,-565.254051675,11,MCM7_HAT1,HAT1,0.0744709959493,0.000124251486843
2,2.89018308896,25.5262309946,7.24021641756e-07,-579.056098355,6,PDIA4_PDIA6,PDIA6,0.0717984462726,0.000130029235546
2,1.65704173782,25.4541063947,7.49583394123e-07,-587.411918786,20,KHSRP_ILF3,ILF3,0.0716101064436,0.000133841797945
2,1.7757006367,25.4537718606,7.55252435272e-07,-545.855970721,14,ILK_VCL,VCL,0.0726308971523,0.000134079009917
2,1.62295903813,25.3382720542,7.92555433917e-07,-588.835407583,21,RARS_EPRS,EPRS,0.0713074668477,0.000139897356307
2,1.41826394721,25.2502239144,8.268746654e-07,-577.416641329,26,IARS2_FH,FH,0.0710772920455,0.000145125900081
2,1.66887467227,25.2275274405,8.64519165542e-07,-543.888465881,19,MCM7_DNMT1,DNMT1,0.0757066129387,0.000150875689399
2,1.66303222081,25.0219299066,9.23007177375e-07,-575.023508721,18,NUP98_RBM39,RBM39,0.0704799557402,0.00016017804331
2,1.32751959122,25.0253270509,9.30819488073e-07,-560.993936621,29,PRPF4B_DEK,DEK,0.0719066260578,0.000160631363053
-2,-2.88884381957,24.9830534285,9.4046712704e-07,-552.715733682,5,PDHA1_DLAT,DLAT,0.0703781580198,0.000161394608635
2,2.9238670409,24.8502991557,1.00263950986e-06,-587.357962865,6,CALR_PDIA6,PDIA6,0.070030373977,0.000169243357702
2,1.6582846672,24.8693615807,9.94852031837e-07,-573.32574509,18,CHD4_RBM39,RBM39,0.0702783690276,0.000169243357702
2,1.83067868374,24.8601097067,9.97906328919e-07,-568.370308891,14,DPYSL3_VCL,VCL,0.070056084149,0.000169243357702
2,1.87612786393,24.7056122699,1.09530441317e-06,-554.606273178,14,CSRP2_VCL,VCL,0.072300867714,0.000183880181103
2,2.89962873457,24.5181416269,1.18020629165e-06,-583.268473468,6,DNAJB11_PDIA6,PDIA6,0.0695514322008,0.000197062553238
2,2.19558787516,24.3874631749,1.25369593044e-06,-578.122704787,10,ABHD11_MDH2,MDH2,0.0688158180213,0.000203824564692
2,1.65362099783,24.4688886745,1.24422938147e-06,-545.77466877,19,MCM2_DNMT1,DNMT1,0.0735975289961,0.000203824564692
2,1.33305137243,24.4151419288,1.23871017324e-06,-582.18652624,30,PCNA_GMPS,GMPS,0.0690834631351,0.000203824564692
2,2.09992904403,24.4034223926,1.24913939502e-06,-573.241723427,11,SNRNP70_TOP1,TOP1,0.0694456025114,0.000203824564692
2,0.967618811264,24.4120534203,1.23888609229e-06,-556.402449223,52,UQCRB_CYC1,UQCRB,0.0688804265676,0.000203824564692
2,2.50718978505,24.3182356367,1.29635551285e-06,-564.986584991,7,HNRNPL_ELAVL1,ELAVL1,0.0686338810448,0.000208564696833
2,1.81710656467,24.3273154046,1.2924106186e-06,-567.755732549,14,FHL2_VCL,VCL,0.0688520653343,0.000208564696833
2,1.53011189588,24.2601096363,1.33330323731e-06,-576.495331837,21,AIMP1_EPRS,EPRS,0.0684810651167,0.000213397601039
-2,-1.87835959609,24.2295219976,1.35317099619e-06,-569.390975539,13,HNRNPK_PTBP1,PTBP1,0.0684006286686,0.000215461093157
2,1.74389779054,24.2711956673,1.36217066477e-06,-552.725377103,17,RRP1_FTSJ3,FTSJ3,0.0723927255934,0.000215781804281
2,1.31985290076,24.1663243274,1.39517133285e-06,-577.316276462,29,FUS_DEK,DEK,0.0682343934684,0.000218893929907
2,2.24162336883,24.1651129316,1.3959891289e-06,-550.518333845,8,SFPQ_HNRNPA2B1,HNRNPA2B1,0.0682312064325,0.000218893929907
2,1.72864039266,24.0851185736,1.45298900918e-06,-583.45049457,17,STT3A_HM13,HM13,0.0682133494351,0.000226680962089
-2,-3.10288649602,24.0234556455,1.49503277864e-06,-582.94764592,5,MDH2_DLAT,DLAT,0.0678583728348,0.000232068153429
2,1.03491798471,23.968531849,1.5353152388e-06,-589.29220479,55,MTDH_YWHAZ,MTDH,0.0677137363704,0.000236998652721
2,2.12153230062,23.959369666,1.54214079628e-06,-569.671193592,10,FH_MDH2,MDH2,0.0676896042859,0.000236998652721
2,1.47056724946,23.9273019034,1.56627233456e-06,-586.16752539,24,GANAB_CALR,CALR,0.0676051318301,0.000239515606012
2,1.67887050107,23.9108388341,1.58293002258e-06,-582.118505227,18,PRKDC_TNPO3,TNPO3,0.0679457299847,0.000240870484716
