p1,p2,cor,corum,string,biogrid,score
A2M,A1BG,0.60436544901,0,0,0,0.60436544901
ACTN1,ACTA2,0.596688256115,0,0,0,0.596688256115
ACTR3,ACTR2,0.797700743422,1,1,1,0.797700743422
ACY1,ABHD14B,0.513949563573,0,0,0,0.513949563573
ADD3,ADD1,0.694977059026,0,0,1,0.694977059026
ADH1B,ABI3BP,0.52207425954,0,0,0,0.52207425954
ADH1C,ADH1B,0.718974429449,0,0,1,0.718974429449
AEBP1,ACTN1,0.635570658035,0,0,0,0.635570658035
AFM,A1BG,0.767922051699,0,0,0,0.767922051699
AFM,A2M,0.611093428448,0,0,0,0.611093428448
AGR3,AGR2,0.566039116351,0,0,0,0.566039116351
AGT,A1BG,0.781803797261,0,0,0,0.781803797261
AGT,A2M,0.611692485163,0,0,0,0.611692485163
AGT,AFM,0.764081053704,0,0,0,0.764081053704
AHNAK,ADIRF,0.539013144971,0,0,0,0.539013144971
AHSG,A1BG,0.741050393657,0,0,0,0.741050393657
AHSG,A2M,0.600364146247,0,0,0,0.600364146247
AHSG,AFM,0.786256463935,0,0,0,0.786256463935
AHSG,AGT,0.751193560697,0,0,0,0.751193560697
AIF1,ABI3,0.59613540158,0,0,0,0.59613540158
AIF1,ACTR3,0.528821797393,0,0,0,0.528821797393
AIMP2,AIMP1,0.564622988936,1,1,1,0.564622988936
AK2,AIFM1,0.613803542865,0,0,0,0.613803542865
AKAP12,ABI3BP,0.589338918286,0,0,0,0.589338918286
AKR1C2,ACSL1,0.566997540157,0,0,0,0.566997540157
AKR1C2,ADH1B,0.530276230892,0,0,0,0.530276230892
AKR1C3,AKR1C2,0.643031887077,0,0,1,0.643031887077
ALB,A1BG,0.784057593089,0,0,0,0.784057593089
ALB,A2M,0.667990630251,0,1,0,0.667990630251
ALB,AFM,0.857738664615,0,0,0,0.857738664615
ALB,AGT,0.796184883283,0,0,0,0.796184883283
ALB,AHSG,0.845778549359,0,0,1,0.845778549359
ALDH1A3,ACTN1,0.541511706363,0,0,0,0.541511706363
ALDH1B1,ACTN1,0.502170681255,0,0,0,0.502170681255
ALDH1L1,ADH1B,0.540887227335,0,0,0,0.540887227335
ALDH1L1,ADH1C,0.569191324131,0,0,0,0.569191324131
ALDH1L1,AIFM2,0.527598275716,0,0,0,0.527598275716
ALDH1L1,AKR1C2,0.675141119215,0,0,0,0.675141119215
ALDH1L1,AKR1C3,0.511235290818,0,0,0,0.511235290818
ALDH5A1,ACOT13,0.513088439988,0,0,0,0.513088439988
ALOX5,ABI3,0.503905143398,0,0,0,0.503905143398
ALOX5,AIF1,0.549695069591,0,0,0,0.549695069591
AMBP,A1BG,0.747987696673,0,0,0,0.747987696673
AMBP,A2M,0.621357471365,0,1,1,0.621357471365
AMBP,AFM,0.713534801834,0,0,0,0.713534801834
AMBP,AGT,0.756443638254,0,0,0,0.756443638254
AMBP,AHSG,0.781335846597,0,0,0,0.781335846597
AMBP,ALB,0.799912248782,0,0,1,0.799912248782
AMPD3,AIF1,0.528531383849,0,0,0,0.528531383849
ANG,AEBP1,0.648555965628,0,0,0,0.648555965628
ANG,AFM,0.521664040079,0,0,0,0.521664040079
ANG,ALB,0.508858032086,0,0,0,0.508858032086
ANG,AMBP,0.555311450685,0,0,0,0.555311450685
ANGPTL2,AEBP1,0.649406923968,0,0,0,0.649406923968
ANGPTL2,AFM,0.511735474836,0,0,0,0.511735474836
ANGPTL2,AGT,0.541694636211,0,0,0,0.541694636211
ANGPTL2,AHSG,0.541072258957,0,0,0,0.541072258957
ANGPTL2,ALB,0.548396292208,0,0,0,0.548396292208
ANGPTL2,AMBP,0.609762424508,0,0,0,0.609762424508
ANGPTL2,ANG,0.576138738084,0,0,0,0.576138738084
ANK1,ADD2,0.554010112462,0,0,0,0.554010112462
ANK1,ALAD,0.557568578224,0,0,0,0.557568578224
ANK2,ABI3BP,0.584142652657,0,0,0,0.584142652657
ANK2,AKAP12,0.537098661295,0,0,0,0.537098661295
ANKRD44,AIF1,0.603782955679,0,0,0,0.603782955679
ANKRD44,AMPD3,0.573667078822,0,0,0,0.573667078822
ANTXR1,ACTN1,0.629231590138,0,0,0,0.629231590138
ANTXR1,AEBP1,0.682249439156,0,0,0,0.682249439156
ANXA2,ACTN1,0.593921507719,0,0,0,0.593921507719
ANXA2,ACTR3,0.526749874794,0,0,0,0.526749874794
ANXA2,AHNAK,0.524115273606,0,0,0,0.524115273606
ANXA2,ANXA1,0.583442021298,0,0,0,0.583442021298
ANXA5,ACTN1,0.515060810616,0,0,0,0.515060810616
ANXA5,ANXA2,0.601459328671,0,0,0,0.601459328671
ANXA6,ABI3BP,0.51762473778,0,0,0,0.51762473778
ANXA6,AEBP1,0.517192559569,0,0,0,0.517192559569
ANXA6,ANXA5,0.53718186151,0,0,0,0.53718186151
AOC3,ABI3BP,0.533424201093,0,0,0,0.533424201093
AOC3,ACTA2,0.605127996808,0,0,0,0.605127996808
AOC3,ACTN1,0.51710041236,0,0,0,0.51710041236
AOC3,ADH1B,0.850070221717,0,0,0,0.850070221717
AOC3,ADH1C,0.659283881132,0,0,0,0.659283881132
AOC3,AKAP12,0.514280751286,0,0,0,0.514280751286
AOC3,AKR1C2,0.532186097126,0,0,0,0.532186097126
AOC3,ALDH1L1,0.508411412134,0,0,0,0.508411412134
AOC3,ANXA6,0.517719573568,0,0,0,0.517719573568
AOX1,ABI3BP,0.623641953134,0,0,0,0.623641953134
AOX1,AKAP12,0.526849057838,0,0,0,0.526849057838
AOX1,ALDH1L1,0.527427329313,0,0,0,0.527427329313
AOX1,ANK2,0.512868219058,0,0,0,0.512868219058
AP1G1,AP1B1,0.565119445611,1,1,1,0.565119445611
AP1M2,AP1G1,0.524326754128,1,1,1,0.524326754128
AP2S1,AP2M1,0.503998583935,0,1,1,0.503998583935
AP3D1,AP3B1,0.512503375184,1,1,1,0.512503375184
AP3M1,AP3D1,0.508938482536,1,1,1,0.508938482536
APBB1IP,ABI3,0.561317962085,0,0,0,0.561317962085
APBB1IP,ABR,0.513798769782,0,0,0,0.513798769782
APBB1IP,ACTR2,0.55328008746,0,0,0,0.55328008746
APBB1IP,ACTR3,0.530433384628,0,0,0,0.530433384628
APBB1IP,ADA,0.506887202583,0,0,0,0.506887202583
APBB1IP,AIF1,0.809020371087,0,0,0,0.809020371087
APBB1IP,ALOX5,0.645321939643,0,0,0,0.645321939643
APBB1IP,AMPD3,0.543902702664,0,0,0,0.543902702664
APBB1IP,ANKRD44,0.548329539594,0,0,0,0.548329539594
APCS,A1BG,0.542520245904,0,0,0,0.542520245904
APCS,ABI3BP,0.529072839502,0,0,0,0.529072839502
APCS,ADH1B,0.510174254282,0,0,0,0.510174254282
APCS,AFM,0.507528155512,0,0,0,0.507528155512
APCS,AGT,0.574120649058,0,0,0,0.574120649058
APCS,AHSG,0.558805926935,0,0,0,0.558805926935
APCS,ALB,0.54464443347,0,0,0,0.54464443347
APCS,AMBP,0.651926027872,0,0,0,0.651926027872
APCS,ANG,0.50198880482,0,0,0,0.50198880482
APCS,ANGPTL2,0.511066091348,0,0,0,0.511066091348
APCS,ANXA6,0.512261660885,0,0,0,0.512261660885
APCS,AOC3,0.533812866237,0,0,0,0.533812866237
APCS,AOX1,0.50920722663,0,0,0,0.50920722663
APOA1,A1BG,0.758682717853,0,0,0,0.758682717853
APOA1,A2M,0.678898860169,0,1,0,0.678898860169
APOA1,AFM,0.828351013113,0,0,0,0.828351013113
APOA1,AGT,0.820919645725,0,0,0,0.820919645725
APOA1,AHSG,0.805373229094,0,0,0,0.805373229094
APOA1,ALB,0.876203289069,0,1,1,0.876203289069
APOA1,AMBP,0.778939845659,0,0,0,0.778939845659
APOA1,ANGPTL2,0.54048889154,0,0,0,0.54048889154
APOA1,APCS,0.508585406504,0,1,0,0.508585406504
APOA2,A1BG,0.746509190343,0,0,0,0.746509190343
APOA2,A2M,0.622836416362,0,0,0,0.622836416362
APOA2,AFM,0.815313593047,0,0,0,0.815313593047
APOA2,AGT,0.746093283707,0,0,0,0.746093283707
APOA2,AHSG,0.761312683111,0,0,0,0.761312683111
APOA2,ALB,0.817828353594,0,0,1,0.817828353594
APOA2,AMBP,0.728728746316,0,0,0,0.728728746316
APOA2,APOA1,0.877339761725,0,1,1,0.877339761725
APOA4,A1BG,0.615873285121,0,0,0,0.615873285121
APOA4,A2M,0.509722117592,0,0,0,0.509722117592
APOA4,AFM,0.684725310513,0,0,0,0.684725310513
APOA4,AGT,0.616172137262,0,0,0,0.616172137262
APOA4,AHSG,0.686773568692,0,0,0,0.686773568692
APOA4,ALB,0.728882321298,0,0,1,0.728882321298
APOA4,AMBP,0.661323648258,0,0,0,0.661323648258
APOA4,ANGPTL2,0.523411089691,0,0,0,0.523411089691
APOA4,APOA1,0.752495054465,0,1,0,0.752495054465
APOA4,APOA2,0.749180503788,0,1,0,0.749180503788
APOB,A1BG,0.517296386763,0,0,0,0.517296386763
APOB,A2M,0.675914310375,0,0,0,0.675914310375
APOB,AFM,0.550673348379,0,0,0,0.550673348379
APOB,AGT,0.534290182053,0,0,0,0.534290182053
APOB,AHSG,0.506690313905,0,0,0,0.506690313905
APOB,AMBP,0.507892990297,0,0,0,0.507892990297
APOB,APOA1,0.593356045841,0,1,1,0.593356045841
APOB,APOA2,0.525174066649,0,1,0,0.525174066649
APOBEC3G,APOBEC3C,0.559850005358,0,0,0,0.559850005358
APOBR,ALOX5,0.509657614298,0,0,0,0.509657614298
APOC1,A1BG,0.636350980019,0,0,0,0.636350980019
APOC1,A2M,0.610227429293,0,0,0,0.610227429293
APOC1,AFM,0.673993229705,0,0,0,0.673993229705
APOC1,AGT,0.626616418161,0,0,0,0.626616418161
APOC1,AHSG,0.667108681706,0,0,0,0.667108681706
APOC1,ALB,0.684612352794,0,0,1,0.684612352794
APOC1,AMBP,0.635178968597,0,0,0,0.635178968597
APOC1,APOA1,0.801349421251,0,0,1,0.801349421251
APOC1,APOA2,0.775591501892,0,0,0,0.775591501892
APOC1,APOA4,0.667345117237,0,0,0,0.667345117237
APOC1,APOB,0.568597704733,0,0,0,0.568597704733
APOC2,A1BG,0.654765917468,0,0,0,0.654765917468
APOC2,A2M,0.585807999202,0,0,0,0.585807999202
APOC2,AFM,0.612267017487,0,0,0,0.612267017487
APOC2,AGT,0.633643284207,0,0,0,0.633643284207
APOC2,AHSG,0.572812584053,0,0,0,0.572812584053
APOC2,ALB,0.596068109609,0,0,1,0.596068109609
APOC2,AMBP,0.609035676437,0,0,0,0.609035676437
APOC2,APOA1,0.730123833256,0,0,0,0.730123833256
APOC2,APOA2,0.710500222358,0,1,0,0.710500222358
APOC2,APOA4,0.608273460259,0,0,0,0.608273460259
APOC2,APOB,0.610209231851,0,1,0,0.610209231851
APOC2,APOC1,0.800831563966,0,0,0,0.800831563966
APOC3,A1BG,0.672004120274,0,0,0,0.672004120274
