protein,type,meas,coef,effectsize,wald,fdr
ERBB2,2.0,15.0,4.24087833538,3.59347752854,9.54071405361e-30,1.2460172554018712e-26
GRB7,2.0,15.0,4.10300254505,3.5663867781,7.32695794359e-26,4.7845035371618836e-23
MIEN1,2.0,15.0,3.82510608265,3.22951737965,6.64578178903e-22,2.8931303388254692e-19
HEATR6,2.0,13.0,3.0368151879,2.99412395144,1.21112967857e-12,3.56802985433581e-10
YWHAZ,2.0,45.0,2.01682799184,1.91795257902,1.36601449247e-12,3.56802985433581e-10
ASNA1,2.0,17.0,2.73976872324,2.38074018553,2.2215326664e-12,4.8355361038707586e-10
RPS6KB1,2.0,12.0,2.89712501516,2.79265547455,3.318471495e-12,6.1913196749577232e-10
SARS2,2.0,16.0,2.63591666012,2.52491747725,4.55535442547e-12,7.4366160995860429e-10
SUPT5H,2.0,17.0,2.68010885315,2.56200839248,5.88066564079e-12,8.53349925207596e-10
CDC37,2.0,18.0,2.75798210787,2.59946752185,6.96399728311e-12,9.09498045174024e-10
ECH1,2.0,16.0,2.82373585559,2.72188198266,1.20150794842e-11,1.4265176187659833e-09
BROX,2.0,18.0,2.83834410267,2.73832232499,1.60796478711e-11,1.7500016766326685e-09
C8orf82,2.0,64.0,1.5637636712,1.46451036294,4.2035496038e-11,3.6598905217058628e-09
YWHAE,2.0,5.0,5.17423811933,5.08093656048,4.17763840029e-11,3.6598905217058628e-09
PCYT1A,2.0,28.0,2.15713394728,2.01134760818,3.83475382205e-11,3.6598905217058628e-09
DHX36,2.0,18.0,2.27763985011,2.24769854247,1.05217391612e-10,8.1809659850586098e-09
PYCRL,2.0,63.0,1.53232901005,1.35491825381,1.06490368871e-10,8.1809659850586098e-09
MTDH,2.0,39.0,1.80639437299,1.77860980896,5.1905649431e-10,3.7660432309386169e-08
APEX1,2.0,8.0,3.58195426515,3.55237219688,6.03373005919e-10,4.1473955038445191e-08
ABCF3,2.0,35.0,1.80217103833,1.63700357891,9.06786616341e-10,5.8784535733182892e-08
GLOD4,2.0,5.0,4.3661140569,4.16689316499,9.45233729247e-10,5.8784535733182892e-08
AIM1,2.0,7.0,3.38799997869,3.13768548989,1.74034545671e-09,1.0331323483913103e-07
TIMM50,2.0,17.0,2.50977711907,2.36660949738,1.86886957735e-09,1.0611928991363024e-07
TACC3,2.0,11.0,2.94769064376,2.80561548259,2.28025758697e-09,1.1912065634333198e-07
