beta,f,f_pval,ll,px,py,rsquared,fdr
1.07521127891,44.3440056796,8.36199041854e-10,-215.756064338,SUPT16H,SSRP1,0.266580124113,3.0708573613e-05
0.893379966084,41.9520472023,2.0626148092e-09,-213.78743689,ASPSCR1,UFD1L,0.255879983923,3.78737331266e-05
0.930913932183,30.4321068595,1.9722378229e-07,-216.234535372,RAB3GAP2,RAB3GAP1,0.199643680629,0.00241428206027
0.837910755393,29.7695730554,2.79431498174e-07,-213.889908497,TRAPPC8,TRAPPC12,0.204223504476,0.00256546058474
0.930079617111,25.7445481944,1.41177248774e-06,-222.506686619,ARID2,PBRM1,0.174250410651,0.010369186568
-0.745991760111,23.739106418,3.35180191915e-06,-216.089022171,SYNPO,EEF1D,0.162887690212,0.0205152622798
0.628360174803,22.1596050709,6.69073027278e-06,-211.488014552,MRE11A,RAD50,0.153715772598,0.0351014826482
-0.731830678625,21.0232676597,1.12145053069e-05,-213.654641525,HDAC2,HDAC1,0.149076588627,0.0514801866112
0.767552306026,20.6184936874,1.32535371033e-05,-218.289536226,EIF3A,EIF3E,0.144570968002,0.0540803218425
0.800994547295,20.0081508618,1.74190211609e-05,-225.440846493,EIF3A,EIF3H,0.140894383459,0.0639696133112
-0.593429522372,18.5532170604,3.36233614918e-05,-200.134251313,NEDD4L,YWHAB,0.132001368936,0.112253120675
0.637167568923,17.7606904714,4.82910967685e-05,-206.85004288,MATR3,PKP4,0.127079298274,0.118229482515
-0.692909916486,17.8358098144,4.66566191962e-05,-218.652668452,MAP1B,EEF1D,0.127548228441,0.118229482515
0.620880971146,17.8577275345,4.71472180485e-05,-211.716478063,SMARCA4,CDYL,0.131444326787,0.118229482515
0.874286447054,17.9476119982,4.43278968946e-05,-225.868116079,SMARCC2,PBRM1,0.128245217921,0.118229482515
-0.686414490138,17.2352777031,6.14843790086e-05,-218.919504036,APC,EEF1D,0.123785279043,0.14112202092
0.768711246777,17.4019022536,7.54881243932e-05,-132.45746856,MAP3K11,SH3RF1,0.176845181395,0.154012548901
0.646254345917,16.8112990137,7.47836216469e-05,-209.616371653,EIF3A,EIF3B,0.121109010096,0.154012548901
-0.853596547785,16.5201344375,8.75426447432e-05,-214.398640295,RAB1A,UBL4A,0.123727664798,0.15458987958
0.825687017123,16.6022324929,8.23897551858e-05,-222.080813807,GATAD2B,MTA2,0.119783297818,0.15458987958
0.631653775393,16.4505424173,8.83996152698e-05,-204.98189557,RAPGEF2,FLNC,0.118818909122,0.15458987958
-0.631479651707,16.0518223096,0.000106425895183,-227.500728927,NPM1,RPS2,0.116273889334,0.168626762185
-0.475519240797,15.8896804372,0.000114793297425,-187.989907688,ENO1,YWHAQ,0.115234732482,0.168626762185
0.634103272132,15.9640746754,0.000110873718646,-211.139617649,MEPCE,GTF2I,0.115711823625,0.168626762185
-0.580571281751,15.9619778629,0.000110982297415,-209.241378005,UBXN7,CUL3,0.115698383788,0.168626762185
-0.506684335747,15.778699502,0.000120905521578,-196.623813284,G3BP1,CLNS1A,0.114522052821,0.170774399016
0.691042066205,15.6771043891,0.00012679235905,-220.2866655,NUP133,NUP107,0.113868638207,0.172456392361
-0.749718638096,15.4957407078,0.000138040182603,-222.577759563,APPL1,MTA2,0.112699787121,0.181049559497
0.50442101857,15.3508599073,0.0001477553079,-205.767461127,HTT,BAG3,0.111763842743,0.187109169907
0.895244784854,15.2583453376,0.000154322081547,-222.684899128,RNF2,MTA2,0.111165155751,0.188910804091
-0.709757161135,15.1145614496,0.000165125964146,-206.553581088,XPO1,ARFGAP2,0.110233087499,0.189502684603
0.543684852135,15.1476060736,0.000162576424086,-214.579538651,ATM,RAD50,0.110447469754,0.189502684603
-0.52366134234,15.1777209086,0.00017332368628,-144.776222389,SFN,SH3BP4,0.127353676449,0.192883001666
0.719250912335,14.8302429354,0.000188824611828,-225.54116889,CUL3,FARSA,0.108384247643,0.203041664104
-0.609245411585,14.6915283716,0.00020234368295,-211.895155668,APC,AKAP13,0.108271522533,0.203041664104
0.691701308058,14.6432262317,0.000210096482844,-217.80870412,TAB2,MAP3K7,0.111234179311,0.203041664104
0.597967760936,14.64555783,0.000207536800339,-213.955311254,RALBP1,REPS1,0.108771192054,0.203041664104
0.691701308058,14.6432262317,0.000210096482844,-217.80870412,SASH1,MAP3K7,0.111234179311,0.203041664104
-0.634253080507,14.5131170444,0.000219398332117,-219.501155251,NBR1,GSK3B,0.106312985584,0.206594470479
0.511035146694,14.3818729221,0.000233492067968,-206.20641078,WDR1,BAG3,0.105452965368,0.209140553757
0.682951737362,14.4062362027,0.000230807484207,-218.231156164,USP19,PDHA1,0.105612738858,0.209140553757
-0.462611783299,14.1735841862,0.000257788673739,-188.76636606,ARHGEF16,YWHAQ,0.104084681848,0.21037847232
-0.559995850815,14.1789936517,0.000257126028611,-220.295593874,NPM1,EEF1D,0.104120270473,0.21037847232
-0.462611783299,14.1735841862,0.000257788673739,-188.76636606,CDK11B,YWHAQ,0.104084681848,0.21037847232
-0.462611783299,14.1735841862,0.000257788673739,-188.76636606,NADK,YWHAQ,0.104084681848,0.21037847232
0.61539928653,13.9063547055,0.000292797257727,-208.154629724,RPA2,RPA1,0.102323064551,0.219442581485
0.667912979155,13.9785493523,0.000286702860225,-216.620216259,WDR4,METTL1,0.105915312912,0.219442581485
-0.703462544382,13.9458898178,0.000287325908102,-220.401813056,CDK2,EEF1D,0.102584122525,0.219442581485
-0.558451860015,13.919021411,0.000291032770755,-216.461642665,LARP1,RRP1B,0.102406721786,0.219442581485
-0.604793406036,13.7680643282,0.000312788923183,-204.995750883,SFN,AKT1,0.101408710482,0.225232557156
0.418575694421,13.7867334859,0.000310010476515,-185.294902661,DBN1,SEC16A,0.101532256738,0.225232557156
-0.623873218257,13.7228363881,0.000319626169691,-206.248347495,ITGA4,KRT6A,0.101109266158,0.225729835687
-0.61020883033,13.7671087084,0.000335737357581,-181.232129478,LARP1,CLK3,0.117902283106,0.232634315468
0.556262233445,13.4703886121,0.000360702008853,-207.072314255,UPF2,UPF1,0.099434191856,0.245304084687
0.417245950561,13.4266407968,0.000368352006459,-179.37296324,SYNPO,PPL,0.0991432757826,0.245951983367
0.670866234561,13.4195198567,0.00037671441455,-220.914801587,TCF20,PHF14,0.103690076053,0.247043931427
-0.721028164216,13.2076301422,0.000409224214002,-220.982679473,STAT2,SMARCC1,0.0976840591638,0.254468975427
-0.55180101996,13.1515667505,0.000420414889853,-210.517416071,IGF2BP2,CUL3,0.097309761675,0.254468975427
-0.543419696699,13.1403907325,0.000422682918556,-210.522543216,KHDRBS1,CUL3,0.097235109809,0.254468975427
-0.55180101996,13.1515667505,0.000420414889853,-210.517416071,TRA2B,CUL3,0.097309761675,0.254468975427
0.525792016834,13.1902050615,0.000412669331346,-190.173641412,PRKDC,FN1,0.0975677568914,0.254468975427
-0.542309620681,13.0218889814,0.000447516542312,-210.576933556,EIF4G1,CUL3,0.0964427996053,0.256790585935
-0.542309620681,13.0218889814,0.000447516542312,-210.576933556,AP2M1,CUL3,0.0964427996053,0.256790585935
-0.542309620681,13.0218889814,0.000447516542312,-210.576933556,PSMD2,CUL3,0.0964427996053,0.256790585935
-0.626631421638,12.9604730109,0.000460970247397,-224.317619866,MATR3,DDX3X,0.0960316211239,0.260441097929
-0.467737722106,12.8194792755,0.000493446328904,-191.608375524,CLU,HSPD1,0.0950862541849,0.274565499737
0.542993047412,12.7811574969,0.000502672047871,-215.091792752,SYNPO,FARP1,0.0948289637383,0.275524302776
-0.703349767348,12.8174577163,0.000534026135948,-184.908954698,OPTN,TBC1D17,0.114628412933,0.288405526714
-0.522387050481,12.5193971337,0.000570603510362,-194.532833211,EDC4,CRK,0.0930675976881,0.300785539599
-0.437471290872,12.3982892616,0.000605150037286,-178.936817359,HIST1H1D,SFN,0.0922503502815,0.300785539599
-0.679321352941,12.4216281838,0.000601552637491,-210.839555882,NCK2,KIAA1522,0.0938036207087,0.300785539599
-0.573798066525,12.3950864934,0.000606092199387,-230.837262961,RBM7,SRSF3,0.0922287177071,0.300785539599
0.626007254225,12.5292011443,0.00057929059034,-206.737824594,PARP1,TERF2IP,0.0982457431859,0.300785539599
-0.544800358975,12.4214946054,0.000598368386248,-185.921423411,XPO1,SEC16A,0.0924070561919,0.300785539599
0.542149029357,12.3261843317,0.000626729507281,-209.716734207,VCP,FERMT2,0.0917630794993,0.306880192338
-0.430046939265,12.2688283171,0.000644457375348,-189.639726237,MTOR,YWHAQ,0.091375105234,0.31140858753
-0.695393785044,12.1930042576,0.000668685608472,-221.449694723,SMARCC2,SMARCC1,0.0908616982311,0.318919614098
0.646134167136,12.1709197678,0.00067943013027,-229.362512545,ABCE1,NAA10,0.0920847020597,0.319889642359
0.5750891162,12.0507733834,0.000716683618474,-209.006971387,YTHDF2,RPA1,0.0898970821223,0.328011983115
-0.526352283454,12.0334808199,0.000722755429633,-211.032464934,ACTL6A,CUL3,0.0897796636056,0.328011983115
0.532603556253,12.0314355947,0.000723477034972,-204.849728894,BRD7,HNRNPUL1,0.0897657742854,0.328011983115
