,EIF3J,EIF3C,EIF3A
EIF3A,1.13,1.16,0.32
EIF3B,1.23,1.15,1.11
EIF3G,1.39,1.1,1.14
EIF3I,1.12,1.25,1.28
EIF3C,1.4,0.26,0.45
EIF3D,0.99,0.33,0.58
EIF3E,1.1,0.38,0.39
EIF3K,1.42,0.31,0.54
EIF3L,1.27,0.33,0.4
EIF3F,1.01,1.06,0.7
EIF3H,1.03,1.13,0.38
EIF3M,1.06,1.28,0.58
EIF3J,0.2,1.89,2.17
