Protein Marker ID,Gene
14-3-3_beta,YWHAB
14-3-3_epsilon,YWHAE
14-3-3_zeta,YWHAZ
4E-BP1,EIF4EBP1
4E-BP1_pS65,EIF4EBP1
4E-BP1_pT37T46,EIF4EBP1
4E-BP1_pT70,EIF4EBP1
53BP1,TP53BP1
A-Raf_pS299,ARAF
ACC1,ACACA
ACC_pS79,ACACA
Acetyl-a-Tubulin-Lys40,TUBA1A
ACVRL1,ACVRL1
Akt,AKT1
Akt_pS473,AKT3
Akt_pT308,AKT3
AMPK_alpha,PRKAA1
AMPK_pT172,PRKAA1
Annexin-1,ANXA1
Annexin_VII,ANXA7
AR,AR
ARHI,DIRAS3
ARID1A,ARID1A
ASNS,ASNS
ATM,ATM
B-Raf,BRAF
Bad_pS112,BAD
Bak,BAK1
Bap1-c-4,BAP1
Bax,BAX
Bcl-2,BCL2
Bcl-xL,BCL2L1
Beclin,BECN1
beta-Catenin,CTNNB1
Bid,BID
Bim,BCL2L11
BRCA2,BRCA2
c-Jun_pS73,JUN
c-Kit,KIT
c-Met_pY1235,MET
c-Myc,MYC
C-Raf,RAF1
C-Raf_pS338,RAF1
Caspase-7_cleavedD198,CASP7
Caveolin-1,CAV1
CD20,MS4A1
CD31,PECAM1
CD49b,ITGA2
CDK1,CDK1
Chk1,CHEK1
Chk1_pS345,CHEK1
Chk2,CHEK2
Chk2_pT68,CHEK2
cIAP,BIRC2
Claudin-7,CLDN7
Collagen_VI,COL6A1
Cyclin_B1,CCNB1
Cyclin_D1,CCND1
Cyclin_E1,CCNE1
Cyclin_E2,CCNE2
DJ-1,PARK7
Dvl3,DVL3
E-Cadherin,CDH1
eEF2,EEF2
eEF2K,EEF2K
EGFR,EGFR
EGFR_pY1068,EGFR
EGFR_pY1173,EGFR
eIF4E,EIF4E
eIF4G,EIF4G1
ER-alpha,ESR1
ER-alpha_pS118,ESR1
ERK2,MAPK1
ETS-1,ETS1
FASN,FASN
Fibronectin,FN1
FoxM1,FOXM1
FOXO3a,FOXO3
FOXO3a_pS318_S321,FOXO3
G6PD,G6PD
GAB2,GAB2
GAPDH,GAPDH
GATA3,GATA3
GSK3-alpha-beta,GSK3B
GSK3-alpha-beta_pS21_S9,GSK3B
GSK3_pS9,GSK3B
HER2,ERBB2
HER2_pY1248,ERBB2
HER3,ERBB3
HER3_pY1289,ERBB3
Heregulin,NRG1
HSP70,HSPA1A
IGFBP2,IGFBP2
INPP4B,INPP4B
IRS1,IRS1
JAB1,COPS5
JNK2,MAPK9
JNK_pT183_Y185,MAPK8
Ku80,XRCC5
Lck,LCK
LKB1,STK11
MAPK_pT202_Y204,MAPK1
MEK1,MAP2K1
MEK1_pS217_S221,MAP2K1
MIG-6,ERRFI1
Mre11,MRE11A
MSH2,MSH2
MSH6,MSH6
mTOR,MTOR
mTOR_pS2448,MTOR
MYH11,MYH11
Myosin-IIa_pS1943,MYH9
N-Cadherin,CDH2
N-Ras,NRAS
NDRG1_pT346,NDRG1
NF-kB-p65_pS536,NFKB1
NF2,NF2
Notch1,NOTCH1
P-Cadherin,CDH3
p21,CDKN1A
p27,CDKN1B
p27_pT157,CDKN1B
p27_pT198,CDKN1B
p38_MAPK,MAPK14
p38_pT180_Y182,MAPK14
p53,TP53
p62-LCK-ligand,SQSTM1
p70S6K,RPS6KB1
p70S6K_pT389,RPS6KB1
p90RSK,RPS6KA1
p90RSK_pT359_S363,RPS6KA1
PAI-1,SERPINE1
Paxillin,PXN
PCNA,PCNA
PDCD4,PDCD4
PDK1,PDK1
PDK1_pS241,PDK1
PEA-15,PEA15
PEA15_pS116,PEA15
PI3K-p110-alpha,PIK3CA
PI3K-p85,PIK3R1
PKC-alpha,PRKCA
PKC-alpha_pS657,PRKCA
PKC-delta_pS664,PRKCD
PKC-pan_BetaII_pS660,PRRT2
PR,PGR
PRAS40_pT246,AKT1S1
PRDX1,PRDX1
PREX1,PREX1
PTEN,PTEN
Rab11,RAB11A
Rab-25,RAB25
Rad50,RAD50
Rad51,RAD51
Raptor,RPTOR
Rb_pS807_S811,RB1
RBM15,RBM15
Rictor,RICTOR
Rictor_pT1135,RICTOR
S6,RPS6
S6_pS235_S236,RPS6
S6_pS240_S244,RPS6
SCD1,SCD
SF2,SRSF1
Shc_pY317,SHC1
Smad1,SMAD1
Smad3,SMAD3
Smad4,SMAD4
Src,SRC
Src_pY416,SRC
Src_pY527,SRC
STAT3_pY705,STAT3
STAT5-alpha,STAT5A
Stathmin,STMN1
Syk,SYK
TAZ,WWTR1
TFRC,TFRC
TIGAR,TIGAR
Transglutaminase,TGM2
TSC1,TSC1
Tuberin,TSC2
Tuberin_pT1462,TSC2
VEGFR2,KDR
VHL,VHL
XBP1,XBP1
XRCC1,XRCC1
YAP,YAP1
YAP_pS127,YAP1
YB-1,YBX1
YB-1_pS102,YBX1
