logFC,AveExpr,t,P.Value,adj.P.Val,B
ZDHHC9,1.27327875116246,-0.011887572142589,4.82082153410775,1.42973058328176e-06,0.0178145349203288,4.69085329627928
SCN5A,1.23772999916802,-0.000160278366808345,4.68622870518558,2.78293730913097e-06,0.0178145349203288,4.11703668178211
TP53RK,1.21427127264056,0.00306579760856127,4.59741049950748,4.27786358001191e-06,0.0178145349203288,3.7472718036397
C18orf8,-1.20708608214727,0.0141405137145033,-4.57020630637608,4.87257755816381e-06,0.0178145349203288,3.63543166159821
GNG4,1.19734696502486,5.51830003791146e-05,4.53333256957331,5.80618438182935e-06,0.0178145349203288,3.4848982823007
DEFA5,-1.15555431370074,0.0142240031333085,-4.37509941498178,1.21379981456171e-05,0.0292141871501166,2.85277154030176
NUDT6,-1.15014464168504,-0.00630265847401585,-4.3546175972165,1.33302464018523e-05,0.0292141871501166,2.77259005964103
ZNF681,1.11422830707256,-0.0254814221949009,4.21863304617614,2.45792913683777e-05,0.0448615463677887,2.24978413442224
ATP9A,1.11014915959298,-0.00497329468117584,4.20318879094732,2.63186179069225e-05,0.0448615463677887,2.19145595403807
ATPAF2,-1.10024061300872,-0.00527542863295281,-4.16567356916146,3.10440643811116e-05,0.0454494808160208,2.05066350868752
STAU1,1.08668431626823,-0.00137988777711866,4.11434742617065,3.88283445481498e-05,0.0454494808160208,1.86008431900362
SLC19A3,1.08592210554812,-0.0153715855030198,4.1114615837346,3.93169544287007e-05,0.0454494808160208,1.84943904987424
UBE2R2,1.08325787133235,0.00637414152949796,4.10137439923745,4.10710914283609e-05,0.0454494808160208,1.81228821974261
FECH,-1.07853954712126,0.00132988642491726,-4.08351012643701,4.43612918510632e-05,0.0454494808160208,1.74671850303935
ATP5A1,-1.07563517925606,0.00824522143947672,-4.07251376045294,4.65092782055899e-05,0.0454494808160208,1.70649933494422
SLC2A12,1.07446556380307,0.00940410835460612,4.0680854234865,4.74018442771875e-05,0.0454494808160208,1.69033333991591
REG1B,-1.06807014342432,0.0104283985644732,-4.04387141673154,5.2576670792015e-05,0.0474458062717825,1.60224920385782
ENOSF1,-1.0610270705508,-0.0054105586807727,-4.01720530191267,5.8893407883342e-05,0.0491151269892467,1.50585338260315
TTC39C,-1.05901125384643,-0.00192420775129945,-4.00957312194549,6.08296338436665e-05,0.0491151269892467,1.47838106582412
BLVRA,-1.0488053719145,-0.0134186938749038,-3.97093214458912,7.15931259829478e-05,0.0516607523118806,1.34009325560194
KRT23,1.04407062392207,-0.0255162326495553,3.95300568892524,7.71768269836225e-05,0.0516607523118806,1.27639304040143
ELAVL2,1.04341626978641,-0.00154729946534257,3.95052820745839,7.79801417891262e-05,0.0516607523118806,1.267612178578
ZSWIM7,-1.04147014616387,-0.00969559256434401,-3.94315989579923,8.04162668338982e-05,0.0516607523118806,1.24152942982153
RBFA,-1.0403860669995,0.00908434361325014,-3.93905541186318,8.18043190280937e-05,0.0516607523118806,1.22702127229152
NKD1,1.03856478368997,-0.0102214724495155,3.93215976407961,8.41873937681386e-05,0.0516607523118806,1.20268117757684
USF1,-1.03014398008897,0.0156072927982593,-3.90027735710697,9.60840008305739e-05,0.0566932560285321,1.09069783495419
ZNF790,1.02424941300888,-0.0101001159870665,3.8779596549636,0.000105337735930185,0.0598513409964803,1.01285187865635
HSPH1,1.02143646323613,-0.0057267962166389,3.8673094113885,0.00011004437901713,0.0602925292322071,0.975860419869698
ST6GAL2,1.01145439896031,-0.00718038118416464,3.82951584075696,0.000128397427223792,0.0679222390013859,0.845413160325975
NOL8,1.0052218765327,-0.0163861127548542,3.80591858972029,0.000141280796050444,0.0700820091236492,0.764615167306737
DDX27,1.00506663439529,-0.00836451630565,3.8053308200443,0.00014161673181886,0.0700820091236492,0.762608993581222
UTP14A,0.993369532066803,-0.0010359967505152,3.76104386187402,0.000169207980181696,0.0801127310626001,0.612340094730279
POLR1E,0.992161024407387,0.0118884200129781,3.75646827326601,0.000172330364713239,0.0801127310626001,0.596915047005861
B4GALT5,0.989041119224901,-0.00180568539480243,3.74465585114369,0.000180643555065525,0.0815074346547122,0.557180275607376
ZNF813,0.983322085992893,-0.0041322437045776,3.7230027460919,0.000196869873824605,0.0854951751657549,0.484668248483627
STK38,0.982061042363106,-0.00445784594425092,3.71822824853559,0.000200627488818667,0.0854951751657549,0.468735970684912
