px,py,wb,beta,fdr,signif
EIF3A,EIF3E,0.39,0.751762679153,0.00177835628442,FDR < 5%
EIF3A,EIF3D,0.58,0.689347759062,0.00488348118402,FDR < 5%
EIF3A,EIF3L,0.4,0.671946382876,0.00617646742086,FDR < 5%
COG3,COG4,0.07705625,0.584750382574,0.0100372083824,FDR < 5%
EIF3A,EIF3H,0.38,0.611940531792,0.047576038551,FDR < 5%
EIF3A,EIF3B,1.11,0.541736684429,0.101915655234,All
COG6,COG4,0.7973135,0.470915365661,0.10752616939,All
EIF3A,EIF3F,0.7,0.535655950981,0.110748896287,All
EIF3A,EIF3I,1.28,0.52964820215,0.178173254061,All
COG3,COG7,0.7085363,0.397882777214,0.24692661983,All
COG6,COG7,0.4204117,0.390514724824,0.250704013964,All
COG7,COG5,0.02495527,0.455899169415,0.297066482159,All
EIF3A,EIF3M,0.58,0.4278307308,0.409351843997,All
EIF3A,EIF3K,0.54,0.396170549199,0.413222006203,All
COG3,COG5,0.5699276,0.355087756837,0.432917730361,All
COG6,COG8,0.4099132,0.352171952803,0.493982530547,All
COG3,COG8,0.9384991,0.345341413754,0.527919183582,All
EIF3A,EIF3G,1.14,0.345161299343,0.616369562739,All
COG6,COG5,0.5622543,0.286919624302,0.63383498221,All
COG2,COG4,0.09029213,0.295065656514,0.680198047194,All
EIF3J,EIF3F,1.01,-0.310865274772,0.686333019949,All
EIF3J,EIF3E,1.1,-0.318777384472,0.695466018684,All
COG7,COG6,0.2375671,0.28743157793,0.71138418735,All
EIF3J,EIF3H,1.03,-0.305109919636,0.720420727726,All
EIF3C,EIF3L,0.33,-0.273979346857,0.722384046384,All
COG7,COG4,1.145463,0.280371747128,0.7302993036,All
COG8,COG7,0.4793409,0.26207169175,0.737440308756,All
EIF3C,EIF3F,1.06,-0.26552367154,0.745664562462,All
COG5,COG7,0.08061813,0.249441594104,0.746644127651,All
COG2,COG7,0.8001221,0.242850384901,0.753007847241,All
COG7,COG3,1.478827,0.242221117204,0.75988516435,All
COG8,COG5,0.7741243,0.260431654007,0.767213702295,All
EIF3J,EIF3L,1.27,-0.260533184578,0.768044954495,All
COG2,COG6,0.7605456,0.241985865414,0.779293454238,All
COG7,COG8,0.5551788,0.253847028627,0.781137511474,All
EIF3J,EIF3I,1.12,-0.26894853776,0.781137511474,All
COG4,COG7,0.8743954,0.237707580245,0.781137511474,All
COG1,COG3,0.7470827,-0.181075565432,0.815207473675,All
COG4,COG5,0.6498014,0.229949384925,0.820210873749,All
EIF3J,EIF3G,1.39,-0.235313748808,0.827694431069,All
EIF3C,EIF3D,0.33,-0.215769170645,0.829772544193,All
EIF3J,EIF3A,1.13,-0.2186002513,0.845194638925,All
EIF3C,EIF3K,0.31,-0.194183048943,0.847660055521,All
EIF3C,EIF3H,1.13,-0.202131142807,0.856526972759,All
EIF3J,EIF3D,0.99,-0.196073876155,0.868579637704,All
EIF3C,EIF3G,1.1,-0.167803931167,0.895955799074,All
EIF3C,EIF3A,1.16,-0.162563558544,0.901532270733,All
COG1,COG5,0.570729,0.13880556495,0.904018467991,All
COG4,COG8,0.8237275,0.163406081409,0.908189309812,All
EIF3J,EIF3M,1.06,-0.163471200703,0.910231121374,All
EIF3C,EIF3I,1.25,-0.153144089261,0.91270685328,All
EIF3C,EIF3E,0.38,-0.144120554122,0.917524458078,All
COG1,COG4,0.6999439,-0.114011561857,0.926002370135,All
COG2,COG5,0.5787586,0.121920441544,0.929102048593,All
COG5,COG6,0.194233,0.109803807088,0.940537182023,All
EIF3J,EIF3K,1.42,-0.109316631018,0.942473855485,All
COG3,COG6,0.951234,0.093202204996,0.945883611758,All
COG2,COG3,0.2116139,0.0949020907818,0.945883611758,All
COG5,COG8,0.3748193,0.103893332244,0.948137376222,All
COG8,COG4,1.143636,0.0982658573301,0.951246006115,All
COG2,COG8,0.9992156,0.0969610205122,0.951367626438,All
COG1,COG8,0.5565554,0.0668055760118,0.965983246021,All
COG8,COG6,0.5985956,-0.0696900391611,0.969989981836,All
EIF3C,EIF3B,1.15,-0.0644704317859,0.971446593461,All
EIF3A,EIF3J,2.17,-0.0574470684991,0.975665989982,All
EIF3J,EIF3B,1.23,-0.0600165853872,0.975911427205,All
COG6,COG3,0.8611215,0.0434614579791,0.978706681728,All
COG4,COG6,1.061174,-0.0548369745501,0.978706681728,All
COG5,COG4,0.9851113,-0.0407251898052,0.984582467287,All
COG8,COG3,1.395415,0.0375656456203,0.98500934191,All
COG1,COG6,0.7507757,-0.0325062631122,0.986175460081,All
COG1,COG7,0.7390232,0.0268922787924,0.989305731794,All
EIF3C,EIF3M,1.28,0.0292526541775,0.990442623483,All
EIF3C,EIF3J,1.89,0.0175935718865,0.994127153355,All
COG5,COG3,0.9395318,0.00554566923079,0.998242773426,All
COG4,COG3,0.454661,-0.00305766995998,0.998735065111,All
