cnv,effect_size,f,f_pval,ll,protein,rsquared,f_adjpval
2,2.83501855493,106.484040682,1.29196547708e-20,-388.604833478,POP4,0.326153892422,1.78549628933e-17
2,3.84462487236,99.8302693192,1.27114966931e-19,-394.80474203,GRB7,0.312135150721,8.78364421496e-17
2,3.71521006506,98.1075065776,2.31607570346e-19,-389.135519782,ERBB2,0.308409907182,1.06693887406e-16
2,2.78598665968,92.1663712264,1.88196999113e-18,-394.252171568,URI1,0.295247597825,6.50220631937e-16
2,3.61653961185,91.0243057543,2.82855877486e-18,-391.477863268,MIEN1,0.292659782757,7.81813645372e-16
2,3.6766967126,82.4545331234,6.32804099651e-17,-398.992570683,RPS6KB1,0.272617944495,1.4575587762e-14
2,2.84118539672,79.9807213713,1.57866818769e-16,-414.348526941,PCYT1A,0.266619538101,3.11674205055e-14
2,3.89810829827,78.5238537665,2.71459485322e-16,-401.347622709,PSMD3,0.263040466535,4.68946260893e-14
2,3.71708587098,77.7369078663,3.64222653064e-16,-407.957755609,VDAC3,0.261092615032,5.59284118371e-14
2,3.63949356118,75.6073134771,8.10248126642e-16,-406.357826693,HEATR6,0.255769427988,1.11976291102e-13
2,2.05356629283,74.4733164511,1.24336445757e-15,-392.682152778,ATP6V1C1,0.252903445883,1.56211789124e-13
2,1.89138762105,72.0859332055,3.08041896636e-15,-404.527350246,MAF1,0.246797003931,3.54761584293e-13
2,1.88707184055,68.8977246079,1.04738856145e-14,-409.041380993,GPAA1,0.238484829541,1.11345460917e-12
2,3.33147302397,67.0926971219,2.10752112968e-14,-413.737920059,KRI1,0.233696982872,1.97340138095e-12
2,3.28461777817,67.0510708051,2.14189730205e-14,-410.662342493,GOLGA7,0.233585858492,1.97340138095e-12
2,2.58198920525,65.785720044,3.50681049505e-14,-411.333111,DLG1,0.230192467398,3.0290075651e-12
2,1.7973569217,65.3202962787,4.20650142796e-14,-404.146513314,LRRC14,0.228936732264,3.41963821967e-12
2,1.80225578421,64.4798980276,5.84697826025e-14,-406.188142611,CYC1,0.226658890398,4.48917997537e-12
2,3.23066550884,64.293765089,6.2902285776e-14,-411.64665143,POLB,0.226152568168,4.57531362855e-12
2,1.7849521943,62.9667397424,1.06062499112e-13,-406.682308929,PUF60,0.222523466185,6.94451361553e-12
2,3.86527673824,63.059521259,1.02249506118e-13,-404.629267429,BAG4,0.222778308175,6.94451361553e-12
2,3.16341183104,62.8617787853,1.10549420797e-13,-415.665820398,TIMM50,0.222234969515,6.94451361553e-12
2,3.19113357154,62.2332082058,1.41732181789e-13,-412.529102322,LSM14A,0.22050278421,8.51625544487e-12
2,2.3803166438,61.95192903,1.58431344378e-13,-409.917550068,ZNF687,0.219725146918,9.12300491379e-12
2,1.99996876314,61.0575782592,2.2593791811e-13,-408.858273627,YWHAZ,0.217242241385,1.24898481131e-11
2,3.13321172022,60.7764259698,2.52671441526e-13,-417.281008349,SUPT5H,0.216458435782,1.34304589304e-11
2,1.91560231276,59.7375722578,3.82351916947e-13,-399.847091924,DCAF13,0.21354861907,1.95707536749e-11
2,1.93980456909,59.6054781819,4.03079216448e-13,-410.01547791,ENY2,0.213177075676,1.9894838469e-11
2,1.73833952472,58.8401086969,5.47598408442e-13,-409.348009356,CHRAC1,0.211017378281,2.60958965678e-11
2,3.31206119729,57.9406638505,7.85863985933e-13,-414.969863207,PSMC4,0.208464148598,3.62021342853e-11
2,3.9077763072,57.8127283362,8.27383418712e-13,-416.69946536,RPL19,0.208099638496,3.68852866019e-11
2,3.14008458475,57.6067817199,8.98925314118e-13,-417.523604657,DDA1,0.20751215573,3.88223370035e-11
2,3.04848163347,57.4680888885,9.50593849013e-13,-411.218614788,GINS4,0.207116029518,3.98097181617e-11
2,3.34335923753,57.1939315695,1.06172313614e-12,-410.804093548,WHSC1L1,0.206331831457,4.31559227691e-11
2,1.72996381244,56.9155965489,1.18798683773e-12,-417.442266097,NDUFB9,0.205534095075,4.69085088499e-11
2,3.44548574623,56.8076561259,1.24094062989e-12,-418.236027608,FOXJ3,0.205224295169,4.76383319585e-11
2,3.09977755821,56.7340227883,1.27842537225e-12,-422.539237718,SAMD4B,0.205012821397,4.77509152553e-11
2,1.92350511032,56.609286867,1.34455300249e-12,-398.618886486,ACTL6A,0.204654324908,4.88992697221e-11
2,2.76849861901,56.2780545043,1.53741539301e-12,-409.601151132,CCT5,0.203700777484,5.4479694183e-11
2,3.31147808192,55.3736479883,2.21882613141e-12,-412.267200811,NOL11,0.201085501074,7.62219367756e-11
2,2.83359395703,55.3270052993,2.26128755991e-12,-405.39461647,UBA2,0.2009501583,7.62219367756e-11
2,2.21087756222,55.0092582389,2.5732319902e-12,-420.899131998,ABCF3,0.200026932152,8.00049352576e-11
2,1.72278433132,55.0810395999,2.49916068602e-12,-412.616613481,MRPL13,0.20023568211,8.00049352576e-11
2,3.62560281892,55.0151549038,2.56706452009e-12,-415.621263035,ASH2L,0.200044084564,8.00049352576e-11
2,2.7017685999,54.9790329119,2.60508110463e-12,-411.922234136,COPS5,0.199939000184,8.00049352576e-11
2,2.80659079665,54.0489635552,3.80646844285e-12,-405.863043828,STX16,0.19722374737,1.14359551913e-10
2,2.83192492958,53.7439837866,4.31182899947e-12,-419.743881639,GPATCH1,0.196329369666,1.24144743276e-10
2,4.77279514669,53.7446978973,4.31056983369e-12,-414.563570715,SMARCE1,0.19633146618,1.24144743276e-10
2,2.01641395025,53.0412220828,5.74995023397e-12,-414.115423912,MTDH,0.194260858043,1.62172065783e-10
2,2.49011816402,52.7868341309,6.38262337898e-12,-403.193704734,RAE1,0.193509464264,1.76415710195e-10
2,1.70536456067,52.4350100833,7.37521399581e-12,-416.872851938,EXOSC4,0.192467958018,1.99853838082e-10
2,2.84540813693,51.8048530032,9.55947013557e-12,-419.421358621,CDC37,0.190595761741,2.54061302449e-10
2,3.72226629654,51.6548770624,1.01692389481e-11,-418.403622547,CASC3,0.190148903715,2.65119332508e-10
2,2.87460476833,51.6100008625,1.0359221386e-11,-416.304177898,PAF1,0.190015097745,2.65119332508e-10
2,2.50641952651,51.4710288378,1.09705991575e-11,-416.432072157,UBAP2L,0.189600448557,2.75661237013e-10
2,2.79253687464,51.1607925503,1.2470210132e-11,-422.102170033,CHERP,0.188673266769,3.07746971473e-10
2,3.47916567802,51.1015466354,1.27793254658e-11,-414.65976143,ICT1,0.188495961272,3.09842592874e-10
2,2.91785810518,50.413367047,1.6990936517e-11,-416.034440657,FAM32A,0.186430750808,3.97991089263e-10
2,1.52842376461,50.4206489709,1.69397302414e-11,-401.68318721,ATAD2,0.186452658711,3.97991089263e-10
2,3.13790197055,49.7537727845,2.2341509597e-11,-412.193615063,SLBP,0.18444143439,5.11281296548e-10
2,4.4224867784,49.6985845984,2.28599318745e-11,-406.328330156,ERCC4,0.184274547352,5.11281296548e-10
2,2.28244766304,49.6904500214,2.29373664153e-11,-415.103405359,NDUFC2,0.184249942916,5.11281296548e-10
2,1.63172248287,49.6500415785,2.33259657715e-11,-412.083275268,PYCRL,0.184127698582,5.11690233273e-10
2,2.80433999498,49.5873484669,2.3942074473e-11,-409.058913934,GDI2,0.183937965743,5.16999170651e-10
2,2.52655381936,49.3448825945,2.64836279468e-11,-418.513079046,BRD4,0.183203341824,5.63082674192e-10
2,2.10077158639,49.2192340892,2.79061760896e-11,-419.27777489,DNAJB11,0.182822131025,5.84338414483e-10
2,3.29336496945,48.7562627425,3.38475371405e-11,-416.821653566,MRPS7,0.181414424524,6.91763053491e-10
2,3.09311618782,48.7428486533,3.40375453237e-11,-418.974481843,EIF3G,0.181373565464,6.91763053491e-10
2,2.70738479565,48.6714873964,3.50666227202e-11,-420.76411701,FARSA,0.181156131855,7.02348878251e-10
2,3.01897999075,48.3884609957,3.94671427137e-11,-428.148246486,SARS2,0.180292628141,7.79194160434e-10
2,2.75180798819,48.3502207395,4.01030266492e-11,-413.854473111,DHPS,0.180175818772,7.80596941256e-10
2,2.32319587837,47.8816980966,4.87880325119e-11,-415.737579594,LSM14B,0.178741953768,9.36459179603e-10
2,2.92002897844,47.707587177,5.24799339882e-11,-415.696718117,MRPL4,0.178207826233,9.93524229749e-10
2,3.44176649996,47.4078109667,5.9510261112e-11,-420.588542211,NOL7,0.177286560162,1.1113943359e-09
2,2.56942130338,46.9740324951,7.14030127362e-11,-423.103544641,PRKACA,0.175949818251,1.31571951469e-09
2,3.13994194907,46.7175642644,7.95363187899e-11,-401.841276177,FAM76B,0.175157434394,1.3913821844e-09
2,3.07189207662,46.7328360265,7.90268006773e-11,-414.426689654,MRPL38,0.175204660674,1.3913821844e-09
2,4.20201469966,46.7270476369,7.92195320508e-11,-418.414838773,PROSC,0.175186761338,1.3913821844e-09
2,2.95249165815,46.7771264758,7.7567684237e-11,-426.963641699,PAK4,0.175341593538,1.3913821844e-09
2,1.92816675629,46.6093044377,8.32446390993e-11,-408.917973667,KIAA1429,0.174822497422,1.43805114044e-09
2,3.92267273025,46.3463295013,9.29966829864e-11,-418.355868532,PSMB3,0.174007764958,1.58668414676e-09
2,3.39667666155,45.7990145752,1.17156973227e-10,-421.493160754,DDHD2,0.172306938942,1.92751115475e-09
2,3.05878807332,45.8383013239,1.15228740817e-10,-423.316571836,PRKCSH,0.172429259048,1.92751115475e-09
2,3.58169597104,45.8262325617,1.15817652333e-10,-423.147248347,CWC15,0.172391686554,1.92751115475e-09
2,2.53954204141,45.7237210927,1.20944014752e-10,-408.03510186,DHX36,0.172072410038,1.95191655669e-09
2,2.25964610975,45.7135469438,1.21465140286e-10,-418.512489146,GATAD2B,0.172040708762,1.95191655669e-09
2,4.82901659625,45.4155222992,1.37779277902e-10,-416.12977089,YWHAE,0.171111025858,2.1637609325e-09
2,2.97885858108,45.42798507,1.37054639865e-10,-418.436403994,FTSJ3,0.17114994509,2.1637609325e-09
2,3.09253972337,45.3671318723,1.40629773494e-10,-419.20603253,CLTC,0.170959875672,2.18371176369e-09
2,3.83294941442,45.1808297522,1.52171555522e-10,-416.046171502,QRSL1,0.170377435633,2.33667877479e-09
2,2.30105977496,45.024907889,1.62563930929e-10,-412.306460981,UQCRFS1,0.169889344544,2.46882804993e-09
2,2.6128826828,44.8720726266,1.73446387151e-10,-416.442492433,RAB6A,0.16941035792,2.6054663809e-09
2,4.37482356514,44.8029974378,1.78603434954e-10,-415.433602072,WDR3,0.169193694449,2.62585050113e-09
2,2.64921727201,44.8276747443,1.76743519913e-10,-413.816429153,ASNA1,0.169271111063,2.62585050113e-09
2,2.82853383343,44.6696465588,1.89001512557e-10,-422.558963796,NUP205,0.168775101866,2.7494746353e-09
2,2.80348169438,44.5486655634,1.98963345139e-10,-420.884999723,MRPS12,0.168394973638,2.86424315606e-09
2,2.00707584467,44.5217124587,2.01254007309e-10,-420.282970127,PSMD2,0.168310238297,2.86735090826e-09
2,3.19552544914,44.4552310377,2.07018600093e-10,-420.377474962,SF3A3,0.168101159744,2.91938474825e-09
2,3.18837725461,44.4292005948,2.09320872681e-10,-419.945332602,POLR3A,0.16801926752,2.92203480854e-09
2,3.5584656335,44.3840307785,2.13377480906e-10,-414.079478776,UTP18,0.167877124226,2.94887678612e-09
2,2.63153938655,44.0766826916,2.43171008218e-10,-425.463209549,SLC35E1,0.16690865033,3.32734983521e-09
2,2.33018508739,43.8160257586,2.71712650327e-10,-418.119756866,TRMT1,0.16608553492,3.68144002698e-09
2,2.80756137604,43.7866253812,2.75137404593e-10,-429.312179828,C19orf43,0.16599259086,3.69164944803e-09
2,4.07682761821,43.675788691,2.88445134023e-10,-419.196205844,RTN4IP1,0.165642014035,3.83299206942e-09
2,3.35669278271,43.5473188643,3.04685969062e-10,-424.460394187,SRP68,0.165235294565,4.01024770709e-09
2,3.1060448182,43.5228921499,3.07876907954e-10,-424.7799849,RBM28,0.165157917761,4.01401779993e-09
2,1.91105112731,43.1484450546,3.61240646971e-10,-415.502635283,AP2M1,0.163969979172,4.6657436833e-09
2,4.03963248168,42.7680517535,4.25042645952e-10,-419.49276428,PRMT5,0.16275970944,5.43897163616e-09
2,3.21576609589,42.6682621911,4.43589952544e-10,-426.333228284,DDX5,0.162441635831,5.62423224235e-09
2,3.811670472,42.5596503563,4.64707679594e-10,-421.444339386,APEX1,0.16209516694,5.83841830181e-09
2,3.12365101683,42.1272620666,5.5934948852e-10,-429.652517739,WHSC1,0.160713012963,6.9641530913e-09
2,2.08609678789,42.0121001312,5.87692009053e-10,-410.144209648,MRPL9,0.160344121933,7.25169961171e-09
