gene,set
ABLIM3,AHR
CCNJL,AHR
CDYL2,AHR
CITED2,AHR
CYP1A1,AHR
CYP1A2,AHR
CYP1B1,AHR
DSCAM,AHR
FOS,AHR
FOXP1,AHR
FRMD5,AHR
IL6,AHR
KIAA0182,AHR
ONECUT1,AHR
POU2F3,AHR
RBPJ,AHR
RFC3,AHR
RUNX1,AHR
SOS1,AHR
STC2,AHR
UGT1A6,AHR
WNT9A,AHR
ABCA1,AR
ABCA10,AR
ABCC1,AR
ABCC4,AR
ABCE1,AR
ABHD2,AR
ABLIM3,AR
ABTB2,AR
ACBD6,AR
ACCN1,AR
ACCN4,AR
ACO1,AR
ACOT7,AR
ACOX3,AR
ACPP,AR
ACSL3,AR
ACSL4,AR
ACTA1,AR
ACTR2,AR
ADAM7,AR
ADAMTS12,AR
ADAMTS15,AR
ADAMTS18,AR
ADAMTSL3,AR
ADARB2,AR
ADCY8,AR
ADD1,AR
ADK,AR
ADNP,AR
ADRA2A,AR
ADRB2,AR
AFAP1L2,AR
AFF3,AR
AFG3L2,AR
AGBL1,AR
AGTPBP1,AR
AHI1,AR
AIFM1,AR
AIM1,AR
AK5,AR
AKAP12,AR
AKAP2,AR
AKAP7,AR
AKIRIN1,AR
AKNA,AR
ALDH1A1,AR
ALDH1A3,AR
ALKBH3,AR
ALPL,AR
ALS2,AR
AMN1,AR
AMOTL1,AR
AMPH,AR
ANAPC10,AR
ANAPC13,AR
ANGPT1,AR
ANK2,AR
ANK3,AR
ANKFN1,AR
ANKFY1,AR
ANKRD1,AR
ANKRD55,AR
ANP32A,AR
AOAH,AR
AP3S2,AR
APBA1,AR
APBB2,AR
APLP2,AR
APP,AR
APPBP2,AR
AR,AR
AREG,AR
ARFGEF2,AR
ARGLU1,AR
ARHGAP24,AR
ARHGAP5,AR
ARHGEF3,AR
ARID1A,AR
ARIH1,AR
ARL4C,AR
ARL6IP1,AR
ARRDC4,AR
ASPH,AR
ATF3,AR
ATF6,AR
ATG5,AR
ATL3,AR
ATP10A,AR
ATP1A2,AR
ATP8B4,AR
ATXN10,AR
ATXN7,AR
AUTS2,AR
B3GAT1,AR
BAALC,AR
BACH2,AR
BASP1,AR
BAZ2B,AR
BCAS3,AR
BCL10,AR
BCL2L1,AR
BDH1,AR
BICD1,AR
BLK,AR
BMP2K,AR
BMPR1B,AR
BNC2,AR
BNIP3L,AR
BOC,AR
BRD4,AR
BRE,AR
BTBD1,AR
BTBD3,AR
BTC,AR
C10ORF11,AR
C13ORF33,AR
C14ORF166,AR
C15ORF41,AR
C18ORF54,AR
C19ORF48,AR
C1ORF116,AR
C1ORF198,AR
C1ORF21,AR
C1ORF87,AR
C1R,AR
C20ORF26,AR
C20ORF94,AR
C2CD2,AR
C3ORF20,AR
C3ORF26,AR
C3ORF51,AR
C3ORF58,AR
C4ORF45,AR
C7ORF10,AR
C9ORF3,AR
C9ORF96,AR
CA10,AR
CA12,AR
CABLES1,AR
CACNA1C,AR
CACNA2D3,AR
CACNG6,AR
CALD1,AR
CALM1,AR
CALM2,AR
CAMK2B,AR
CAMK2D,AR
CAMTA1,AR
CAP2,AR
CAPG,AR
CAPN9,AR
CAPZB,AR
CARD11,AR
CAV1,AR
CBFA2T2,AR
CBLB,AR
CCBL1,AR
CCDC147,AR
CCDC148,AR
CCDC88C,AR
CCK,AR
CCL20,AR
CCNA2,AR
CCND1,AR
CCNH,AR
CCR2,AR
CD2AP,AR
CD96,AR
CDC42,AR
CDC42EP3,AR
CDC6,AR
CDC7,AR
CDCA2,AR
CDH1,AR
CDH11,AR
CDH13,AR
CDH2,AR
CDH4,AR
CDK19,AR
CDK6,AR
CDKAL1,AR
CDKL1,AR
CDKN1A,AR
CDYL,AR
CDYL2,AR
CENPE,AR
CEP350,AR
CFLAR,AR
CHD6,AR
CHD9,AR
CHMP1B,AR
CHN2,AR
CHRNA7,AR
CHST11,AR
CHST7,AR
CHSY1,AR
CIT,AR
CITED2,AR
CNIH3,AR
CNNM1,AR
CNTNAP2,AR
COBL,AR
COBLL1,AR
COL12A1,AR
COL22A1,AR
COL4A1,AR
COL4A2,AR
COL5A1,AR
COL6A3,AR
COMMD8,AR
COPS8,AR
CORIN,AR
COX5B,AR
CP,AR
CPEB3,AR
CRADD,AR
CREB3L1,AR
CRIM1,AR
CRISP1,AR
CRISPLD2,AR
CSGALNACT1,AR
CSRP2,AR
CTBP1,AR
CTNNA2,AR
CTNNB1,AR
CTNND1,AR
CTTNBP2NL,AR
CTXN3,AR
CWC22,AR
CXCL1,AR
CXCL2,AR
CXORF21,AR
CYB5A,AR
CYP7B1,AR
CYTH3,AR
DAAM1,AR
DAAM2,AR
DAPK1,AR
DARS,AR
DARS2,AR
DCUN1D4,AR
DDC,AR
DDHD1,AR
DDX51,AR
DENND1A,AR
DENND5B,AR
DGKB,AR
DGKG,AR
DGKI,AR
DGUOK,AR
DHRS3,AR
DHX36,AR
DIAPH3,AR
DIO2,AR
DIP2B,AR
DIS3L2,AR
DISC1,AR
DNAH5,AR
DNAJB4,AR
DNAJC6,AR
DNER,AR
DNM3,AR
DNTTIP1,AR
DOCK1,AR
DOCK2,AR
DOCK5,AR
DPH5,AR
DPYD,AR
DRD4,AR
DTL,AR
DTNB,AR
DUSP1,AR
DYM,AR
DYNC1I1,AR
DYSF,AR
EBF1,AR
ECE2,AR
EDC3,AR
