internal_id	string_external_id	abundance
1849955	9606.ENSP00000317379	54.1
1853483	9606.ENSP00000349708	0.14
1853484	9606.ENSP00000349709	0.335
1853653	9606.ENSP00000350961	2.68
1848000	9606.ENSP00000298861	0.507
1853412	9606.ENSP00000349250	7.77
1844723	9606.ENSP00000259791	1017
1850287	9606.ENSP00000320849	0.006
1852877	9606.ENSP00000344961	0.287
1853655	9606.ENSP00000350969	0.129
1849954	9606.ENSP00000317376	21.6
1853482	9606.ENSP00000349705	2.22
1849659	9606.ENSP00000313869	10.5
1848523	9606.ENSP00000303373	1017
1845905	9606.ENSP00000266771	0.474
1859272	9606.ENSP00000387426	1.69
1849797	9606.ENSP00000315602	0.376
1842286	9606.ENSP00000162749	0.449
1842643	9606.ENSP00000217169	0.308
1846052	9606.ENSP00000268919	0.909
1851120	9606.ENSP00000329199	0.779
1858827	9606.ENSP00000383333	3.07
1855225	9606.ENSP00000359364	16.5
1855226	9606.ENSP00000359368	1.5
1850404	9606.ENSP00000321971	18.2
1850405	9606.ENSP00000321976	0.345
1864207	9606.ENSP00000469663	0.003
1862018	9606.ENSP00000436004	0.001
1862019	9606.ENSP00000436005	37.3
1847700	9606.ENSP00000296255	184
1864248	9606.ENSP00000469840	0
1862652	9606.ENSP00000449932	0.01
1864209	9606.ENSP00000469669	7.62
1852878	9606.ENSP00000344967	1.71
1861642	9606.ENSP00000424860	0
1857875	9606.ENSP00000375053	0.014
1844517	9606.ENSP00000257570	1.59
1850240	9606.ENSP00000320378	1.37
1842424	9606.ENSP00000205061	25.4
1842397	9606.ENSP00000201031	3.29
1851590	9606.ENSP00000333496	0.056
1850239	9606.ENSP00000320376	0.003
1851589	9606.ENSP00000333490	0.07
1847072	9606.ENSP00000287538	0.816
1845875	9606.ENSP00000266517	2.15
1842362	9606.ENSP00000194130	0.833
1847596	9606.ENSP00000295633	11.4
1844914	9606.ENSP00000261448	6.94
1854575	9606.ENSP00000356331	0.28
1855795	9606.ENSP00000362063	37.9
