source	target	is_directed	is_stimulation	is_inhibition	dip_url
O00626	P51679	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10383
Q99731	O00626	1	0	0	
O00626	P19320	1	0	0	
P19320	O00626	1	0	0	
O00626	P32248	1	1	0	
O00626	P27487	1	0	0	
P27487	O00626	1	0	0	
P31749	Q6ZVD8	1	0	0	
Q6ZVD8	P31749	1	0	1	
Q6ZVD8	Q9Y243	1	0	1	
Q9Y243	Q6ZVD8	1	0	0	
Q6ZVD8	P17252	1	0	1	
Q6ZVD8	P05771	1	0	1	
Q6ZVD8	Q13043	1	0	0	
P31751	Q6ZVD8	1	0	0	
Q6ZVD8	P31751	1	0	0	
P31749	P56178	1	1	0	
P30291	P31749	1	0	0	
P31749	P30291	1	0	0	
P31749	P02545	1	0	0	
P31749	Q3V6T2	1	0	0	
Q3V6T2	P31749	1	0	0	
P31749	P10275	1	1	1	
P10276	P31749	1	1	0	
P31749	P10276	1	1	1	
P31749	P35240	1	0	0	
P31749	P56278	1	0	0	
P56278	P31749	1	1	0	
P31749	Q96RU7	1	0	0	
Q96RU7	P31749	1	0	1	
P31749	Q07352	1	0	1	
P00533	P31749	1	0	0	
P31749	P00533	1	0	0	
P31749	Q00987	1	1	0	
Q00987	P31749	1	0	0	
P31749	Q13009	1	0	0	
Q13009	P31749	1	1	0	
Q07912	P31749	1	0	0	
P31749	O75376	1	0	1	
P31749	Q16513	1	0	0	
P31749	P29401	1	0	0	
P31749	Q12778	1	1	1	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=87785
O15530	P31749	1	1	0	
P31749	O15530	1	0	0	
P31749	O14757	1	1	1	
P10586	P31749	1	0	1	
P31749	P51617	1	0	0	
P51617	P31749	1	0	0	
Q96IZ0	P31749	1	0	0	
P31749	Q05655	1	1	0	
Q05655	P31749	1	0	0	
P31749	P38398	1	1	0	
P31749	P08047	1	0	0	
P31749	Q53GL0	1	0	0	
Q53GL0	P31749	1	0	0	
P31749	P68400	1	0	0	
P68400	P31749	1	1	0	
P31749	Q9UHD2	1	0	0	
Q9UHD2	P31749	1	1	0	
P31749	Q12809	1	0	0	
P31749	Q13107	1	0	0	
P31749	Q14653	1	0	0	
P31749	Q16875	1	1	0	
P31749	Q99683	1	0	1	
Q99683	P31749	1	0	0	
P31749	P23769	1	0	1	
P31749	O14920	1	1	0	
P03372	P31749	1	1	0	
P31749	P03372	1	1	0	
P31749	P12755	1	0	1	
P31749	P84022	1	1	1	
P31749	O95999	1	0	0	
P31749	P78371	1	0	0	
P31749	Q8IYJ3	1	0	0	
P31749	Q8TAQ2	1	0	0	
P31749	P42574	1	1	0	
P42574	P31749	1	0	1	
P31749	Q92574	1	1	1	
P31749	P61978	1	1	0	
P31749	Q7Z6J0	1	0	1	
Q7Z6J0	P31749	1	0	0	
P31749	Q05397	1	0	0	
P31749	Q14247	1	1	0	
P31749	P63000	1	1	0	
P63000	P31749	1	1	0	
P31749	P67809	1	1	0	
P31749	O15519	1	0	0	
P31749	Q9BPZ7	1	0	0	
Q9BPZ7	P31749	1	1	0	
P31749	O60825	1	1	0	
P31749	P23396	1	0	0	
P31749	O15360	1	0	0	
P31749	O15169	1	0	0	
Q9Y4K3	P31749	1	1	0	
P31749	Q9Y6K9	1	1	1	
Q9Y6K9	P31749	1	0	0	
P01308	P31749	1	1	0	
P31749	P01308	1	0	1	
P31749	P63104	1	1	0	
P31749	Q16236	1	0	0	
P31749	Q13418	1	1	0	
Q13418	P31749	1	1	0	
P31749	P23588	1	1	0	
P31749	P45985	1	0	1	
P45985	P31749	1	0	0	
P31749	P49841	1	1	1	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=65104
P49841	P31749	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=65104
P31749	P49840	1	0	1	
P49840	P31749	1	0	0	
P31749	Q15027	1	0	0	
Q15027	P31749	1	0	0	
P31749	Q14315	1	0	0	
P31749	P08670	1	1	0	
P31749	Q9Y383	1	1	0	
P31749	P42224	1	0	0	
P31749	Q92793	1	1	0	
P04792	P31749	1	1	0	
P31749	P04792	1	0	1	
P31749	P04150	1	1	1	
P31749	P46527	1	1	1	
P46527	P31749	1	0	0	
P07949	P31749	1	1	0	
P31749	Q05513	1	0	0	
Q05513	P31749	1	0	1	
Q13315	P31749	1	1	0	
P17252	P31749	1	0	0	
P31749	P17252	1	0	0	
P31749	P38936	1	1	1	
P31749	Q9Y3M2	1	0	0	
P31749	P07550	1	0	1	
P31749	O14492	1	0	0	
P31749	Q92945	1	0	1	
P31749	Q9Y3C5	1	0	0	
P31749	P42345	1	1	0	
P42345	P31749	1	1	0	
P31749	Q14457	1	0	0	
P05771	P31749	1	0	0	
P31749	P26358	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=192310
P31749	Q13322	1	0	0	
Q13322	P31749	1	1	0	
P36873	P31749	1	0	0	
P31749	Q96B36	1	0	1	
P31749	Q9UBP6	1	0	1	
Q9UBP6	P31749	1	0	0	
P31749	P15056	1	0	0	
P31749	Q13950	1	0	0	
P31749	Q9UQB3	1	0	0	
P31749	Q13882	1	0	0	
Q13882	P31749	1	1	0	
P31749	P56279	1	0	0	
P56279	P31749	1	1	0	
P31749	Q9UKG1	1	1	0	
Q9UKG1	P31749	1	0	0	
P31749	Q96S44	1	1	0	
P31749	P09651	1	0	1	
P27986	P31749	1	1	0	
P31749	P27986	1	0	0	
P31749	Q92934	1	1	1	
P31749	Q13153	1	1	0	
P31749	Q05195	1	0	1	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=59516
P31749	P60484	1	0	0	
P60484	P31749	1	0	1	
P31749	P35568	1	1	0	
P35568	P31749	1	1	0	
P31749	Q15910	1	0	1	
P31749	P19174	1	0	0	
P31749	Q04759	1	0	0	
P04049	P31749	1	0	0	
P31749	P04049	1	1	1	
P31749	Q13541	1	1	0	
Q13526	P31749	1	1	0	
P31749	P48736	1	0	0	
P48736	P31749	1	1	0	
P31749	Q9UQC2	1	0	1	
Q9UQC2	P31749	1	1	0	
P31749	Q06187	1	0	0	
P31749	P62136	1	0	1	
P62136	P31749	1	0	1	
P31749	P49815	1	0	1	
P49815	P31749	1	0	0	
P31749	Q9Y534	1	0	0	
P31749	P19634	1	1	0	
P31749	Q09472	1	1	0	
P31749	Q9UER7	1	1	0	
Q9UER7	P31749	1	0	0	
P31749	P35226	1	0	0	
P31749	P35222	1	1	0	
P31749	Q92922	1	1	0	
P31749	P54253	1	0	0	
P31749	Q7L5N1	1	1	0	
P31749	P98170	1	1	0	
P31749	P98177	1	1	1	
P98177	P31749	1	0	0	
P31749	P05556	1	1	0	
P31749	P14672	1	1	0	
