Entry	Entry name
O14896	IRF6_HUMAN
Q9P2K3	RCOR3_HUMAN
Q92786	PROX1_HUMAN
O14497	ARI1A_HUMAN
Q9H0D2	ZN541_HUMAN
P18850	ATF6A_HUMAN
P16220	CREB1_HUMAN
O75840	KLF7_HUMAN
Q9UM63	PLAL1_HUMAN
P10242	MYB_HUMAN
O43680	TCF21_HUMAN
Q9H8G1	ZN430_HUMAN
O43524	FOXO3_HUMAN
Q9GZN2	TGIF2_HUMAN
Q9Y4X4	KLF12_HUMAN
Q9UPW6	SATB2_HUMAN
Q13886	KLF9_HUMAN
Q92570	NR4A3_HUMAN
O95948	ONEC2_HUMAN
Q96K62	ZBT45_HUMAN
Q3B8N5	PROX2_HUMAN
P58304	VSX2_HUMAN
O95718	ERR2_HUMAN
Q86VK4	ZN410_HUMAN
Q9H165	BC11A_HUMAN
Q8TAU0	NKX23_HUMAN
P50539	MXI1_HUMAN
P17481	HXB8_HUMAN
P09067	HXB5_HUMAN
P14651	HXB3_HUMAN
P14653	HXB1_HUMAN
P35548	MSX2_HUMAN
Q9NX45	SOLH2_HUMAN
P32519	ELF1_HUMAN
O15198	SMAD9_HUMAN
P18146	EGR1_HUMAN
Q9Y2G7	ZFP30_HUMAN
P13056	NR2C1_HUMAN
P25208	NFYB_HUMAN
Q13207	TBX2_HUMAN
P57082	TBX4_HUMAN
Q63HK5	TSH3_HUMAN
Q6P9A3	ZN549_HUMAN
Q8TBC5	ZSC18_HUMAN
Q13398	ZN211_HUMAN
Q969G2	LHX4_HUMAN
Q9UID6	ZN639_HUMAN
P17040	ZSC20_HUMAN
Q92664	TF3A_HUMAN
Q9Y458	TBX22_HUMAN
P15173	MYOG_HUMAN
O95201	ZN205_HUMAN
Q9H582	ZN644_HUMAN
Q8NF64	ZMIZ2_HUMAN
P31268	HXA7_HUMAN
Q15672	TWST1_HUMAN
Q9Y4Z2	NGN3_HUMAN
P11161	EGR2_HUMAN
Q9C0J9	BHE41_HUMAN
P18846	ATF1_HUMAN
Q9HD90	NDF4_HUMAN
P22736	NR4A1_HUMAN
P31276	HXC13_HUMAN
O43248	HXC11_HUMAN
Q16621	NFE2_HUMAN
P31275	HXC12_HUMAN
Q9H2S9	IKZF4_HUMAN
Q8N693	ESX1_HUMAN
Q9UIF8	BAZ2B_HUMAN
Q9NR55	BATF3_HUMAN
Q14582	MAD4_HUMAN
Q8NI51	CTCFL_HUMAN
Q96NM4	TOX2_HUMAN
Q5JPB2	ZN831_HUMAN
O95863	SNAI1_HUMAN
Q9UBG7	RBPJL_HUMAN
Q9H609	ZN576_HUMAN
Q02386	ZNF45_HUMAN
Q96PN7	TREF1_HUMAN
Q9UJN7	ZN391_HUMAN
O95238	SPDEF_HUMAN
Q06945	SOX4_HUMAN
Q92766	RREB1_HUMAN
Q13950	RUNX2_HUMAN
O75603	GCM2_HUMAN
Q9Y2G1	MRF_HUMAN
Q9Y651	SOX21_HUMAN
P10914	IRF1_HUMAN
P48436	SOX9_HUMAN
Q15361	TTF1_HUMAN
Q9BZE3	BARH1_HUMAN
Q8NDY6	BHE23_HUMAN
Q06710	PAX8_HUMAN
P53539	FOSB_HUMAN
Q9Y261	FOXA2_HUMAN
Q9H116	GZF1_HUMAN
P15863	PAX1_HUMAN
Q9H2Z4	NKX24_HUMAN
O95096	NKX22_HUMAN
P52736	ZN133_HUMAN
Q9BRP0	OVOL2_HUMAN
Q12870	TCF15_HUMAN
Q9C0F3	ZN436_HUMAN
P61244	MAX_HUMAN
P41134	ID1_HUMAN
Q9UPG8	PLAL2_HUMAN
P41229	KDM5C_HUMAN
P10827	THA_HUMAN
P20393	NR1D1_HUMAN
Q14653	IRF3_HUMAN
P42229	STA5A_HUMAN
Q9BZE0	GLIS2_HUMAN
Q8TF68	ZN384_HUMAN
P19419	ELK1_HUMAN
Q15475	SIX1_HUMAN
Q9Y2K1	ZBTB1_HUMAN
Q5JVG2	ZN484_HUMAN
Q5T1R4	ZEP3_HUMAN
Q9C0K0	BC11B_HUMAN
Q9Y5W3	KLF2_HUMAN
Q9Y2P0	ZN835_HUMAN
Q9Y6R6	Z780B_HUMAN
P18848	ATF4_HUMAN
O15409	FOXP2_HUMAN
Q13568	IRF5_HUMAN
A0PJY2	FEZF1_HUMAN
Q9GZZ0	HXD1_HUMAN
P31249	HXD3_HUMAN
P28356	HXD9_HUMAN
P28358	HXD10_HUMAN
P31277	HXD11_HUMAN
P35453	HXD13_HUMAN
Q9P2Z0	THA10_HUMAN
O95243	MBD4_HUMAN
P15172	MYOD1_HUMAN
A0AVK6	E2F8_HUMAN
O60248	SOX15_HUMAN
P55317	FOXA1_HUMAN
P54845	NRL_HUMAN
Q92949	FOXJ1_HUMAN
Q9BXK1	KLF16_HUMAN
Q96SZ4	ZSC10_HUMAN
Q9NRJ4	TULP4_HUMAN
P17535	JUND_HUMAN
Q8N988	ZN557_HUMAN
Q86UZ6	ZBT46_HUMAN
P50219	MNX1_HUMAN
Q9Y3M9	ZN337_HUMAN
Q9BWX5	GATA5_HUMAN
Q9H4Q4	PRD12_HUMAN
Q99742	NPAS1_HUMAN
Q96PQ6	ZN317_HUMAN
Q9BUY5	ZN426_HUMAN
Q9NQX6	ZN331_HUMAN
Q9UL36	ZN236_HUMAN
Q9BYN7	ZN341_HUMAN
Q86WZ6	ZN227_HUMAN
Q15928	ZN141_HUMAN
O95644	NFAC1_HUMAN
O14627	CDX4_HUMAN
P55055	NR1H2_HUMAN
Q9HBU1	BARX1_HUMAN
Q9BQY4	RHXF2_HUMAN
P10276	RARA_HUMAN
Q9Y6X2	PIAS3_HUMAN
Q9HCX3	ZN304_HUMAN
Q9BUG6	ZSA5A_HUMAN
P52740	ZN132_HUMAN
Q15466	NR0B2_HUMAN
Q9H9Z2	LN28A_HUMAN
Q9NVV9	THAP1_HUMAN
P22670	RFX1_HUMAN
P17024	ZNF20_HUMAN
P37231	PPARG_HUMAN
Q15554	TERF2_HUMAN
Q96IU2	ZBED3_HUMAN
Q15329	E2F5_HUMAN
O00327	BMAL1_HUMAN
P56915	GSC_HUMAN
Q9UBB5	MBD2_HUMAN
O14503	BHE40_HUMAN
O14770	MEIS2_HUMAN
Q9NZI5	GRHL1_HUMAN
P04198	MYCN_HUMAN
Q9Y2V3	RX_HUMAN
P35711	SOX5_HUMAN
P41225	SOX3_HUMAN
Q8WVD3	RN138_HUMAN
O15516	CLOCK_HUMAN
P14921	ETS1_HUMAN
P20823	HNF1A_HUMAN
O15119	TBX3_HUMAN
Q9Y222	DMTF1_HUMAN
Q9NZC4	EHF_HUMAN
Q9UKW6	ELF5_HUMAN
Q12800	TFCP2_HUMAN
Q9UBP5	HEY2_HUMAN
Q05215	EGR4_HUMAN
Q04741	EMX1_HUMAN
Q9HB58	SP110_HUMAN
P23760	PAX3_HUMAN
Q96T68	SETB2_HUMAN
O15522	NKX28_HUMAN
P43699	NKX21_HUMAN
Q9C0A1	ZFHX2_HUMAN
Q14119	VEZF1_HUMAN
O95251	KAT7_HUMAN
Q16650	TBR1_HUMAN
P43694	GATA4_HUMAN
Q14774	HLX_HUMAN
Q96KC8	DNJC1_HUMAN
O43474	KLF4_HUMAN
Q9Y6Q3	ZFP37_HUMAN
O75820	ZN189_HUMAN
Q13285	STF1_HUMAN
O60663	LMX1B_HUMAN
P01106	MYC_HUMAN
Q9Y5R6	DMRT1_HUMAN
Q8IVH2	FOXP4_HUMAN
O15535	ZSC9_HUMAN
P05549	AP2A_HUMAN
Q15306	IRF4_HUMAN
Q9NP62	GCM1_HUMAN
Q12947	FOXF2_HUMAN
P17096	HMGA1_HUMAN
O43422	P52K_HUMAN
Q9NS37	ZHANG_HUMAN
Q9UKI9	PO2F3_HUMAN
O43541	SMAD6_HUMAN
Q6N043	Z280D_HUMAN
Q9HCU5	PREB_HUMAN
O95343	SIX3_HUMAN
P52954	LBX1_HUMAN
Q14765	STAT4_HUMAN
Q9NQX1	PRDM5_HUMAN
Q9UJU2	LEF1_HUMAN
P41212	ETV6_HUMAN
P50553	ASCL1_HUMAN
Q96NZ1	FOXN4_HUMAN
P52945	PDX1_HUMAN
Q8TAQ2	SMRC2_HUMAN
Q8N5B7	CERS5_HUMAN
Q8NDX6	ZN740_HUMAN
Q96T25	ZIC5_HUMAN
Q92731	ESR2_HUMAN
Q8WYK2	JDP2_HUMAN
Q99081	HTF4_HUMAN
Q8IWY8	ZSC29_HUMAN
Q9NP66	HM20A_HUMAN
Q8N1W2	ZN710_HUMAN
Q15911	ZFHX3_HUMAN
Q02556	IRF8_HUMAN
Q9NX65	ZSC32_HUMAN
O75376	NCOR1_HUMAN
Q9HBT7	ZN287_HUMAN
Q92908	GATA6_HUMAN
P04637	P53_HUMAN
Q01167	FOXK2_HUMAN
Q9UIS9	MBD1_HUMAN
Q13485	SMAD4_HUMAN
P08651	NFIC_HUMAN
Q96PE6	ZIM3_HUMAN
P57071	PRD15_HUMAN
Q8IXT2	DMRTD_HUMAN
Q9HCL3	ZFP14_HUMAN
Q6DD87	ZN787_HUMAN
Q8WTR7	ZN473_HUMAN
Q8N883	ZN614_HUMAN
Q9P2R6	RERE_HUMAN
Q9HAZ2	PRD16_HUMAN
Q96SC8	DMTA2_HUMAN
Q96MA1	DMRTB_HUMAN
Q9NY43	BARH2_HUMAN
Q5TEC3	ZN697_HUMAN
P48443	RXRG_HUMAN
O60806	TBX19_HUMAN
P14859	PO2F1_HUMAN
Q14994	NR1I3_HUMAN
Q9NQ69	LHX9_HUMAN
P51449	RORG_HUMAN
Q8N1G0	ZN687_HUMAN
Q15047	SETB1_HUMAN
P48382	RFX5_HUMAN
Q96G23	CERS2_HUMAN
P27540	ARNT_HUMAN
Q8TEY5	CR3L4_HUMAN
Q8WXI9	P66B_HUMAN
Q9UN79	SOX13_HUMAN
Q8TAX0	OSR1_HUMAN
O00470	MEIS1_HUMAN
Q96K75	ZN514_HUMAN
P51826	AFF3_HUMAN
P56177	DLX1_HUMAN
Q96HZ4	HES6_HUMAN
Q6AZW8	ZN660_HUMAN
O75469	NR1I2_HUMAN
Q96CJ1	EAF2_HUMAN
Q96RE9	ZN300_HUMAN
Q9NYW8	RBAK_HUMAN
Q02930	CREB5_HUMAN
Q96RJ6	FER3L_HUMAN
Q03936	ZNF92_HUMAN
P51786	ZN157_HUMAN
P17025	ZN182_HUMAN
P51814	ZNF41_HUMAN
Q9Y462	ZN711_HUMAN
Q6NT76	HMBX1_HUMAN
O60284	ST18_HUMAN
Q9GZV8	PRD14_HUMAN
P54274	TERF1_HUMAN
P17097	ZNF7_HUMAN
O00712	NFIB_HUMAN
Q15406	NR6A1_HUMAN
P37275	ZEB1_HUMAN
Q5SQQ9	VAX1_HUMAN
Q9NQB0	TF7L2_HUMAN
Q9C056	NKX62_HUMAN
Q9UL59	ZN214_HUMAN
Q9UL58	ZN215_HUMAN
Q08945	SSRP1_HUMAN
O94776	MTA2_HUMAN
O95947	TBX6_HUMAN
P52926	HMGA2_HUMAN
Q14865	ARI5B_HUMAN
Q12778	FOXO1_HUMAN
P10828	THB_HUMAN
Q8IXF0	NPAS3_HUMAN
A6NI15	MSGN1_HUMAN
Q17R98	ZN827_HUMAN
Q12837	PO4F2_HUMAN
P08235	MCR_HUMAN
O95231	VENTX_HUMAN
Q01543	FLI1_HUMAN
Q01851	PO4F1_HUMAN
Q9HCS4	TF7L1_HUMAN
Q8IVP9	ZN547_HUMAN
Q6PK81	ZN773_HUMAN
Q68DI1	ZN776_HUMAN
Q9Y2P7	ZN256_HUMAN
Q8NBB4	ZSCA1_HUMAN
Q96EG3	ZN837_HUMAN
Q9NQV8	PRDM8_HUMAN
Q03014	HHEX_HUMAN
Q03924	ZN117_HUMAN
Q15915	ZIC1_HUMAN
Q9Y2V2	CHSP1_HUMAN
P43354	NR4A2_HUMAN
Q8TBJ5	FEZF2_HUMAN
Q9NZI7	UBIP1_HUMAN
Q8IUE1	TF2LX_HUMAN
P53567	CEBPG_HUMAN
Q96NL3	ZN599_HUMAN
Q8IU89	CERS3_HUMAN
Q8NA19	LMBL4_HUMAN
Q06546	GABPA_HUMAN
P17022	ZNF18_HUMAN
Q13118	KLF10_HUMAN
Q7Z3K6	MIER3_HUMAN
Q63HK3	ZKSC2_HUMAN
P51816	AFF2_HUMAN
Q16520	BATF_HUMAN
O95076	ALX3_HUMAN
O14867	BACH1_HUMAN
Q96CS4	ZN689_HUMAN
O60481	ZIC3_HUMAN
Q8WUU5	GATD1_HUMAN
P17023	ZNF19_HUMAN
Q99576	T22D3_HUMAN
P11308	ERG_HUMAN
P15036	ETS2_HUMAN
Q96BA8	CR3L1_HUMAN
Q8TE85	GRHL3_HUMAN
O43309	ZSC12_HUMAN
P28324	ELK4_HUMAN
P22415	USF1_HUMAN
Q8N554	ZN276_HUMAN
Q92826	HXB13_HUMAN
Q01196	RUNX1_HUMAN
P78412	IRX6_HUMAN
Q96A47	ISL2_HUMAN
Q9UIE0	ZN230_HUMAN
Q9UK12	ZN222_HUMAN
A6NK53	ZN233_HUMAN
Q14590	ZN235_HUMAN
Q96BR9	ZBT8A_HUMAN
Q5T0B9	ZN362_HUMAN
P10588	NR2F6_HUMAN
P55347	PKNX1_HUMAN
O43918	AIRE_HUMAN
Q6ZN08	ZNF66_HUMAN
O43345	ZN208_HUMAN
Q96N38	ZN714_HUMAN
O15156	ZBT7B_HUMAN
Q53GI3	ZN394_HUMAN
Q96JL9	ZN333_HUMAN
O75593	FOXH1_HUMAN
Q8NA92	THAP8_HUMAN
Q96SR6	ZN382_HUMAN
Q9UKT9	IKZF3_HUMAN
Q9BSK1	ZN577_HUMAN
Q96CK0	ZN653_HUMAN
Q8N143	BCL6B_HUMAN
Q96N20	ZN75A_HUMAN
P17542	TAL1_HUMAN
Q9Y692	GMEB1_HUMAN
Q12857	NFIA_HUMAN
Q5VVJ2	MYSM1_HUMAN
Q68G74	LHX8_HUMAN
Q99684	GFI1_HUMAN
Q9Y2X9	ZN281_HUMAN
Q96IT1	ZN496_HUMAN
Q8TE12	LMX1A_HUMAN
P18847	ATF3_HUMAN
Q04864	REL_HUMAN
Q13562	NDF1_HUMAN
Q05925	HME1_HUMAN
P28360	MSX1_HUMAN
P78545	ELF3_HUMAN
Q99581	FEV_HUMAN
O95936	EOMES_HUMAN
P78426	NKX61_HUMAN
Q9UBX0	HESX1_HUMAN
Q7RTU1	TCF23_HUMAN
Q8N8E2	ZN513_HUMAN
Q9UQR1	ZN148_HUMAN
Q9UIH9	KLF15_HUMAN
Q9NQ87	HEYL_HUMAN
Q86U86	PB1_HUMAN
Q5VV52	ZN691_HUMAN
Q86UQ0	ZN589_HUMAN
Q99697	PITX2_HUMAN
P26583	HMGB2_HUMAN
P61296	HAND2_HUMAN
Q9NQV7	PRDM9_HUMAN
Q9BXG8	SPZ1_HUMAN
Q9UH73	COE1_HUMAN
Q9C009	FOXQ1_HUMAN
O43711	TLX3_HUMAN
O15178	BRAC_HUMAN
Q9UMR3	TBX20_HUMAN
Q96NK8	NDF6_HUMAN
P17014	ZNF12_HUMAN
Q8IXZ3	SP8_HUMAN
Q9Y5J3	HEY1_HUMAN
Q9H6I2	SOX17_HUMAN
Q14541	HNF4G_HUMAN
P19622	HME2_HUMAN
A6NJT0	UNC4_HUMAN
Q14549	GBX1_HUMAN
P85037	FOXK1_HUMAN
Q8N2R0	OSR2_HUMAN
Q16649	NFIL3_HUMAN
A6NJ46	NKX63_HUMAN
Q9UKY1	ZHX1_HUMAN
Q7RTV3	ZN367_HUMAN
Q7Z353	HDX_HUMAN
O14813	PHX2A_HUMAN
Q96KN3	PKNX2_HUMAN
P17026	ZNF22_HUMAN
Q99626	CDX2_HUMAN
P32243	OTX2_HUMAN
A6NNA5	DRGX_HUMAN
Q5JUK2	SOLH1_HUMAN
Q5SXM2	SNPC4_HUMAN
Q5VTD9	GFI1B_HUMAN
Q9P2Y4	ZN219_HUMAN
Q9Y467	SALL2_HUMAN
Q96AV8	E2F7_HUMAN
Q9P2F9	ZN319_HUMAN
Q8N5J4	SPIC_HUMAN
O95125	ZN202_HUMAN
P50607	TUB_HUMAN
P52747	ZN143_HUMAN
P17036	ZNF3_HUMAN
Q9Y5A6	ZSC21_HUMAN
Q8WXB4	ZN606_HUMAN
Q9BRJ9	MESP1_HUMAN
P42226	STAT6_HUMAN
Q9Y3Q8	T22D4_HUMAN
P84022	SMAD3_HUMAN
Q99801	NKX31_HUMAN
Q10587	TEF_HUMAN
P40426	PBX3_HUMAN
Q99811	PRRX2_HUMAN
Q02086	SP2_HUMAN
Q05481	ZNF91_HUMAN
P17027	ZNF23_HUMAN
Q9NYT6	ZN226_HUMAN
Q9UJW8	ZN180_HUMAN
Q96K58	ZN668_HUMAN
O15015	ZN646_HUMAN
Q96N77	ZN641_HUMAN
Q8N9Z0	ZN610_HUMAN
Q3MIS6	ZN528_HUMAN
Q9NV72	ZN701_HUMAN
Q8TF50	ZN526_HUMAN
Q15072	OZF_HUMAN
Q8N0Y2	ZN444_HUMAN
P51522	ZNF83_HUMAN
Q8IZ40	RCOR2_HUMAN
Q96NG5	ZN558_HUMAN
