Entry	Entry name
P23511	NFYA_HUMAN
Q96QS3	ARX_HUMAN
P31270	HXA11_HUMAN
P50221	MEOX1_HUMAN
P57073	SOX8_HUMAN
O14628	ZN195_HUMAN
P17010	ZFX_HUMAN
Q9Y2T7	YBOX2_HUMAN
O14978	ZN263_HUMAN
P56179	DLX6_HUMAN
P50549	ETV1_HUMAN
Q9UHL9	GT2D1_HUMAN
P26367	PAX6_HUMAN
Q99594	TEAD3_HUMAN
Q14209	E2F2_HUMAN
Q92833	JARD2_HUMAN
Q92481	AP2B_HUMAN
Q7Z6R9	AP2D_HUMAN
Q14938	NFIX_HUMAN
O75534	CSDE1_HUMAN
P23759	PAX7_HUMAN
Q9NP71	MLXPL_HUMAN
Q9Y603	ETV7_HUMAN
P98182	ZN200_HUMAN
P31629	ZEP2_HUMAN
O95785	WIZ_HUMAN
Q9Y2Y4	ZBT32_HUMAN
Q96RI1	NR1H4_HUMAN
Q9BY66	KDM5D_HUMAN
P61371	ISL1_HUMAN
Q96NG8	ZN582_HUMAN
O43623	SNAI2_HUMAN
Q9NPA5	ZF64A_HUMAN
Q9NTW7	ZF64B_HUMAN
Q13761	RUNX3_HUMAN
Q03933	HSF2_HUMAN
Q13133	NR1H3_HUMAN
P09086	PO2F2_HUMAN
Q8WYA1	BMAL2_HUMAN
O15347	HMGB3_HUMAN
Q9UKS7	IKZF2_HUMAN
P29374	ARI4A_HUMAN
O75925	PIAS1_HUMAN
Q8IYH5	ZZZ3_HUMAN
P31273	HXC8_HUMAN
O94993	SOX30_HUMAN
Q8WTV1	THAP3_HUMAN
Q9UMQ3	BARX2_HUMAN
O95409	ZIC2_HUMAN
Q2TB10	ZN800_HUMAN
Q8NFD5	ARI1B_HUMAN
Q9BZS1	FOXP3_HUMAN
Q9Y4A8	NF2L3_HUMAN
Q9H161	ALX4_HUMAN
O00409	FOXN3_HUMAN
Q4LE39	ARI4B_HUMAN
Q12948	FOXC1_HUMAN
O75626	PRDM1_HUMAN
Q9BTC8	MTA3_HUMAN
Q05195	MAD1_HUMAN
P16989	YBOX3_HUMAN
Q68CJ9	CR3L3_HUMAN
Q9NQX0	PRDM6_HUMAN
Q9UJU3	ZN112_HUMAN
A9YTQ3	AHRR_HUMAN
O15499	GSC2_HUMAN
Q9NSD4	ZN275_HUMAN
O60479	DLX3_HUMAN
Q9NQL9	DMRT3_HUMAN
P28069	PIT1_HUMAN
P54277	PMS1_HUMAN
Q9P0W2	HM20B_HUMAN
P36508	ZNF76_HUMAN
Q9P0K8	FOXJ2_HUMAN
P67809	YBOX1_HUMAN
Q13952	NFYC_HUMAN
P17947	SPI1_HUMAN
O95625	ZBT11_HUMAN
Q9P243	ZFAT_HUMAN
P23497	SP100_HUMAN
Q99612	KLF6_HUMAN
P08048	ZFY_HUMAN
Q13951	PEBB_HUMAN
Q02078	MEF2A_HUMAN
P19532	TFE3_HUMAN
P78337	PITX1_HUMAN
P35398	RORA_HUMAN
Q9Y543	HES2_HUMAN
Q99583	MNT_HUMAN
Q2QGD7	ZXDC_HUMAN
P15923	TFE2_HUMAN
O95983	MBD3_HUMAN
P36956	SRBP1_HUMAN
Q9UHB7	AFF4_HUMAN
Q12968	NFAC3_HUMAN
Q9H3D4	P63_HUMAN
Q969G3	SMCE1_HUMAN
P29375	KDM5A_HUMAN
Q9UL17	TBX21_HUMAN
P10070	GLI2_HUMAN
Q15562	TEAD2_HUMAN
Q9HCE3	ZN532_HUMAN
P17032	ZN37A_HUMAN
P15408	FOSL2_HUMAN
Q02962	PAX2_HUMAN
Q9UIF9	BAZ2A_HUMAN
P10826	RARB_HUMAN
Q00653	NFKB2_HUMAN
O75928	PIAS2_HUMAN
O75386	TULP3_HUMAN
P31269	HXA9_HUMAN
O15350	P73_HUMAN
Q13342	SP140_HUMAN
Q96RK0	CIC_HUMAN
P48380	RFX3_HUMAN
P36402	TCF7_HUMAN
Q06413	MEF2C_HUMAN
Q9Y2H8	ZN510_HUMAN
Q5JVG8	ZN506_HUMAN
P06401	PRGR_HUMAN
Q14494	NF2L1_HUMAN
Q6ISB3	GRHL2_HUMAN
O75467	Z324A_HUMAN
Q8TAW3	ZN671_HUMAN
Q9BWM5	ZN416_HUMAN
Q9NXT0	ZN586_HUMAN
Q9NWS9	ZN446_HUMAN
O43296	ZN264_HUMAN
Q13127	REST_HUMAN
Q9NPC7	MYNN_HUMAN
Q03112	EVI1_HUMAN
O14771	ZN213_HUMAN
Q12986	NFX1_HUMAN
Q92754	AP2C_HUMAN
P48378	RFX2_HUMAN
Q6P1L6	ZN343_HUMAN
Q9BQW3	COE4_HUMAN
Q9H2C1	LHX5_HUMAN
Q99593	TBX5_HUMAN
Q9NR11	ZN302_HUMAN
Q9H305	CDIP1_HUMAN
P24278	ZBT25_HUMAN
Q9UKL0	RCOR1_HUMAN
Q01664	TFAP4_HUMAN
Q14587	ZN268_HUMAN
Q9HA82	CERS4_HUMAN
Q15319	PO4F3_HUMAN
Q86UP3	ZFHX4_HUMAN
P03372	ESR1_HUMAN
Q15744	CEBPE_HUMAN
O94842	TOX4_HUMAN
Q96SF7	TBX15_HUMAN
Q9H5V7	IKZF5_HUMAN
Q03060	CREM_HUMAN
P15822	ZEP1_HUMAN
Q99459	CDC5L_HUMAN
Q99676	ZN184_HUMAN
P28698	MZF1_HUMAN
Q9HBE1	PATZ1_HUMAN
P56693	SOX10_HUMAN
P17861	XBP1_HUMAN
Q9UGU5	HMGX4_HUMAN
O75132	ZBED4_HUMAN
Q9UIU6	SIX4_HUMAN
Q16665	HIF1A_HUMAN
P25490	TYY1_HUMAN
Q14934	NFAC4_HUMAN
Q9NZR4	VSX1_HUMAN
P10244	MYBB_HUMAN
P41235	HNF4A_HUMAN
Q13469	NFAC2_HUMAN
Q9UJQ4	SALL4_HUMAN
Q9H2P0	ADNP_HUMAN
Q9UL49	TCFL5_HUMAN
Q9UKD1	GMEB2_HUMAN
Q01094	E2F1_HUMAN
Q92618	ZN516_HUMAN
O15105	SMAD7_HUMAN
Q8NHV9	RHXF1_HUMAN
Q99607	ELF4_HUMAN
P15976	GATA1_HUMAN
O95600	KLF8_HUMAN
Q13887	KLF5_HUMAN
Q15714	T22D1_HUMAN
Q9UEG4	ZN629_HUMAN
Q9ULV5	HSF4_HUMAN
O94916	NFAT5_HUMAN
Q2M1K9	ZN423_HUMAN
P49711	CTCF_HUMAN
O75541	ZN821_HUMAN
O60304	ZN500_HUMAN
Q12946	FOXF1_HUMAN
Q15697	ZN174_HUMAN
Q9NSC2	SALL1_HUMAN
O15405	TOX3_HUMAN
P56270	MAZ_HUMAN
Q9UHF7	TRPS1_HUMAN
O00295	TULP2_HUMAN
Q01201	RELB_HUMAN
P12980	LYL1_HUMAN
Q96HQ0	ZN419_HUMAN
Q8N2W9	PIAS4_HUMAN
O00110	OVOL3_HUMAN
O43186	CRX_HUMAN
Q99687	MEIS3_HUMAN
Q9Y473	ZN175_HUMAN
Q10586	DBP_HUMAN
Q13351	KLF1_HUMAN
O00321	ETV2_HUMAN
Q15853	USF2_HUMAN
P17017	ZNF14_HUMAN
Q9BYU1	PBX4_HUMAN
P50548	ERF_HUMAN
Q6ZN55	ZN574_HUMAN
Q03923	ZNF85_HUMAN
Q99543	DNJC2_HUMAN
O60381	HBP1_HUMAN
Q02446	SP4_HUMAN
P56178	DLX5_HUMAN
O14948	TFEC_HUMAN
P49639	HXA1_HUMAN
O43364	HXA2_HUMAN
O43365	HXA3_HUMAN
P20719	HXA5_HUMAN
P31267	HXA6_HUMAN
P31271	HXA13_HUMAN
P49640	EVX1_HUMAN
P17029	ZKSC1_HUMAN
O43316	PAX4_HUMAN
O60393	NOBOX_HUMAN
Q16656	NRF1_HUMAN
P50222	MEOX2_HUMAN
P78424	PO6F2_HUMAN
P35869	AHR_HUMAN
P10071	GLI3_HUMAN
P50458	LHX2_HUMAN
Q9UPM6	LHX6_HUMAN
O43889	CREB3_HUMAN
Q9UBR4	LHX3_HUMAN
Q8NEA6	GLIS3_HUMAN
P23771	GATA3_HUMAN
P31314	TLX1_HUMAN
O75364	PITX3_HUMAN
Q9H4W6	COE3_HUMAN
Q00059	TFAM_HUMAN
Q9ULJ6	ZMIZ1_HUMAN
P17480	UBF1_HUMAN
O94983	CMTA2_HUMAN
P17509	HXB6_HUMAN
Q9UH92	MLX_HUMAN
Q92988	DLX4_HUMAN
Q16534	HLF_HUMAN
P04004	VTNC_HUMAN
O15353	FOXN1_HUMAN
Q99453	PHX2B_HUMAN
P19838	NFKB1_HUMAN
Q15723	ELF2_HUMAN
O96028	NSD2_HUMAN
P78367	NKX32_HUMAN
P57682	KLF3_HUMAN
A6NMT0	DBX1_HUMAN
Q05516	ZBT16_HUMAN
P35712	SOX6_HUMAN
Q9UKN5	PRDM4_HUMAN
P23409	MYF6_HUMAN
P13349	MYF5_HUMAN
P08151	GLI1_HUMAN
P41970	ELK3_HUMAN
Q08050	FOXM1_HUMAN
O14529	CUX2_HUMAN
O60519	CRBL2_HUMAN
P11473	VDR_HUMAN
Q9H9S0	NANOG_HUMAN
Q33E94	RFX4_HUMAN
Q03181	PPARD_HUMAN
O00294	TULP1_HUMAN
Q9BYV9	BACH2_HUMAN
Q9Y4E5	ZN451_HUMAN
Q9H4Q3	PRD13_HUMAN
O00716	E2F3_HUMAN
P81133	SIM1_HUMAN
Q9Y466	NR2E1_HUMAN
O43167	ZBT24_HUMAN
P19484	TFEB_HUMAN
P11831	SRF_HUMAN
O95935	TBX18_HUMAN
O96004	HAND1_HUMAN
P53999	TCP4_HUMAN
P78413	IRX4_HUMAN
P04150	GCR_HUMAN
Q99717	SMAD5_HUMAN
Q12766	HMGX3_HUMAN
P47902	CDX1_HUMAN
P41182	BCL6_HUMAN
Q14188	TFDP2_HUMAN
Q14469	HES1_HUMAN
Q8WY36	BBX_HUMAN
Q9UFB7	ZBT47_HUMAN
Q9H334	FOXP1_HUMAN
Q9NZI6	TF2L1_HUMAN
O43763	TLX2_HUMAN
P42224	STAT1_HUMAN
P32242	OTX1_HUMAN
P52746	ZN142_HUMAN
Q02363	ID2_HUMAN
Q07687	DLX2_HUMAN
P15336	ATF2_HUMAN
Q99856	ARI3A_HUMAN
Q9UIW0	VAX2_HUMAN
Q16236	NF2L2_HUMAN
P54821	PRRX1_HUMAN
Q14814	MEF2D_HUMAN
Q13029	PRDM2_HUMAN
Q13105	ZBT17_HUMAN
Q6VUC0	AP2E_HUMAN
O00482	NR5A2_HUMAN
P12524	MYCL_HUMAN
Q5T5D7	ZN684_HUMAN
P41162	ETV3_HUMAN
Q9UGL1	KDM5B_HUMAN
Q02535	ID3_HUMAN
